Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Funding_Start,title_keywords,patents,companies,companies_count,company_position,Name,
"Boyd, Lara",University of British Columbia,British Columbia,Operating Grant,201003MOP,Movement & Exercise,Interhemispheric contributions to neuroplasticity and motor learning after stroke,"$257,115 ",$0 ,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2010/10/01,"neuroplasticity, motor learning, stroke",0,zN/A,0,zN/A,"Boyd, Lara",
"Boyd, Lara",University of British Columbia,British Columbia,Operating Grant,201009MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Duration of Changes in Intracortical Excitability and Diffusion Abnormalities after Transient Ischemic Attack,"$319,547 ",$0 ,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2011/04/01,"Intracortical, Excitability, Diffusion",0,zN/A,0,zN/A,"Boyd, Lara",
"Boyd, Lara",University of British Columbia,British Columbia,Operating Grant,201303MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Structural and Functional Correlates of Neuroplastic Change Associated with Stroke Recovery and Learning,"$502,863 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2013/10/01,"Neuroplastic, Stroke, Recovery",0,zN/A,0,zN/A,"Boyd, Lara",
"Boyd, Lara",University of British Columbia,British Columbia,Project Grant,201903PJT,Behavioural Sciences - B-2,Individualized pathways to recovery after stroke,"$711,450 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2019/10/01,"individualized, pathways, stroke",0,zN/A,0,zN/A,"Boyd, Lara",
"Boyd, Lara",University of British Columbia,British Columbia,Project Grant,202203PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Gamifying neuro rehabilitation: Can we predict who will benefit?,"$757,350 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2022/10/01,"neuro, rehabilitation, gamification",0,zN/A,0,zN/A,"Boyd, Lara",
"Boyd, Lara",University of British Columbia,British Columbia,Project Grant,202203PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Gamifying neuro rehabilitation: Can we predict who will benefit?,"$757,350 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2022/10/01,"neuro, rehabilitation, gamification",0,zN/A,0,zN/A,"Boyd, Lara",
"Boyd, Steven K",University of Calgary,Alberta,Catalyst Grant: Bone Health,201006CBO,Catalyst Grant: Bone Health,"Computed tomography ""image recycling"" for non-invasive estimation of bone strength","$95,817 ",$0 ,1 yr 0 mth ,Musculoskeletal Health and Arthritis,11/1/2010,"computed tomography, image recycling, bone strength",0,zN/A,0,zN/A,"Boyd, Steven K",
"Boye, Sandra M",Universite de Montreal,Quebec,Operating Grant,200909MOP,Pharmacology & Toxicology,Towards a systems approach to antidepressant drug design,"$402,599 ",$0 ,4 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2010/04/01,"antidepressant, drug design, systems",0,zN/A,0,zN/A,"Boye, Sandra M",
"Boyle, Michael H",McMaster University,Ontario,Operating Grant,200903MOP,Social & Developmental Aspects of Children's & Youth's Health,Measuring Information Processing in Its Interpersonal Context:  Links to Youth Anxiety and Depression,"$200,484 ",$0 ,3 yrs 0 mth ,"Human Development, Child and Youth Health",2009/10/01,"Information processing, youth anxiety, depression",0,zN/A,0,zN/A,"Boyle, Michael H",
"Bradley, Douglas T",University Health Network (Toronto),Ontario,Operating Grant,201109MOP,Respiratory System,Role of Fluid Retention and Displacement in the Pathogenesis and Treatment of Sleep Apnea,"$701,782 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2012/04/01,"Fluid retention, Displacement, Sleep apnea",3,zN/A,0,zN/A,"Bradley, Douglas T",
"Brais, Bernard",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Operating Grant,200809MOP,Systems & Circuits Neurosciences - A,Investigating the role of mutated UFM1 in a recessive late-onset cerebellar ataxia (LOCA) that often evolves into a multiple system atrophy of cerebellar subtype (MSA-C),"$323,988 ",$0 ,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2009/04/01,"UFM1, cerebellar ataxia, atrophy",0,zN/A,0,zN/A,"Brais, Bernard",
"Brais, Bernard",McGill University,Quebec,Project Grant,202303PJT,Genetics,"Characterization of the newly uncovered internationally prevalent GAA triplet expansion late-onset SCA27B ataxia that is more common in Quebec: from improved phenotyping, genotyping to molecular pathological understanding","$367,200 ",$0 ,3 yrs 0 mth ,Genetics,2023/10/01,"GAA triplet expansion, SCA27B, ataxia",0,zN/A,0,zN/A,"Brais, Bernard",
"Brambati, Simona Maria",CIUSSS du Nord-de-l'Ile-de Montreal - Hepital Sacre Coeur,Quebec,Project Grant,202109PJT,Behavioural Sciences - B-2,The effect of biological sex on the neuroplastic mechanisms involved in post-stroke aphasia recovery,"$584,080 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2022/04/01,"neuroplastic, post-stroke, aphasia",0,zN/A,0,zN/A,"Brambati, Simona Maria",
"Brand, Marjorie C",Ottawa Hospital Research Institute,Ontario,Operating Grant,200909MOP,Molecular & Cellular Biology of Cancer,Systems biology approach to elucidating the role of TAL1/SCL in T-cell acute lymphoblastic leukemia,"$731,350 ",$0 ,5 yrs 0 mth ,Cancer Research,2010/04/01,"systems biology, TAL1, leukemia",0,zN/A,0,zN/A,"Brand, Marjorie C",
"Brand, Marjorie C",Ottawa Hospital Research Institute,Ontario,Operating Grant,201109MOP,Molecular & Cellular Biology of Cancer,Hematopoietic transcription factors and their role in leukemogenesis,"$800,690 ",$0 ,5 yrs 0 mth ,Cancer Research,2012/04/01,"Hematopoietic, transcription factors, leukemogenesis",0,zN/A,0,zN/A,"Brand, Marjorie C",
"Brand, Marjorie C",Ottawa Hospital Research Institute,Ontario,Operating Grant,201503MOP,Molecular & Cellular Biology of Cancer,Role of oncogenic transcription factors in T-cell acute lymphoblastic leukemia,"$823,790 ",$0 ,5 yrs 0 mth ,Cancer Research,2015/10/01,"oncogenic, transcription factors, leukemia",0,zN/A,0,zN/A,"Brand, Marjorie C",
"Brand, Marjorie C",Ottawa Hospital Research Institute,Ontario,Operating Grant: Impact Grant : CEEHRC Phase II,201708IGH,Operating Grant : Impact Grant: CEEHRC Phase II,Novel approach to destabilize protein interactions in T-ALL,"$588,081 ",$0 ,3 yrs 0 mth ,Cancer Research,10/1/2017,"protein interactions, T-ALL",0,zN/A,0,zN/A,"Brand, Marjorie C",
"Brand, Marjorie C",Ottawa Hospital Research Institute,Ontario,Project Grant,201709PJT,Molecular & Cellular Biology of Cancer,Deciphering the molecular mechanism of acquired resistance in leukemia,"$925,650 ",$0 ,5 yrs 0 mth ,Cancer Research,2018/04/01,"molecular mechanism, acquired resistance, leukemia",0,zN/A,0,zN/A,"Brand, Marjorie C",
"Brand, Marjorie C",Ottawa Hospital Research Institute,Ontario,Project Grant,202010PJT,Molecular & Cellular Biology of Cancer,Understanding the mechanism of TLX1-induced T-cell acute lymphoblastic leukemia,"$937,125 ",$0 ,5 yrs 0 mth ,Cancer Research,2021/03/01,"TLX1, T-cell leukemia, lymphoblastic",0,zN/A,0,zN/A,"Brand, Marjorie C",
"Brand, Marjorie C",Ottawa Hospital Research Institute,Ontario,Project Grant,202109PJT,"Hematology, Digestive Disease & Kidney",Mechanistic insights into non-malignant hematopoietic diseases,"$952,425 ",$0 ,5 yrs 0 mth ,Genetics,2022/04/01,"hematopoietic, non-malignant, diseases",0,zN/A,0,zN/A,"Brand, Marjorie C",
"Brandl, Christopher J",Western University (Ontario),Ontario,Operating Grant,200903MOP,Biochemistry & Molecular Biology - B,"Structure, function and regulation of the yeast SAGA complex.","$676,089 ",$0 ,5 yrs 0 mth ,Genetics,2009/10/01,"yeast, SAGA complex, regulation",0,zN/A,0,zN/A,"Brandl, Christopher J",
"Brandon, Mark P",CIUSSS de l'Ouest-de-l'Ile-de-Montreal-Douglas Hospital,Quebec,Project Grant,202104PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Bridging the gap between hippocampal mapping and behavior,"$956,250 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2021/10/01,"hippocampal, mapping, behavior",0,zN/A,0,zN/A,"Brandon, Mark P",
"Brandon, Mark P",CIUSSS de l'Ouest-de-l'Ile-de-Montreal-Douglas Hospital,Quebec,Project Grant,202203PJT,"Behavioural Sciences - C: Behavioural Studies, Neuroscience and Cognition",Identify how entorhinal-hippocampal circuitry and adult neurogenesis in the dentate gyrus supports hippocampal processing at the network and behavioral levels,"$845,326 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2022/10/01,"entorhinal, hippocampal, neurogenesis",0,zN/A,0,zN/A,"Brandon, Mark P",
"Branton, Philip E",McGill University,Quebec,Operating Grant,200809MOP,Molecular & Cellular Biology of Cancer,Mechanism of Action of the Adenovirus Death Protein E4orf4,"$720,706 ",$0 ,5 yrs 0 mth ,Cancer Research,2009/04/01,"Adenovirus, Death Protein, E4orf4",0,zN/A,0,zN/A,"Branton, Philip E",
"Branton, Philip E",McGill University,Quebec,Operating Grant,200909MOP,Virology & Viral Pathogenesis,Role of the E4orf6/E1B55K E3 Ubiquitin Ligase in the Adenovirus Life Cycle,"$953,365 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2010/04/01,"E4orf6, E1B55K, Ubiquitin Ligase",0,zN/A,0,zN/A,"Branton, Philip E",
"Branton, Philip E",McGill University,Quebec,Operating Grant,201405MOP,Virology & Viral Pathogenesis,Role of Viral E3 Ubiquitin Ligases in the Virus Life Cycle,"$100,000 ",$0 ,1 yr 0 mth ,Infection and Immunity,2014/10/01,"Viral, Ubiquitin, Ligases",0,zN/A,0,zN/A,"Branton, Philip E",
"Braun, Andrew P",University of Calgary,Alberta,Operating Grant,200810MOP,Cardiovascular System - A: Cells and Tissues,Endothelial ion channels and the cellular mechanisms regulating vascular tone,"$100,000 ",$0 ,1 yr 0 mth ,Circulatory and Respiratory Health,2009/03/01,"Endothelial, ion channels, vascular tone",0,zN/A,0,zN/A,"Braun, Andrew P",
"Braun, Andrew P",University of Calgary,Alberta,Operating Grant,200903MOP,Cardiovascular System - A: Cells and Tissues,"Endothelial ion channels, nitric oxide and the cellular mechanisms regulating vasorelaxation","$699,704 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2009/10/01,"endothelial ion channels, nitric oxide, vasorelaxation",0,zN/A,0,zN/A,"Braun, Andrew P",
"Braun, Andrew P",University of Calgary,Alberta,Operating Grant,201503MOP,Cardiovascular System - C: Vascular System,Targeting endothelial KCa channels in vascular dysfunction.,"$760,136 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2015/10/01,"endothelial, KCa channels, vascular dysfunction",0,zN/A,0,zN/A,"Braun, Andrew P",
"Braun, Andrew P",University of Calgary,Alberta,Project Grant,201709PJT,Cardiovascular System - C: Vascular System,The type 1 IP3 receptor as a critical regulator of cerebrovascular function,"$589,052 ",$0 ,4 yrs 0 mth ,Circulatory and Respiratory Health,2018/04/01,"IP3 receptor, cerebrovascular, regulation",0,zN/A,0,zN/A,"Braun, Andrew P",
"Braun, Andrew P",University of Calgary,Alberta,Project Grant,202303PJT,Cardiovascular System - C: Vascular System,Restoration of vascular endothelial cell function as a novel strategy to mitigate T2D-associated cardiovascular disease.,"$1,021,276 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2023/10/01,"vascular, endothelial, cardiovascular",0,zN/A,0,zN/A,"Braun, Andrew P",
"Braverman, Nancy E",Research Institute of the McGill University Health Centre,Quebec,Operating Grant,201209MOP,Genetics,The Peroxisome Biogenesis Disorders: From Bench to Bedside,"$698,311 ",$0 ,3 yrs 0 mth ,Genetics,2013/04/01,"Peroxisome, Biogenesis, Disorders",2,zN/A,0,zN/A,"Braverman, Nancy E",
"Braverman, Nancy E",Research Institute of the McGill University Health Centre,Quebec,Project Grant,201909PJT,Genetics,Developing retinal gene augmentation therapy for Zellweger Spectrum Disorder,"$933,300 ",$0 ,5 yrs 0 mth ,Genetics,2020/04/01,"retinal, gene, augmentation",0,zN/A,0,zN/A,"Braverman, Nancy E",
"Bray, Signe",University of Calgary,Alberta,Project Grant,201709PJT,"Behavioural Sciences - C: Behavioural Studies, Neuroscience and Cognition",Inter-individual variability in attention skills in children born very preterm: neural correlates and intervention response,"$615,825 ",$0 ,5 yrs 0 mth ,"Human Development, Child and Youth Health",2018/04/01,"attention, neural, preterm",0,zN/A,0,zN/A,"Bray, Signe",
"Brayer, Gary D",University of British Columbia,British Columbia,Operating Grant,201009MOP,Biochemistry & Molecular Biology - A,"Facilitating the Development of New Therapeutics for Diabetes, Pre-Diabetes and Obesity by Inhibition of Human Pancreatic Alpha-Amylase: A Structural and Mechanistic Approach","$766,374 ",$0 ,5 yrs 0 mth ,Genetics,2011/04/01,"Alpha-Amylase, Diabetes, Obesity",2,zN/A,0,zN/A,"Brayer, Gary D",
"Breau, Rodney H",Ottawa Hospital Research Institute,Ontario,Operating Grant,201503MOP,"Clinical Investigation - C: Digestive, Endocrine and Excretory Systems",Tranexamic acid during cystectomy trial (TACT),"$394,050 ",$0 ,3 yrs 0 mth ,Circulatory and Respiratory Health,2015/10/01,"Tranexamic acid, cystectomy, trial",0,zN/A,0,zN/A,"Breau, Rodney H",
"Breitner, John C",CIUSSS de l'Ouest-de-l'Ile-de-Montreal-Douglas Hospital,Quebec,Project Grant,202010PJT,Biological and Clinical Aspects of Aging,"Innate immune activity, the aging brain, Alzheimer's disease pathology and symptoms: a novel approach to prevention.","$1,338,750 ",$0 ,5 yrs 0 mth ,Aging,2021/03/01,"immune, brain, Alzheimer's",0,zN/A,0,zN/A,"Breitner, John C",
"Bremault-Phillips, Suzette C",University of Alberta,Alberta,Operating Grant: Knowledge Synthesis: COVID-19 in Mental Health & Substance Use,202005CMS,Mental Health and Substance Use Responses to COVID-19,"COVID-19 Physical Distancing and Post-Traumatic Stress Injury: Utilization of Digital Health and Remote Mental Health Services for Military, Veterans, and Public Safety Personnel","$49,964 ",$0 ,0 yr 6 mths ,"Neurosciences, Mental Health and Addiction",5/1/2020,"COVID-19, Digital Health, Mental Health",0,zN/A,0,zN/A,"Bremault-Phillips, Suzette C",
"Bremner, Rod",University Health Network (Toronto),Ontario,Operating Grant,200909MOP,Molecular & Cellular Biology of Cancer,Functions of the activating E2fs beyond cell cycle control,"$909,022 ",$0 ,5 yrs 0 mth ,Cancer Research,2010/04/01,"E2fs, cell cycle, activation",0,zN/A,0,zN/A,"Bremner, Rod",
"Bremner, Rod",University Health Network (Toronto),Ontario,Operating Grant,201009MOP,Molecular & Cellular Biology of Cancer,Mechanisms regulating the outgrowth of initiated cells in the mammal,"$1,058,454 ",$0 ,5 yrs 0 mth ,Cancer Research,2011/04/01,"cell growth, regulation, mammal",0,zN/A,0,zN/A,"Bremner, Rod",
"Bremner, Rod",Sinai Health System (Toronto),Ontario,Project Grant,202003PJT,Molecular & Cellular Biology of Cancer,The Single Cell Biology of Context-Specific Responses to Loss of the RB Tumor Suppressor Gene,"$801,720 ",$0 ,4 yrs 0 mth ,Cancer Research,2020/10/01,"Single Cell, Tumor Suppressor, RB",0,zN/A,0,zN/A,"Bremner, Rod",
"Bremner, Rod",Sinai Health System (Toronto),Ontario,Project Grant,202109PJT,Molecular & Cellular Biology of Cancer,Dissecting the Tumor Suppressor Function of YAP in Neural and Neuroendocrine Cancers,"$1,013,625 ",$0 ,5 yrs 0 mth ,Cancer Research,2022/04/01,"YAP, Tumor Suppressor, Cancers",0,zN/A,0,zN/A,"Bremner, Rod",
"Brennand, Erin A",University of Calgary,Alberta,"Operating Grant: ECI grants in Maternal, Reproductive, Child & Youth Health",202102MRC,"Operating Grant: New Investigator Grants in Maternal, Reproductive, Child & Youth Health","Sex, Drugs & Chronic Pain after Pelvic Organ Prolapse Surgery: investigating patient and clinician priorities related to pelvic floor surgery in Canada","$99,244 ",$0 ,3 yrs 0 mth ,Gender and Health,4/1/2021,"pelvic floor, chronic pain, surgery",0,zN/A,0,zN/A,"Brennand, Erin A",
"Brennand, Erin A",University of Calgary,Alberta,Project Grant,202104PJT,Health Services Evaluation & Interventions Research 3,"Five years after the Mid-Urethral Sling Tensioning (MUST) trial: cure of stress urinary incontinence symptoms, health care utilization and cost-effectiveness associated with two techniques for MUS incontinence surgery","$150,000 ",$0 ,3 yrs 0 mth ,Health Services and Policy Research,2021/10/01,"Mid-Urethral Sling, Stress Urinary Incontinence, Surgery",0,zN/A,0,zN/A,"Brennand, Erin A",
"Breton-Provencher, Vincent",Universite Laval,Quebec,Project Grant,202403PJT,Systems & Circuits Neurosciences - A,Noradrenergic modulation of mouse cortical interneurons during sensorimotor learning,"$1,002,150 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2024/10/01,"noradrenergic, interneurons, sensorimotor",0,zN/A,0,zN/A,"Breton-Provencher, Vincent",
"Breton, Sylvie",Universite Laval,Quebec,Project Grant,202109PJT,"Hematology, Digestive Disease & Kidney",Elucidating the role of the pro-inflammatory P2Y14 receptor in acute kidney injury,"$918,000 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2022/04/01,"P2Y14, receptor, kidney injury",0,zN/A,0,zN/A,"Breton, Sylvie",
"Breton, Sylvie",Universite Laval,Quebec,Project Grant,202203PJT,Cell and Developmental Physiology,Intercellular communication networks and luminal acidification in the post-testicular male reproductive tract,"$883,576 ",$0 ,5 yrs 0 mth ,"Human Development, Child and Youth Health",2022/10/01,"intercellular communication, luminal acidification, male reproductive tract",0,zN/A,0,zN/A,"Breton, Sylvie",
"Brett, Christopher L","Concordia University (Montreal, Quebec)",Quebec,Project Grant,202010PJT,Cell and Developmental Physiology,Fundamental Lysosome Membrane Biology in Health and Disease,"$722,925 ",$0 ,5 yrs 0 mth ,Genetics,2021/03/01,"Lysosome, Membrane, Biology",0,zN/A,0,zN/A,"Brett, Christopher L",
"Bretzner, Frederic",Universite Laval,Quebec,Operating Grant,201209MOP,Movement & Exercise,Motor control: Brainstem control of locomotion,"$626,156 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2013/04/01,"motor control, brainstem, locomotion",0,zN/A,0,zN/A,"Bretzner, Frederic",
"Bretzner, Frederic",Universite Laval,Quebec,Project Grant,201809PJT,Movement & Exercise,Plasticity of midbrain nuclei after spinal cord injury,"$860,625 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2019/04/01,"plasticity, midbrain, spinal cord",0,zN/A,0,zN/A,"Bretzner, Frederic",
"Bretzner, Frederic",Universite Laval,Quebec,Project Grant,202303PJT,Movement & Exercise,Genetic dissection of propriospinal interneuronal pathways and their reticulospinal inputs pertaining to locomotor control and recovery after spinal cord injury,"$944,776 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2023/10/01,"genetic, propriospinal, spinal cord",0,zN/A,0,zN/A,"Bretzner, Frederic",
"Brian, Jessica A",Holland Bloorview Kids Rehabilitation Hospital (Toronto),Ontario,Project Grant,202109PJT,Social & Developmental Aspects of Children's & Youth's Health,Parent-mediated intervention for toddlers with autism: A multi-site randomized controlled trial of a group-based virtual program that empowers parents as change agents,"$569,926 ",$0 ,3 yrs 0 mth ,"Human Development, Child and Youth Health",2022/04/01,"autism, intervention, virtual",0,zN/A,0,zN/A,"Brian, Jessica A",
"Bridgewater, Darren J",McMaster University,Ontario,Operating Grant,201503MOP,"Hematology, Digestive Disease & Kidney",Pathobiology of renal dysplasia: a functional role for stromally expressed beta-catenin,"$536,131 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2015/10/01,"renal dysplasia, beta-catenin, stromally",0,zN/A,0,zN/A,"Bridgewater, Darren J",
"Brill, Julie A",Hospital for Sick Children (Toronto),Ontario,Operating Grant,200909MOP,Cell Biology & Mechanisms of Disease,Molecular mechanisms of cytokinesis control by PI lipid kinases,"$460,859 ",$0 ,3 yrs 0 mth ,Genetics,2010/04/01,"cytokinesis, lipid kinases, molecular mechanisms",0,zN/A,0,zN/A,"Brill, Julie A",
"Brill, Julie A",Hospital for Sick Children (Toronto),Ontario,Operating Grant,201109MOP,Cell Physiology,Biogenesis of mucin-containing secretory granules,"$687,238 ",$0 ,5 yrs 0 mth ,Genetics,2012/04/01,"mucin, secretory granules, biogenesis",0,zN/A,0,zN/A,"Brill, Julie A",
"Brill, Julie A",Hospital for Sick Children (Toronto),Ontario,Operating Grant,201303MOP,Cell Biology & Mechanisms of Disease,Control of cell morphogenesis by PIP signaling,"$712,678 ",$0 ,5 yrs 0 mth ,Genetics,2013/10/01,"cell, morphogenesis, PIP signaling",0,zN/A,0,zN/A,"Brill, Julie A",
"Brill, Julie A",Hospital for Sick Children (Toronto),Ontario,Project Grant,201809PJT,Cell Physiology,Defining mechanisms of PI4P-dependent transport during secretory granule biogenesis,"$914,175 ",$0 ,5 yrs 0 mth ,Genetics,2019/04/01,"PI4P, transport, secretory granule",0,zN/A,0,zN/A,"Brill, Julie A",
"Brill, Julie A",Hospital for Sick Children (Toronto),Ontario,Project Grant,202003PJT,Cell Biology - Molecular/Fundamental,Deciphering the requirement for PIP5Ks in sperm head formation,"$891,226 ",$0 ,5 yrs 0 mth ,Genetics,2020/10/01,"PIP5Ks, sperm head formation",0,zN/A,0,zN/A,"Brill, Julie A",
"Brill, Julie A",Hospital for Sick Children (Toronto),Ontario,Project Grant,202309PJT,Cell and Developmental Physiology,Mechanisms of PIKII-dependent transport during secretory granule biogenesis,"$963,900 ",$0 ,5 yrs 0 mth ,Genetics,2024/04/01,"PIKII, transport, secretory granule",0,zN/A,0,zN/A,"Brill, Julie A",
"Brind'Amour, Julie",Universite de Montreal,Quebec,Project Grant,202303PJT,Cell and Developmental Physiology,Heterochromatin Protein 1 (HP1) in maternal infertility and embryonic development,"$830,026 ",$0 ,5 yrs 0 mth ,Genetics,2023/10/01,"Heterochromatin, Protein 1, embryonic development",0,zN/A,0,zN/A,"Brind'Amour, Julie",
"Briollais, Laurent",Sinai Health System (Toronto),Ontario,Operating Grant,201209MOP,Genetics,"Development, Application and Evaluation of Multistate Models for Risk Estimation and Screening Interventions in Lynch Syndrome Families and Familial Colorectal Cancer Type X Families","$273,334 ",$0 ,3 yrs 0 mth ,Genetics,2013/04/01,"Multistate models, Risk estimation, Screening",0,zN/A,0,zN/A,"Briollais, Laurent",
"Brochard, Laurent J",Unity Health Toronto,Ontario,Project Grant,202403PJT,Respiratory System,"Protective Mechanical Ventilation during Acute Lung Injury Targeting Lungs, Circulation, Diaphragm and Brain - Preclinical experiments.","$1,055,700 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2024/10/01,"Mechanical Ventilation, Lung Injury, Diaphragm",0,zN/A,0,zN/A,"Brochard, Laurent J",
"Brochiero, Emmanuelle",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Operating Grant,201009MOP,Respiratory System,Alveolar epithelial integrity after acute lung injury: control of repair mechanisms by K+ channels,"$573,055 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2011/04/01,"alveolar, K+ channels, lung injury",1,zN/A,0,zN/A,"Brochiero, Emmanuelle",
"Brochiero, Emmanuelle",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Project Grant,201903PJT,Respiratory System,K+ channels as key targets to favor alveolar epithelial integrity and function during the resolution of acute respiratory distress syndrome,"$830,026 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2019/10/01,"K+ channels, alveolar epithelial, respiratory distress syndrome",1,zN/A,0,zN/A,"Brochiero, Emmanuelle",
"Brochiero, Emmanuelle",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Project Grant,202104PJT,Respiratory System,Development of innovative therapeutic strategies in cystic fibrosis for improvement of CFTR-targeted treatments and restoration of airway epithelial integrity in infected lungs from patients harboring various mutations,"$837,676 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2021/10/01,"cystic fibrosis, CFTR, airway epithelial",0,zN/A,0,zN/A,"Brochiero, Emmanuelle",
"Brochu, Michele",Universite de Montreal,Quebec,Operating Grant,201403MOP,"Gender, Sex & Health",Sexe biologique et environnement intrauterin defavorable: adaptation foetale et consequences e l'ege adulte,"$482,410 ",$0 ,5 yrs 0 mth ,Gender and Health,2014/10/01,"biologique, environnement, foetale",0,zN/A,0,zN/A,"Brochu, Michele",
"Brock, Hugh W",University of British Columbia,British Columbia,Operating Grant,200909MOP,Biochemistry & Molecular Biology - B,How is the epigenetic landscape re-established after DNA synthesis?,"$681,395 ",$0 ,5 yrs 0 mth ,Genetics,2010/04/01,"epigenetic, DNA synthesis, landscape",0,zN/A,0,zN/A,"Brock, Hugh W",
"Brockhausen, Inka H","Queen's University (Kingston, Ontario)",Ontario,Operating Grant,201009MOP,Microbiology & Infectious Diseases,O-antigen synthesis in intestinal pathogens,"$389,135 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2011/04/01,"O-antigen, synthesis, intestinal pathogens",0,zN/A,0,zN/A,"Brockhausen, Inka H",
"Brockman, Mark A","Simon Fraser University (Burnaby, B.C.)",British Columbia,Project Grant,201809PJT,Virology & Viral Pathogenesis,Harnessing cross-reactive T cell receptors to eliminate latent HIV reservoirs,"$708,580 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2019/04/01,"T cell receptors, HIV, reservoirs",0,zN/A,0,zN/A,"Brockman, Mark A",
"Bromme, Dieter",University of British Columbia,British Columbia,Operating Grant,201209MOP,"Clinical Investigation - B: Arthritis, Bone, Skin and Cartilage",Mechanism of osteoclastic bone resorption: collagenase activity of cathepsin K,"$583,892 ",$0 ,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,2013/04/01,"osteoclastic, collagenase, cathepsin K",0,zN/A,0,zN/A,"Bromme, Dieter",
"Bromme, Dieter",University of British Columbia,British Columbia,Operating Grant,201209MOP,Cardiovascular System - C: Vascular System,The role of cathepsins in vascular calcification,"$556,152 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2013/04/01,"cathepsins, vascular, calcification",0,zN/A,0,zN/A,"Bromme, Dieter",
"Bromme, Dieter",University of British Columbia,British Columbia,Project Grant,201709PJT,Pharmaceutical Sciences,Ectosteric inhibitors of cathepsin K: their mechanism and in vivo efficacy,"$956,250 ",$0 ,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,2018/04/01,"cathepsin K, inhibitors, ectosteric",0,zN/A,0,zN/A,"Bromme, Dieter",
"Brook, William J",University of Calgary,Alberta,Operating Grant,201209MOP,Developmental Biology,T-box selector genes in Dorsal-Ventral leg development,"$644,094 ",$0 ,5 yrs 0 mth ,Genetics,2013/04/01,"T-box, genes, leg development",0,zN/A,0,zN/A,"Brook, William J",
"Brooks-Wilson, Angela R","Simon Fraser University (Burnaby, B.C.)",British Columbia,Operating Grant,201009MOP,Cardiovascular System - B: Heart and Circulation,Genome-wide Association Study of Aortic Valve Stenosis,"$206,623 ",$0 ,1 yr 0 mth ,Circulatory and Respiratory Health,2011/04/01,"Genome, Association, Aortic Valve",0,zN/A,0,zN/A,"Brooks-Wilson, Angela R",
"Brooks-Wilson, Angela R","Simon Fraser University (Burnaby, B.C.)",British Columbia,Operating Grant,201303MOP,Genetics,Identification of Genetic Factors for Familial Lymphoid Cancers,"$799,698 ",$0 ,5 yrs 0 mth ,Genetics,2013/10/01,"Genetic, Lymphoid Cancers, Identification",0,zN/A,0,zN/A,"Brooks-Wilson, Angela R",
