Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Funding_Start,title_keywords,patents,companies,companies_count,company_position,Name,
"Fonge, Humphrey A",University of Saskatchewan,Saskatchewan,Project Grant,202003PJT,Pharmaceutical Sciences,Simultaneous targeting of multiple domains of HER2 and EGFR using domain-specific alpha particle labeled radioimmunoconjugates,"$970,020 ",$0 ,5 yrs 0 mth ,Cancer Research,2020/10/01,"HER2, EGFR, radioimmunoconjugates",2,Act-225 Biotherapeutics Corporation,1,C-suite,"Fonge, Humphrey A",
"Glogauer, Michael",University of Toronto,Ontario,Catalyst Grant: Musculoskeletal Health and Arthritis,201701CMA,Oral Health - Catalyst IMHA,Neutrophil Activation Profiles in Circulation and Their Roles in Periodontal Health and Disease,"$100,000 ",$0 ,1 yr 0 mth ,Musculoskeletal Health and Arthritis,3/1/2017,"Neutrophil, Activation, Periodontal",2,Ostia Sciences Inc.,1,C-suite,"Glogauer, Michael",
"Gray-Owen, Scott D",University of Toronto,Ontario,Operating Grant,200909MOP,Microbiology & Infectious Diseases,Gonococcal Opa protein binding to the CEACAM receptors: Impact on infection and immunity,"$883,120 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2010/04/01,"Gonococcal, Opa protein, CEACAM",1,Engineered Antigens Inc.,1,C-suite,"Gray-Owen, Scott D",
"Gunning, Patrick T",University of Toronto,Ontario,Operating Grant,201303MOP,Pharmaceutical Sciences,Silencing Stat3 signaling in multiple myeloma: identifying potent small molecule inhibitors of Stat3,"$364,816 ",$0 ,4 yrs 0 mth ,Cancer Research,2013/10/01,"Stat3, inhibitors, myeloma",2,Janpix Ltd.,1,C-suite,"Gunning, Patrick T",
"Gunning, Patrick T",University of Toronto,Ontario,Operating Grant,201403MOP,Pharmaceutical Sciences,Developing STAT5 protein inhibitors for treatment of Leukemia,"$591,640 ",$0 ,5 yrs 0 mth ,Cancer Research,2014/10/01,"STAT5, protein inhibitors, Leukemia",12,Dalriada Therapeutics inc.,1,C-suite,"Gunning, Patrick T",
"Hamet, Pavel",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Operating Grant,200809MOP,Cardiovascular System - C: Vascular System,Search for genes of hypertension,"$846,765 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2009/04/01,"genes, hypertension",5,Opti-Thera Inc.,1,C-suite,"Hamet, Pavel",
"Hayden, Michael R",University of British Columbia,British Columbia,Operating Grant,201203MOP,Genetics,Novel approaches to modulate key targets in the pathogenesis of Huntington Disease,"$812,719 ",$0 ,5 yrs 0 mth ,Genetics,2012/10/01,"modulate, targets, Huntington Disease",30,Prilenia Neurotherapeutics Ltd.,1,C-suite,"Hayden, Michael R",
"Jefferies, Wilfred A",University of British Columbia,British Columbia,Operating Grant,200909MOP,Immunology & Transplantation,Characterization of Functional L-Type Calcium Channels in Lymphocytes,"$337,447 ",$0 ,3 yrs 0 mth ,Infection and Immunity,2010/04/01,"Calcium channels, Lymphocytes",7,Cava Healthcare Inc.; Pascal Biosciences Inc.; Mynd Life Sciences Inc.,3,C-suite,"Jefferies, Wilfred A",
"Julien, Jean-Pierre",Universite Laval,Quebec,Operating Grant,201109MOP,Molecular & Cellular Neurosciences - B,TDP-43-mediated pathogenic pathways in ALS and new experimental therapeutics,"$751,740 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2012/04/01,"TDP-43, ALS, pathogenic pathways",4,Imstar Therapeutics Inc.; Arna Therapeutics Inc.,2,C-suite,"Julien, Jean-Pierre",
"Kelly, Melanie E",Dalhousie University (Nova Scotia),Nova Scotia,Operating Grant,201403MOP,Pharmacology & Toxicology,The ocular endocannabinoid system: Pharmacology of an endogenous lipid signaling system.,"$689,578 ",$0 ,5 yrs 0 mth ,Aging,2014/10/01,"ocular, endocannabinoid, lipid signaling",5,Panag Pharma Inc.; Tetra Bio-Pharma Inc.,2,C-suite,"Kelly, Melanie E",
