Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,External_Funding,External_Funding_Partner,Term_Years_Months,title_keywords,Primary_Institute,Research_Categories,Funding_Start,Funding_End,patents
"Simmons, Craig A",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Biomaterial substrates for xeno- and feeder layer-free culture of human pluripotent stem cells,"$316,195",$0,,,3 yrs 0 mth ,"biomaterial, stem cells, culture","Human Development, Child and Youth Health","INJURY, REGENERATION; MULTIDISCIPLINARY",2015-04-01,2018-03-31,2
"Exner, Derek V",University of Calgary,Alberta,Operating Grant: Industry-partnered Collaborative Research,201403IPR,Industry Partnered Collaborative Research,Risk Estimation Following Infarction Noninvasive Evaluation ICD efficacy (REFINE ICD) Trial.,"$1,248,736",$0,,,5 yrs 0 mth ,"Risk, Infarction, Evaluation",Circulatory and Respiratory Health,CARDIOLOGY; ARRHYTHMIAS; CARDIOVASCULAR; HEALTH RESEARCH,2014-10-01,2019-09-30,2
"Kizhakkedathu, Jayachandran N",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Universal Antibiofilm Coating Solutions for Ureteral Stents,"$393,404",$0,,,3 yrs 0 mth ,"Antibiofilm, Coating, Ureteral Stents",Infection and Immunity,"INFECTIOUS AND PARASITIC; GENITO/URINARY SYSTEM; RENAL FUNCTION, NEPHROLOGY, UROLOGY; BACTERIOLOGY",2016-04-01,2019-03-31,0
"Shoichet, Molly S",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Bioengineered cell delivery system,"$344,130",$0,,,3 yrs 0 mth ,"Bioengineered, cell, delivery",,,2011-04-01,2014-03-31,1
"Kelley, Shana O",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Development of integrated bioanalyte sensors for process monitoring in closed system bioreactors,"$419,100",$0,,,3 yrs 0 mth ,"bioanalyte, sensors, bioreactors",Cancer Research,,2018-04-01,2021-03-31,0
"Amsden, Brian G","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Articular Cartilage Reconstruction,"$168,002",$0,,,3 yrs 0 mth ,"Articular, Cartilage, Reconstruction",Musculoskeletal Health and Arthritis,MUSCULO SKELETAL; ARTHRITIS/OSTEOARTHRITIS,2014-04-01,2017-03-31,0
"Law, Edith",University of Waterloo (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,A framework for hybrid machine and human computation for the accurate and scalable analysis of human clinical EEG recordings,"$218,374",$0,,,3 yrs 0 mth ,"machine, EEG, analysis","Neurosciences, Mental Health and Addiction",EPILEPSY; SLEEP DISORDERS; NERVOUS SYSTEM; HEALTH RESEARCH,2015-04-01,2018-03-31,0
"Ward, Brian J",Research Institute of the McGill University Health Centre,Quebec,Operating Grant: Industry-partnered Collaborative Research,201509IPR,Industry Partnered Collaborative Research,Repurposing an Attenuated Salmonella typhimurium as a Novel Vector for Mucosal Vaccine Delivery,"$200,000",$0,,,2 yrs 0 mth ,"Salmonella, vector, vaccine",Infection and Immunity,INFECTIOUS AND PARASITIC; PARASITIC; IMMUNOLOGY-TRANSPLANTATION; HEALTH RESEARCH,2016-04-01,2018-03-31,3
"Yudin, Andrei",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Specific and cell-permeable molecular probes of capital function,"$216,000",$0,,,3 yrs 0 mth ,"cell-permeable, molecular probes, capital function",,,2011-04-01,2014-03-31,0
"Bainbridge, Shannon A",University of Ottawa,Ontario,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,Automated placenta screening to improve maternal lifetime cardiovascular health,"$238,045","$6,000",,,3 yrs 0 mth ,"placenta, screening, cardiovascular",Circulatory and Respiratory Health,MULTIDISCIPLINARY; PREGNANCY/BIRTH; CARDIOVASCULAR; REPRODUCTION/PREGNANCY,2020-04-01,2023-03-31,0
