Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,External_Funding,External_Funding_Partner,Term_Years_Months,title_keywords,Primary_Institute,Research_Categories,Funding_Start,Funding_End,patents
"Prevost, Michele",Polytechnique Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Re-engineering of the hospital sink environment to reduce transmission of multi-drug resistant opportunistic pathogens,"$306,167","$6,949",,,3 yrs 0 mth ,"hospital sink, multi-drug resistant, pathogens",Infection and Immunity,INFECTIOUS AND PARASITIC; POPULATION HEALTH; ENVIRONMENTAL INFLUENCES ON HEALTH,2018-04-01,2021-03-31,0
"Meguerditchian, Ari N",McGill University,Quebec,Catalyst Grant: eHealth Innovations - Aging,201310CEA,e-Health Innovation Partnership Program (eHIPP),Adjuvant Endocrine Therapy in Breast Cancer: A Novel E-health Approach in Optimizing Treatment Adherence in Seniors,"$76,336",$0,,,1 yr 0 mth ,"Endocrine, Breast Cancer, E-health",Aging,BREAST CANCER THERAPY; AGING; HEALTH SERVICES RESEARCH,2014-03-01,2015-02-28,0
"Barthelat, Francois",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,"Novel multilayered synthetic structural bone graft materials which combine biocompatibility, biodegradability and high toughness.","$163,222",$0,,,3 yrs 0 mth ,"bone graft, biocompatibility, biodegradability",Musculoskeletal Health and Arthritis,"INJURY, REGENERATION; BONE CANCER; MUSCLE, BONE, OR JOINT",2017-04-01,2020-03-31,0
"Marziali, Elsa",Baycrest Centre for Geriatric Care (Toronto),Ontario,Catalyst Grant: eHealth Innovations,201210CEH,e-Health Innovation Partnership Program (eHIPP),Development and Evaluation of an Internet Technology Platform for the Delivery of Evidence-based Intervention Programs to Adults with Chronic Disease,"$99,925",$0,,,1 yr 0 mth ,"Internet, Intervention, Chronic Disease",Health Services and Policy Research,HEALTH CARE DELIVERY; HEALTH SERVICES RESEARCH; HEALTH RESEARCH,2013-03-01,2014-02-28,0
"Feld, Jordan J",University Health Network (Toronto),Ontario,Operating Grant: Industry-partnered Collaborative Research,201303IPR,Industry Partnered Collaborative Research,Randomized controlled trial of the efficacy of pre-emptive tenofovir to prevent hepatitis B reactivation in patients who are anti-HBc antibody positive receiving curative intent rituximab-based chemotherapy for non-Hodgkin's lympohma,"$143,445",$0,,,3 yrs 0 mth ,"tenofovir, hepatitis B, rituximab","Nutrition, Metabolism and Diabetes",VIRAL; LIVER DISEASE; GASTROINTESTINAL (LIVER); VIROLOGY,2013-10-01,2016-09-30,0
"Suuronen, Erik",University of Ottawa,Ontario,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Injectable collagen matrices for cardiac tissue repair,"$417,412","$25,000",,,3 yrs 0 mth ,"Injectable, collagen, cardiac",Circulatory and Respiratory Health,"MYOCARDIAL INFARCTION; INJURY, REGENERATION; CARDIOVASCULAR",2018-04-01,2021-03-31,1
"Lee, Wonsook",University of Ottawa,Ontario,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Detection and simulation of femoroacetabular impingement,"$253,650",$0,,,3 yrs 0 mth ,"femoroacetabular impingement, detection, simulation",,,2011-04-01,2014-03-31,0
"Kelley, Shana O",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Analysis of Circulating Tumor Cell Heterogeneity Using a Multi-Marker Microscale Capture Approach as a tool in the Management and Treatment of Cancer,"$344,850",$0,,,3 yrs 0 mth ,"Circulating Tumor Cells, Microscale Capture, Cancer",Cancer Research,PROSTATE AND BLADDER CANCER; CANCER THERAPY GENERAL; CANCER; BIOCHEMISTRY,2016-04-01,2019-03-31,3
"Takahata, Kenichi",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Smart Stents for Wireless Monitoring of Vascular Disease,"$300,032",$0,,,3 yrs 0 mth ,"Smart, Stents, Monitoring",Unable to allocate,NONE OF THE ABOVE; NOT CLASSIFIED,2010-04-01,2013-03-31,0
"Bourbeau, Jean",Research Institute of the McGill University Health Centre,Quebec,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,200809IRO,Industry Partnered Collaborative Research,Canadian Cohort Obstructive Lung Disease (CanCOLD),"$427,933","$7,000",,,2 yrs 0 mth ,"Obstructive Lung Disease, Cohort, CanCOLD",Circulatory and Respiratory Health,CHRONIC OBSTRUCTIVE LUNG DISEASE; POPULATION HEALTH; RESPIRATION,2009-04-01,2011-03-31,0
"Jolicoeur, Marc E",Montreal Heart Institute,Quebec,Operating Grant: Industry-partnered Collaborative Research,201303IPR,Industry Partnered Collaborative Research,Immediate vs. Delayed Stenting after Primary Percutaneous Reperfusion in ST Elevation Myocardial Infarction,"$211,072",$0,,,3 yrs 0 mth ,"stenting, reperfusion, myocardial infarction",Circulatory and Respiratory Health,CARDIOLOGY; CARDIOVASCULAR,2013-10-01,2016-09-30,0
"Fichtinger, Gabor","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Mobile Image Overlay System (MIOS) for Musculoskeletal Needle Placement Guidance,"$138,013",$0,,,3 yrs 0 mth ,"Mobile, Image Overlay, Needle Placement",Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; CANCER THERAPY GENERAL; IMAGING; MUSCLE, BONE, OR JOINT",2015-04-01,2018-03-31,2
"Griffith, May C",Universite de Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,The Liquid Cornea as an alternative to corneal transplantation: Pathway to Clinical trials,"$306,789","$14,300",,,3 yrs 0 mth ,"Liquid, Cornea, Transplantation",Aging,AGING; MULTIDISCIPLINARY; VISION; IMMUNOLOGY-TRANSPLANTATION,2020-04-01,2023-03-31,3
"Marcotte, Isabelle",Universite du Quebec e Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Improved membrane permeation assays for drug bioavailability assessment,"$184,000",$0,,,3 yrs 0 mth ,"membrane permeation, assays, bioavailability",,,2011-04-01,2014-03-31,0
"Fusch, Christoph",McMaster University,Ontario,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Development of a pumpless lung assist device which acts like an artificial placenta for neonates with respiratory failure.,"$273,358",$0,,,3 yrs 0 mth ,"lung assist, artificial placenta, neonates",Circulatory and Respiratory Health,MULTIDISCIPLINARY; RESPIRATION; HEALTH RESEARCH; NOT CLASSIFIED,2013-04-01,2016-03-31,0
"Lear, Scott A","Simon Fraser University (Burnaby, B.C.)",British Columbia,Catalyst Grant: eHealth Innovations,201310CEH,e-Health Innovation Partnership Program (eHIPP),The use of text messaging to improve the hospital-community transition and prevent readmission in patients with cardiovascular disease (Txt2Prevent),"$78,192","$1,383",,,1 yr 0 mth ,"text messaging, hospital-community transition, cardiovascular disease",Health Services and Policy Research,HEALTH SERVICES RESEARCH; CARDIOLOGY; CARDIOVASCULAR,2014-03-01,2015-02-28,0
"Dumont, Guy A",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Closed-Loop Control of Anesthesia,"$309,194",$0,,,3 yrs 0 mth ,"Closed-Loop, Control, Anesthesia",Circulatory and Respiratory Health,MULTIDISCIPLINARY; NONE OF THE ABOVE; HEALTH RESEARCH; NOT CLASSIFIED,2013-04-01,2016-03-31,2
"Wu, Jianhong","York University (Toronto, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,"Development of an Antimicrobial Resistance Diversity Index (ARDI) to guide initiatives and investment in public health, antimicrobial stewardship and infection control","$199,341",$0,,,3 yrs 0 mth ,"Antimicrobial resistance, Diversity index, Infection control",Infection and Immunity,HEALTH CARE DELIVERY; INFECTIOUS AND PARASITIC; POPULATION HEALTH; HEALTH RESEARCH,2013-04-01,2016-03-31,0
"Walker, Gilbert C",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Improved Diagnosis of Leukemia Using Highly Multiplexed Surface Enhanced Raman Scattering Nanoparticles,"$100,000",$0,,,2 yrs 0 mth ,"Leukemia, Surface Enhanced Raman Scattering, Nanoparticles",Cancer Research,LEUKAEMIAS; BLOOD; CANCER; IMAGING,2014-04-01,2016-03-31,0
"Cloutier, Guy",Universite de Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Design of a bracelet embedding high-frequency ultrasound transducers to acquire venous blood echogenicity spectral data for patient monitoring,"$301,262",$0,,,3 yrs 0 mth ,"ultrasound, transducers, blood",Circulatory and Respiratory Health,MULTIDISCIPLINARY; IMAGING; CARDIOVASCULAR,2017-04-01,2020-03-31,0
"Jefferies, Wilfred A",University of British Columbia,British Columbia,Operating Grant: Industry-partnered Collaborative Research,201409IPR,Industry Partnered Collaborative Research,Developing Technologies to Modulate Immunogenicity in Disease,"$750,000",$0,,,3 yrs 0 mth ,"Immunogenicity, Modulation, Disease",Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CANCER THERAPY GENERAL; DRUG RESEARCH; IMMUNOLOGY-TRANSPLANTATION,2015-04-01,2018-03-31,10
"Lai, Yongjun","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,"""""""Laser-adjustable"""" sutures for glaucoma trabeculectomy surgery""","$138,215",$0,,,3 yrs 0 mth ,"laser, sutures, glaucoma",,,2012-04-01,2015-03-31,0
"Szturm, Tony J",University of Manitoba,Manitoba,Catalyst Grant: eHealth Innovations,201310CEH,e-Health Innovation Partnership Program (eHIPP),Games and Telerehabilitation for Balance impairments and gaze dysfunction: Testing model in clients with Peripheral Vestibular Disorders,"$66,461",$0,,,1 yr 0 mth ,"Telerehabilitation, Balance, Vestibular Disorders",Population and Public Health,HEALTH CARE DELIVERY; NONE OF THE ABOVE; HEALTH RESEARCH; NERVOUS SYSTEM,2014-03-01,2015-02-28,0
"Zhu, Julian X.X. X",Universite de Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,New Polymer Composites Based on Natural Compounds for Dental Applications,"$226,900",$0,,,3 yrs 0 mth ,"Polymer, Composites, Dental",Unable to allocate,NONE OF THE ABOVE; NOT CLASSIFIED,2010-09-01,2013-08-31,0
"Chiao, Mu",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,A MEMS-based ocular drug delivery device,"$295,641",$0,,,3 yrs 0 mth ,"MEMS, ocular, drug delivery",,,2012-04-01,2015-03-31,0
"Mahony, James B",McMaster University,Ontario,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Universal point-of-care test device for the rapid diagnosis of infectious diseases,"$247,495",$0,,,3 yrs 0 mth ,"point-of-care, diagnosis, infectious diseases",Infection and Immunity,HEALTH CARE DELIVERY; HEALTH SERVICES RESEARCH; HEALTH RESEARCH,2014-04-01,2017-03-31,2
"Hoare, Todd R",McMaster University,Ontario,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Engineering Starch-Based Nanoparticles and Nanoparticle Clusters for Improving Local Drug Delivery to Tumour Cores and the Brain,"$240,625",$0,,,3 yrs 0 mth ,"Starch, Nanoparticles, Drug delivery","Neurosciences, Mental Health and Addiction",CANCER THERAPY GENERAL; SCHIZOPHRENIA; DRUG RESEARCH; CANCER,2017-04-01,2020-03-31,3
"Chiao, Mu",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Development of a confocal endoscope for gastrointestinal cancer diagnosis,"$311,545",$0,,,3 yrs 0 mth ,"confocal, endoscope, gastrointestinal",Cancer Research,GASTRO-INTESTINAL CANCER; GASTRO-INTESTINAL DISEASE; IMAGING; CANCER,2017-04-01,2020-03-31,0
"Bizheva, Kostadinka K",University of Waterloo (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,Intra-operative Optical Coherence Tomography for corneal transplant surgery in Keratoconus,"$314,970",$0,,,3 yrs 0 mth ,"Optical Coherence Tomography, corneal transplant, Keratoconus","Neurosciences, Mental Health and Addiction",MULTIDISCIPLINARY; NONE OF THE ABOVE; IMAGING; VISION,2013-04-01,2016-03-31,0
"Nabi, Ivan R",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,Super-resolution microscopy network analysis: Drug target validation for cystic fibrosis,"$390,330","$18,000",,,3 yrs 0 mth ,"super-resolution, microscopy, cystic fibrosis",Circulatory and Respiratory Health,RESPIRATION; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; CELL BIOLOGY; DRUG RESEARCH,2019-04-01,2022-03-31,0
"Mousavi, Parvin","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,An integrated spectroscopy-ultrasound surgical navigation system for residual cancer detection in breast surgery.,"$188,350","$10,000",,,3 yrs 0 mth ,"spectroscopy, ultrasound, cancer detection",Cancer Research,BREAST CANCER; IMAGING; CANCER,2019-04-01,2022-03-31,1
"Menon, Carlo","Simon Fraser University (Burnaby, B.C.)",British Columbia,Collaborative Health Research Projects (NSERC partnered),201610CPG,Collaborative Health Research Projects - NSERC Partnered,Restoring normal gait: a disruptive assistive technology,"$251,314",$0,,,3 yrs 0 mth ,"Gait, assistive, technology",Aging,PARKINSON'S DISEASE; HEALTH RESEARCH,2017-04-01,2020-03-31,0
"Maynes, Jason T",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,Neonatal Stem Cell Secretomes as a Novel Regenerative Therapy for Heart Failure,"$318,560",$0,,,3 yrs 0 mth ,"Neonatal, Stem Cell, Heart Failure",Circulatory and Respiratory Health,"STROKE, HEART FAILURE; CARDIOLOGY; CARDIOVASCULAR; BIOCHEMISTRY",2019-04-01,2022-03-31,1
"Legros, Alexandre G",London Health Sciences Centre Res. Inc. (Ont.),Ontario,Operating Grant: Industry-partnered Collaborative Research - Other Partner,201103ISO,Industry Partnered Collaborative Research,Impact of an Extremely Low Frequency Magnetic Stimulus Between 5 and 50 mT on Human Neurophysiological Function: a Multidimensional Approach at 60 Hz,"$428,010",$0,,,3 yrs 0 mth ,"Magnetic stimulation, Neurophysiological function, Low frequency",Health Services and Policy Research,ENVIRONMENTAL INFLUENCES ON HEALTH; POPULATION HEALTH; BIOPHYSICS,2011-10-01,2014-09-30,0
"Beg, Mirza Faisal","Simon Fraser University (Burnaby, B.C.)",British Columbia,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,OCTSurfer - Advanced Imaging and Integrated Image Analysis Platform for 3D Optical Coherence Tomography Images of the Eye,"$341,410","$87,200",,,3 yrs 0 mth ,"Optical Coherence Tomography, Imaging, Eye",Population and Public Health,AGING; MULTIDISCIPLINARY; IMAGING; VISION,2018-04-01,2021-03-31,0
"McGuigan, Alison P",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,A tissue engineering platform to identify target combinations in tumour stoma to render tumours therapy sensitive,"$207,800",$0,,,3 yrs 0 mth ,"tissue engineering, tumour stroma, therapy sensitivity",Cancer Research,CANCER THERAPY GENERAL; CANCER,2016-04-01,2019-03-31,0
"Mubareka, Samira",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Characterization and mitigation of experimental and natural viral bioaerosols,"$241,032",$0,,,3 yrs 0 mth ,"viral, bioaerosols, characterization",Infection and Immunity,INFECTIOUS AND PARASITIC; VIRAL; HEALTH RESEARCH; VIROLOGY,2015-04-01,2018-03-31,0
"Pasini, Damiano",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Development of a mechanically biomcompatible hip replacement implant with Ti-6Al-4V open-cell microlattice architecture,"$237,998",$0,,,3 yrs 0 mth ,"hip replacement, biomcompatible, Ti-6Al-4V",Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT",2014-04-01,2017-03-31,2
"Hampson, David R",University of Toronto,Ontario,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,201103IRO,Industry Partnered Collaborative Research,Metabotropic Glutamate and GABA Receptors in Neuroinflammation,"$193,701","$4,785",,,3 yrs 0 mth ,"Glutamate, GABA, Receptors","Neurosciences, Mental Health and Addiction",AUTISM; MENTAL DISABILITY; MENTAL HEALTH; DRUG RESEARCH,2011-10-01,2014-09-30,1
"Chan, Warren C",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,Applying machine learning to 3D tumor histopathology for predicting patient outcomes,"$484,151",$0,,,3 yrs 0 mth ,"machine learning, histopathology, tumor",Cancer Research,LUNG CANCER; CANCER; BIOPHYSICS,2020-04-01,2023-03-31,2
"Despres, Philippe",Universite Laval,Quebec,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,"Predire l'evolution de l'hepatite C par la federation de donnees et l'intelligence artificielle : enjeux ethiques, juridiques, sociaux et de vie privee","$156,330",$0,,,3 yrs 0 mth ,"hepatite C, intelligence artificielle, federation de donnees",Infection and Immunity,LIVER DISEASE; POPULATION HEALTH; BIOETHICS,2019-04-01,2022-03-31,0
"Towler, Mark R",Toronto Metropolitan University,Toronto,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Transformative Bioglass Coatings for Surgical Applications.,"$320,161",$0,,,3 yrs 0 mth ,"Bioglass, Coatings, Surgical",Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; OSTEOPOROSIS; MUSCLE, BONE, OR JOINT; BIOCHEMISTRY",2014-04-01,2017-03-31,3
"Kadoury, Samuel",Polytechnique Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Image-Guided Molecular Optical Spectroscopy for Tumor-Targeted Prostate Cancer Interventions,"$201,422","$71,937",,,3 yrs 0 mth ,"Image-Guided, Molecular, Spectroscopy",Cancer Research,PROSTATE AND BLADDER CANCER; IMAGING; CANCER,2018-04-01,2021-03-31,0
"Wootton, Sarah",University of Guelph,Ontario,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,Clinical Advancement of an AAV Lung Gene Therapy Platform for the Treatment of Monogenic Lung Diseases,"$280,788","$25,000",,,3 yrs 0 mth ,"AAV, gene therapy, lung",Circulatory and Respiratory Health,VIRAL; RESPIRATION; VIROLOGY,2020-04-01,2023-03-31,0
"Tavakoli, Mahdi",University of Alberta,Alberta,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,An Intelligent Needle Adjustment Assistant for Prostate Brachytherapy,"$147,327",$0,,,3 yrs 0 mth ,"Needle, Adjustment, Brachytherapy",Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; CANCER,2013-04-01,2016-03-31,2
"Gulak, Glenn",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,A Wireless CMOS Device for Rapid Point-of-Care Diagnosis of Bacterial Infections and Antibiotic Susceptibility Profiling,"$677,527",$0,,,3 yrs 0 mth ,"Wireless, CMOS, Bacterial Infections",Infection and Immunity,HEALTH CARE DELIVERY; INFECTIOUS AND PARASITIC; HEALTH RESEARCH; BACTERIOLOGY,2014-04-01,2017-03-31,1
"Soulez, Gilles",Universite de Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,Optimization and preclinical testing of a sclerosing and embolizing gel for embolization of varicose veins,"$278,520","$3,500",,,3 yrs 0 mth ,"sclerosing, embolizing, veins",Circulatory and Respiratory Health,MULTIDISCIPLINARY; CLOTTING DEFECTS/THROMBOSIS; CARDIOVASCULAR; IMAGING,2020-04-01,2023-03-31,0
"Minchinton, Andrew I",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Hypoxia-selective inhibitors of DNA repair,"$259,381",$0,,,3 yrs 0 mth ,"hypoxia, inhibitors, DNA repair",Cancer Research,CANCER THERAPY GENERAL; DRUG RESEARCH; CANCER,2018-04-01,2021-03-31,3
"Godin, Michel",University of Ottawa,Ontario,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Cocooning Therapeutic Cells,"$261,805",$0,,,3 yrs 0 mth ,"Cocooning, Therapeutic Cells",Circulatory and Respiratory Health,CARDIOLOGY; MULTIPLE DISEASE RELEVANCE; HEALTH RESEARCH; BIOPHYSICS,2015-04-01,2018-03-31,0
"Carson, Jeffrey J",Western University (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Non-contact 3D photoacoustic/ultrasonic imaging for detecting the early response to neoadjuvant chemotherapy in breast cancer patients,"$325,780",$0,,,3 yrs 0 mth ,"photoacoustic, ultrasonic, imaging",Cancer Research,BREAST CANCER; BREAST CANCER THERAPY; IMAGING; CANCER,2016-04-01,2019-03-31,0
"Scollie, Susan D",Western University (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,Rapid measures of speech-evoked brainstem activity in infants who have hearing loss: Assessing hearing aid benefit for speech sounds.,"$164,423",$0,,,3 yrs 0 mth ,"speech, brainstem, hearing loss","Human Development, Child and Youth Health",DEAFNESS; MULTIDISCIPLINARY; HEARING; NERVOUS SYSTEM,2016-04-01,2019-03-31,0
"Menon, Carlo","Simon Fraser University (Burnaby, B.C.)",British Columbia,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Robotic assisted transcranial magnetic stimulation therapy,"$180,100",$0,,,3 yrs 0 mth ,"robotic, transcranial, magnetic",Aging,HEALTH CARE DELIVERY; MUSCULO SKELETAL; HEALTH RESEARCH; AGING,2012-07-01,2016-09-30,0
"Bromme, Dieter",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201711CPG,Collaborative Health Research Projects - NSERC Partnered,Side effect-free cathepsin K targeting drugs for skeletal diseases,"$359,850",$0,,,3 yrs 0 mth ,"cathepsin K, skeletal diseases, targeting",Musculoskeletal Health and Arthritis,"ARTHRITIS/OSTEOARTHRITIS; BONE CANCER THERAPY; MUSCLE, BONE, OR JOINT; DRUG RESEARCH",2018-04-01,2021-03-31,0
"Lesk, Mark R",Universite de Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201010CPG,Collaborative Health Research Projects - NSERC Partnered,Pulsatile displacement of the lamina cribrosa in the pathogenesis of glaucoma: development of a novel device and preliminary clinical testing,"$222,158",$0,,,3 yrs 0 mth ,"pulsatile displacement, lamina cribrosa, glaucoma",,,2011-04-01,2014-03-31,0
"Buckeridge, David L",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,Knowledge-Based Detection of Hospital Acquired Infections,"$218,060",$0,,,3 yrs 0 mth ,"Knowledge, Detection, Infections",Unable to allocate,NONE OF THE ABOVE; NOT CLASSIFIED,2010-04-01,2013-03-31,0
"Philip, Anie",Research Institute of the McGill University Health Centre,Quebec,Operating Grant: Industry-partnered Collaborative Research - Other Partner,201009ISO,Industry Partnered Collaborative Research,Role of endoglin in aberrant TGF-beta signaling in scleroderma,"$60,000",$0,,,2 yrs 0 mth ,"endoglin, TGF-beta, scleroderma",Musculoskeletal Health and Arthritis,SKIN AND SUBCUTANEOUS TISSUS; ILL-DEFINED CONDITIONS; MOLECULAR BIOLOGY; CELL BIOLOGY,2011-04-01,2013-03-31,0
"Wang, Yuzhuo",University of British Columbia,British Columbia,Operating Grant: Industry-partnered Collaborative Research,201109IPR,Industry Partnered Collaborative Research,"Next generation patient-derived, genetically-defined prostate cancer xenograft models for anti- cancer drug development","$375,000",$0,,,3 yrs 0 mth ,"patient-derived, prostate cancer, xenograft",Cancer Research,PROSTATE AND BLADDER CANCER; PROSTATE AND BLADDER CANCER THERAPY; CANCER,2012-04-01,2015-03-31,5
"Grover, Steven A",Research Institute of the McGill University Health Centre,Quebec,Catalyst Grant: eHealth Innovations,201210CEH,e-Health Innovation Partnership Program (eHIPP),Evaluating a Multidisciplinary E-Health Program to Promote Regular Physical Activity Among Individuals at Increased Risk of Cardiovascular Disease,"$99,390",$0,,,1 yr 0 mth ,"E-Health, Physical Activity, Cardiovascular Disease",Health Services and Policy Research,HEALTH PROMOTION; PSYCHOSOCIAL AND HEALTH BEHAVIOURS; PSYCHOSOCIAL/HEALTH BEHAVIOURAL RES.; HEALTH RESEARCH,2013-03-01,2014-02-28,0
"Fels, Sidney S",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201110CPG,Collaborative Health Research Projects - NSERC Partnered,Model-based prediction of mastication and swallowing outcomes for head and neck surgery,"$255,500",$0,,,3 yrs 0 mth ,"model, prediction, mastication",,,2012-04-01,2015-03-31,0
"Krewski, Daniel R",University of Ottawa,Ontario,Operating Grant: Industry-partnered Collaborative Research - Other Partner,201009ISO,Industry Partnered Collaborative Research,Risk of brain cancer from exposure to radiofrequency fields from wireless telecommunication devices in childhood and adolescence,"$419,601",$0,,,5 yrs 0 mth ,"brain cancer, radiofrequency, wireless",Population and Public Health,ENVIRONMENTAL INFLUENCES ON HEALTH; POPULATION HEALTH,2011-04-01,2016-03-31,0
"Martel, Sylvain",Polytechnique Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Endovascular navigation of magnetic drug eluting beads for liver cancer therapy: Feasibility and optimization,"$252,318",$0,,,3 yrs 0 mth ,"endovascular, magnetic beads, liver cancer",Cancer Research,LIVER DISEASE; CANCER THERAPY GENERAL; IMAGING; CANCER,2015-04-01,2018-03-31,0
"Godin, Michel",University of Ottawa,Ontario,Collaborative Health Research Projects (NSERC partnered),201910CPG,Collaborative Health Research Projects - NSERC Partnered,Enhancing cell therapies using microfluidic encapsulation strategies,"$480,060","$13,960",,,3 yrs 0 mth ,"cell, microfluidic, encapsulation",Circulatory and Respiratory Health,CARDIOLOGY; MULTIPLE DISEASE RELEVANCE; HEALTH RESEARCH; BIOPHYSICS,2020-04-01,2023-03-31,0
"Hemmerling, Thomas M",McGill University,Quebec,Collaborative Health Research Projects (NSERC partnered),200910CPG,Collaborative Health Research Projects - NSERC Partnered,McSleepy - the first completely automatic anesthesia delivery system,"$199,571",$0,,,3 yrs 0 mth ,"anesthesia, delivery, automatic",Unable to allocate,NONE OF THE ABOVE; NOT CLASSIFIED,2010-04-01,2013-03-31,0
