Project_Title,Name,Institution_Paid,Location,Program_Name,Competition_CD,PRC_Name,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,title_keywords,patents
Preclinical development of glycerophosphocarbamates as prostate-selective anticancer drugs,"Arthur, Gilbert",University of Manitoba,Manitoba,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,137617,0,1 yr 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; CANCER THERAPY GENERAL; CANCER; DRUG RESEARCH,7/1/2009,2010-06-30,"glycerophosphocarbamates, prostate, anticancer",0
Validation of Tissue and Cytology Microarray Spotter (TCMS) for Simultaneous Multiple Biomarker Detection in Cells,"Banerjee, Diponkar",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,150000,0,1 yr 0 mth ,Cancer Research,NEOPLASMS; NONE OF THE ABOVE; CANCER; MOLECULAR BIOLOGY,1/1/2009,2009-12-31,"Tissue, Cytology, Microarray",0
Preclinical studies of a novel CFTR potentiator for commercialization as a therapy for chronic obstructive pulmonary disease.,"Bear, Christine E",Hospital for Sick Children (Toronto),Ontario,Project Grant,202403PJT,Commercialization,325125,0,2 yrs 0 mth ,Circulatory and Respiratory Health,Commercialization-Technology Transfer,10/1/2024,2026-09-30,"CFTR, potentiator, pulmonary disease",0
Improving the diagnosis of colorectal cancer using fecal mRNA and protein markers: The integrin alpha 6A subunit,"Beaulieu, Jean-Franeois",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,160000,0,1 yr 0 mth ,Cancer Research,GASTRO-INTESTINAL CANCER; GASTRO-INTESTINAL CANCER THERAPY; GASTROINTESTINAL (LIVER); CANCER,4/1/2014,2015-03-31,"colorectal cancer, fecal mRNA, integrin alpha 6A",0
Cells lines for screening GPCR/Nav signaling compound,"Beaulieu, Martin",Universite Laval,Quebec,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,160000,0,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; CELL BIOLOGY,10/1/2013,2014-09-30,"cells, GPCR, signaling",1
Novel end-to-end platform for extraction of body composition measurements from CT images for research and integration into clinical workflows for precision medicine,"Beg, Mirza Faisal","Simon Fraser University (Burnaby, B.C.)",British Columbia,Project Grant - Priority Announcement: Cancer Research,202209PJS,Commercialization,100000,0,1 yr 0 mth ,Cancer Research,Biomedical Engineering-Biomedical Imaging; Artificial Intelligence-Machine Learning; Commercialization-Industry Research & Development,3/1/2023,2024-02-29,"body composition, CT images, precision medicine",0
Staging the host in Cancer: AI-based automated comprehensive body composition assessment for Precision Medicine,"Beg, Mirza Faisal","Simon Fraser University (Burnaby, B.C.)",British Columbia,Project Grant,202303PJT,Commercialization,956250,0,3 yrs 0 mth ,Cancer Research,Biomedical Engineering-Biomedical Imaging; Artificial Intelligence-Machine Learning; Commercialization-Industry Research & Development,10/1/2023,2026-09-30,"AI, body composition, cancer",0
Increasing vaccine manufacturing output using viral sensitizer technology,"Bell, John C",Ottawa Hospital Research Institute,Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,136750,0,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; VIRAL; HEALTH RESEARCH; VIROLOGY,4/1/2011,2012-03-31,"vaccine, manufacturing, viral sensitizer",7
Biological Viral Sensitizers for GMP Manufacturing,"Bell, John C",Ottawa Hospital Research Institute,Ontario,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,123000,37000,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; VIRAL; CANCER; VIROLOGY,4/1/2014,2015-03-31,"Viral, Sensitizers, Manufacturing",5
"Advancing the clinical development of [18F]AMBF3-TATE, a novel imaging probe for neuroendocrine tumours","Benard, Francois",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,160000,0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; CANCER; IMAGING,10/1/2015,2016-09-30,"[18F], imaging, neuroendocrine",8
"Developpement, optimisation et multiplexage d'un oligonucleotide synthetique permettant l'amplification d'ADN et l'hybridation sur support solide en une seule etape. PDP PhaseI","Bergeron, Michel G",Universite Laval,Quebec,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,160000,0,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; MOLECULAR BIOLOGY; BACTERIOLOGY,4/1/2015,2016-03-31,"oligonucleotide, amplification, hybridation",0
Novel compounds for treatment of pulmonary hypertension,"Bernatchez, Pascal N",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,158389,0,1 yr 0 mth ,Circulatory and Respiratory Health,HYPERTENSION; CARDIOVASCULAR; RESPIRATION,4/1/2013,2014-03-31,"compounds,pulmonary hypertension",0
"BootleBlast, a movement tracking video game for home-based motor therapy - Navigating gaps to market readiness","Biddiss, Elaine A",Holland Bloorview Kids Rehabilitation Hospital (Toronto),Ontario,Project Grant,201909PJT,Commercialization,409276,0,3 yrs 0 mth ,"Human Development, Child and Youth Health",Commercialization-Technology Transfer,4/1/2020,2023-03-31,"movement tracking, video game, motor therapy",0
Development of Tdp1 inhibitors for treating cancer,"Boerkoel, Cornelius F",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,159927,0,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; DRUG RESEARCH; CANCER,10/1/2011,2012-09-30,"Tdp1, inhibitors, cancer",0
Validation of a fully automated virtual reality based spatial memory improvement program that promotes healthy aging,"Bohbot, Veronique",CIUSSS de l'Ouest-de-l'Ile-de-Montreal-Douglas Hospital,Quebec,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,160000,0,1 yr 0 mth ,Aging,ALZHEIMER'S DISEASE; HEALTH PROMOTION,10/1/2014,2015-09-30,"virtual reality, spatial memory, aging",1
Un nouveau vecteur de medicaments ophtalmiques e base de nanoparticules d'or,"Boisselier Mailfait, Elodie",Universite Laval,Quebec,Project Grant,202003PJT,Commercialization,550800,0,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",Commercialization-Intellectual Property,10/1/2020,2025-09-30,"vecteur, nanoparticules, ophtalmiques",0
