Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years,Primary_Institute,Research_Categories,Funding_Start,title_keywords,Patents,companies,companies_count,company_position,grant_id,researcher_id
"Cynader, Max S",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Novel peptide as potential therapeutic for treatment of ischemic stroke,160000.0,0.0,1.0,"Neurosciences, Mental Health and Addiction","STROKE, HEART FAILURE",4/1/2012,"peptide, ischemic stroke",1.0,,0.0,,80,53
"Dacosta, Ralph S",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,"Development of PRODIGI, a Handheld Optical Imaging Technology for Real-time Intraoperative-guidance of Breast Tumour Resection",121250.0,24000.0,1.0,Cancer Research,BREAST CANCER; BREAST CANCER THERAPY; IMAGING; CANCER,10/1/2011,"Optical imaging, Intraoperative guidance, Breast tumor",9.0,SBI ALApharma Canada inc.; Moleculight Inc.,2.0,C-suite,20,54
"Daugaard, Mads",University of British Columbia,British Columbia,Project Grant,202403PJT,Commercialization,An integrated AI-powered platform for cell analytics,730576.0,0.0,4.0,Cancer Research,Commercialization-Technology Transfer; Artificial Intelligence-Machine Learning; Methods Development and Modelling-Qualitative Methods Development for Health Research,10/1/2024,"AI, cell, analytics",0.0,,0.0,,81,55
"DeWitte-Orr, Stephanie","Wilfrid Laurier University (Waterloo, Ontario)",Ontario,Project Grant - PA: Pandemic Preparedness and Health Emergencies Research,202209PPE,Commercialization,Developing intranasal dsRNA molecules as broadly effective therapeutics against highly pathogenic coronaviruses,100000.0,0.0,1.0,Infection and Immunity,"Immunology and Infection-Virology; Commercialization-Intellectual Property; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",3/1/2023,"intranasal, dsRNA, coronaviruses",0.0,,0.0,,83,56
"Diallo, Jean-Simon",Ottawa Hospital Research Institute,Ontario,Proof of Principle Program - Phase II,201402PP2,Proof of Principle,Evaluation of viral sensitizer technology in improving egg-based influenza vaccine manufacturing processes,222143.0,77857.0,1.0,Infection and Immunity,VIRAL; NONE OF THE ABOVE; VIROLOGY; BIOCHEMISTRY,10/1/2014,"viral, sensitizer, influenza",5.0,,0.0,,84,57
"Diamandis, Eleftherios P",Sinai Health System (Toronto),Ontario,Project Grant,202203PJT,Commercialization,"KaliDerm Therapeutics: A research/commercialization plan to validate, better define and add value to our proprietary dual KLK5/7 inhibitor as a novel topical therapeutic for Netherton Syndrome.",336600.0,0.0,2.0,Infection and Immunity,"Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",10/1/2022,"KLK5, KLK7, Netherton Syndrome",0.0,,0.0,,85,58
"Dmitrienko, Gary I",University of Waterloo (Ontario),Ontario,Proof of Principle Program Phase I - Drug Development,200904PDD,Proof of Principle,Novel beta lactamase inhibitors to combat antibiotic resistance,150000.0,0.0,1.0,Infection and Immunity,INFECTIOUS AND PARASITIC; DRUG RESEARCH; BACTERIOLOGY,7/1/2009,"beta lactamase, antibiotics, resistance",1.0,,0.0,,86,59
"Dmitrienko, Gary I",University of Waterloo (Ontario),Ontario,Proof of Principle Program - Phase II,201009PP2,Proof of Principle,New drugs for antibiotic resistant bacterial infections,133277.0,0.0,1.0,Infection and Immunity,INFECTIOUS AND PARASITIC; DRUG RESEARCH; BIOCHEMISTRY,4/1/2011,"antibiotic, resistant bacteria, infections",0.0,,0.0,,87,59
"Doschak, Michael R",University of Alberta,Alberta,Proof of Principle Program Phase I - Drug Development,201003PDD,Proof of Principle,Bisphosphonate-conjugated Calcitonin,117929.0,0.0,1.0,Musculoskeletal Health and Arthritis,"DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; MUSCULO SKELETAL; DRUG RESEARCH; MUSCLE, BONE, OR JOINT",10/1/2010,"Bisphosphonate, Calcitonin",2.0,,0.0,,88,60
"Doschak, Michael R",University of Alberta,Alberta,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Bone-Seeking Iron Oxide Nanoparticles for Imaging Bone Metabolism,160000.0,0.0,1.0,Musculoskeletal Health and Arthritis,"DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; MUSCULO SKELETAL; DRUG RESEARCH; MUSCLE, BONE, OR JOINT",4/1/2016,"Iron oxide, nanoparticles, imaging",0.0,,0.0,,89,60
"Drangova, Maria",Western University (Ontario),Ontario,Project Grant,202010PJT,Commercialization,Contact-force controller to eliminate the effects of motion during cardiac radiofrequency ablation,367200.0,0.0,2.0,Circulatory and Respiratory Health,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",4/1/2021,"contact-force, radiofrequency, ablation",1.0,,0.0,,90,61
"Du, Caigan",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Preclinical Development of a Novel Organ Transplant Solution,160000.0,0.0,1.0,"Nutrition, Metabolism and Diabetes","GENITO/URINARY SYSTEM; MULTIPLE DISEASE RELEVANCE; RENAL FUNCTION, NEPHROLOGY, UROLOGY; DRUG RESEARCH",4/1/2015,"organ transplant, solution",2.0,,0.0,,91,62
"Dumont, Guy A",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Certifiably safe closed-loop control of anesthesia,158740.0,0.0,1.0,Circulatory and Respiratory Health,HEALTH RESEARCH,10/1/2015,"closed-loop, control, anesthesia",2.0,,0.0,,92,63
"Dutta, Tilak",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Pressure ulcer prevention: a novel prompting system for patient repositioning,137401.0,0.0,1.0,Aging,SKIN AND SUBCUTANEOUS TISSUS; MULTIPLE DISEASE RELEVANCE; AGING; GERIATRICS,4/1/2016,"pressure ulcer, prompting system, repositioning",0.0,,0.0,,93,64
"Dyck, Jason R",University of Alberta,Alberta,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Preclinical Development and Optimization of Small Molecules for the Treatment of Atrial Fibrillation,160000.0,0.0,1.0,Circulatory and Respiratory Health,ARRHYTHMIAS; CARDIOLOGY; CARDIOVASCULAR; DRUG RESEARCH,4/1/2015,"Small Molecules, Atrial Fibrillation, Preclinical",0.0,,0.0,,94,65
"Fenster, Aaron",Western University (Ontario),Ontario,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,3D Ultrasound Scanner System For Management Of Intraventricular Hemorrhage In Preterm Neonates,148062.0,0.0,1.0,"Human Development, Child and Youth Health",MULTIDISCIPLINARY; NONE OF THE ABOVE; IMAGING; BIOPHYSICS,4/1/2014,"3D Ultrasound, Intraventricular Hemorrhage, Neonates",1.0,,0.0,,95,66
"Fenster, Aaron",Western University (Ontario),Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,MR-Guided Focal Ablation of Prostate Cancer,143110.0,10313.0,1.0,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; IMAGING; CANCER,4/1/2016,"MR, Ablation, Prostate Cancer",0.0,,0.0,,96,66
"Finlay, Barton B",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201009PP2,Proof of Principle,A sub-unit based vaccine for Salmonella,149685.0,0.0,1.0,Infection and Immunity,GASTRO-INTESTINAL DISEASE; INFECTIOUS AND PARASITIC; BACTERIOLOGY; GASTROINTESTINAL (LIVER),4/1/2011,"sub-unit, vaccine, Salmonella",1.0,,0.0,,97,67
"Flynn, Lauren E",Western University (Ontario),Ontario,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Development of novel porous extracellular matrix-derived bioscaffolds for cutaneous wound healing,160000.0,0.0,1.0,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; INJURY, REGENERATION; HEALTH RESEARCH; CELL BIOLOGY",4/1/2015,"porous, extracellular matrix, bioscaffolds",1.0,,0.0,,98,68
"Fon, Edward A",McGill University,Quebec,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Targeting Alpha-Synuclein Propagation in the Treatment of Parkinson's Disease and Other Synucleinopathies,159946.0,0.0,1.0,"Neurosciences, Mental Health and Addiction",PARKINSON'S DISEASE; AGING; NERVOUS SYSTEM; DRUG RESEARCH,10/1/2014,"Alpha-Synuclein, Propagation, Parkinson's Disease",0.0,,0.0,,99,69
"Foster, Leonard J",University of British Columbia,British Columbia,Project Grant - PA: Pandemic Preparedness and Health Emergencies Research,202403PPE,Commercialization,Development and Commercialization of a Safe and Effective Mpox Subunit Vaccine witheGlobaleImpact,100000.0,0.0,1.0,Population and Public Health,"Population and Health-Health Promotion and Disease Prevention; Immunology and Infection-Antiviral Drug Resistance, Viral Vaccine Development and Therapeutics (including vaccines); Commercialization-Industry Research & Development",1/1/2009,"Mpox, Subunit, Vaccine",0.0,,0.0,,100,70
"Foster, Leonard J",University of British Columbia,British Columbia,Project Grant - PA: Pandemic Preparedness and Health Emergencies Research,202309PPE,Commercialization,Development and Commercialization of a Safe and Effective Mpox Subunit Vaccine witheGlobaleImpact,100000.0,0.0,1.0,Population and Public Health,"Population and Health-Health Promotion and Disease Prevention; Immunology and Infection-Antiviral Drug Resistance, Viral Vaccine Development and Therapeutics (including vaccines)",3/1/2024,"Mpox, Subunit, Vaccine",0.0,,0.0,,101,70
"Fraser, Paul E",University of Toronto,Ontario,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Amyloid-Based Therapies for Type 2 Diabetes,150000.0,0.0,1.0,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; METABOLISM AND NUTRITION; METABOLISM/DIABETES; BIOCHEMISTRY,1/1/2009,"Amyloid, Therapies, Diabetes",3.0,,0.0,,102,71
"Frost, Eric H",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,"Simultaneous Influenza A detection, subtyping, and oseltamivir resistance determination",95000.0,65000.0,1.0,Infection and Immunity,INFECTIOUS AND PARASITIC; MULTIPLE DISEASE RELEVANCE; VIROLOGY; HEALTH RESEARCH,10/1/2011,"Influenza, detection, resistance",0.0,,0.0,,103,72
"Garnis, Cathie",University of British Columbia,British Columbia,Project Grant,201809PJT,Commercialization,Blood based biomarker for the early detection of recurrent head and neck cancer,539324.0,0.0,4.0,Cancer Research,Cancer-Clinical Oncology,4/1/2019,"blood, biomarker, cancer",0.0,,0.0,,104,73
"Garnis, Cathie",University of British Columbia,British Columbia,Project Grant,202309PJT,Commercialization,Blood based biomarker for the early detection of recurrent oropharyngeal cancer,474300.0,0.0,4.0,Cancer Research,Cancer-Cancer Progression and Metastasis; Cancer-Clinical Oncology,4/1/2024,"blood, biomarker, oropharyngeal cancer",0.0,,0.0,,105,73
"Gatignol, Anne",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Development of antisense-based small RNA agents targeting the GAG open reading frame of HIV-1 RNA for use in gene and drug therapy against HIV-1 infection.,159550.0,0.0,1.0,Infection and Immunity,AIDS; VIRAL; VIROLOGY; MOLECULAR BIOLOGY,4/1/2014,"antisense, RNA, HIV-1",1.0,,0.0,,106,74
"Ghahary, Aziz",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Discovery of a Novel Anti-fibrogenic factor and its Therapeutic evaluation,150932.0,0.0,1.0,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; INJURY, REGENERATION",4/1/2012,"Anti-fibrogenic, factor, therapeutic",3.0,,0.0,,107,75
"Ghahary, Aziz",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Re -constitutable skin substitute powder kit,147089.0,0.0,1.0,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; INJURY, REGENERATION",4/1/2014,"skin, substitute, powder",2.0,,0.0,,108,75
"Gibbings, Derrick J",University of Ottawa,Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Technology to build a drug delivery platform for silencing RNAs using exosomes,159941.0,0.0,1.0,Aging,MULTIPLE DISEASE RELEVANCE; MULTIDISCIPLINARY; HEALTH RESEARCH; DRUG RESEARCH,10/1/2015,"drug delivery, exosomes, RNAs",3.0,,0.0,,109,76
"Gleave, Martin E",University of British Columbia,British Columbia,Project Grant,201709PJT,Commercialization,Preclinical development of a novel androgen receptor antagonist to treat castration-resistant prostate cancer,351900.0,0.0,2.0,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,4/1/2018,"androgen receptor, prostate cancer, antagonist",3.0,,0.0,,110,77
"Glogauer, Michael",University of Toronto,Ontario,Proof of Principle Program - Phase II,200904PP2,Proof of Principle,Clinical Evaluation of a Chair-side In Vitro Rinse Test for Predicting Onset and Recurrent Adult Periodontitis,88399.0,0.0,1.0,Musculoskeletal Health and Arthritis,DENTAL DISEASE (INCL. ORAL BIOLOGY); DENTAL SCIENCE - Oral Biology; IMMUNOLOGY-TRANSPLANTATION,7/1/2009,"Chair-side, In Vitro, Periodontitis",0.0,,0.0,,111,78
"Gobbi, Gabriella",McGill University,Quebec,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Novel first-in-class MT2 melatonin receptor partial agonists for neuropathic pain,160000.0,0.0,1.0,"Neurosciences, Mental Health and Addiction",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; MENTAL AND BEHAVIOURAL DISEASES; DRUG RESEARCH; NERVOUS SYSTEM,4/1/2016,"MT2, melatonin receptor, neuropathic pain",4.0,,0.0,,112,79
"Gobeil, Fernand J",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Agonistes synthetiques de kinines : Optimiser la livraison et l'efficacite des chimiotherapies des tumeurs cerebrales,149418.0,0.0,1.0,Cancer Research,BRAIN TUMORS THERAPY; BRAIN TUMORS (INCL. RETINAL TUMORS); CANCER; HEALTH RESEARCH,4/1/2012,"kinines, livraison, chimiotherapies",0.0,,0.0,,113,80
"Gong, Siew-Ging",University of Toronto,Ontario,Project Grant,202203PJT,Commercialization,Streptococcus salivarius Probiotics Against Dental Caries Pathogens,535501.0,0.0,4.0,Musculoskeletal Health and Arthritis,"Commercialization-Intellectual Property; Health Determinants-Etiology of Disease and Conditions; Immunology and Infection-Antimicrobial Drug Resistance, Drug Discovery and Therapeutics (including vaccines)",10/1/2022,"Streptococcus salivarius, Probiotics, Dental Caries",1.0,,0.0,,114,81
"Graham, Simon J","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Tablet Technology for Assessing Dementia,116402.0,0.0,1.0,"Neurosciences, Mental Health and Addiction",ALZHEIMER'S DISEASE; IMAGING; NERVOUS SYSTEM,10/1/2011,"Tablet, Dementia, Assessing",1.0,,0.0,,115,82
"Granville, David J",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,200910PP2,Proof of Principle,Therapeutic antibody development towards granzyme B,101240.0,0.0,1.0,Circulatory and Respiratory Health,NONE OF THE ABOVE; AGING; CARDIOVASCULAR,4/1/2010,"antibody, granzyme B",7.0,,0.0,,116,83
"Gratzer, Paul F",Dalhousie University (Nova Scotia),Nova Scotia,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Decellularization of Human Skin,149034.0,10900.0,1.0,Musculoskeletal Health and Arthritis,SKIN AND SUBCUTANEOUS TISSUS; IMMUNOLOGY-TRANSPLANTATION; NOT CLASSIFIED,4/1/2011,"Decellularization, Human Skin",1.0,Decell Technologies Inc.,1.0,C-suite,3,84
"Greer, John J",University of Alberta,Alberta,Proof of Principle Program - Phase II,201502PP2,Proof of Principle,Ampakine Therapy for Alleviating Respiratory Depression,145440.0,0.0,1.0,Circulatory and Respiratory Health,RESPIRATION; NONE OF THE ABOVE; NERVOUS SYSTEM,10/1/2015,"Ampakine, Respiratory Depression, Therapy",2.0,,0.0,,117,85
"Grierson, David S",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Development of Specific Inhibitors of HIV pre-mRNA Alternative Splicing: A New Anti-HIV/AIDS Strategy,160000.0,0.0,1.0,Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; AIDS; DRUG RESEARCH; VIROLOGY,4/1/2015,"HIV, pre-mRNA, splicing",4.0,,0.0,,118,86
"Gross, Peter L",McMaster University,Ontario,Project Grant,202203PJT,Commercialization,Benchmarking a point-of-care test kit for detection of direct-oral anticoagulants,279225.0,0.0,2.0,Circulatory and Respiratory Health,"Cardiovascular, Respiratory and Circulatory Systems-Vascular and Endothelial Biology; Commercialization-Intellectual Property; Cardiovascular, Respiratory and Circulatory Systems-Hematology",10/1/2022,"point-of-care, anticoagulants, detection",0.0,,0.0,,119,87
"Grynpas, Marc D",Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,"""Calcium Polyphosphate Bone Substitutes""",156022.0,0.0,1.0,Musculoskeletal Health and Arthritis,"OSTEOPOROSIS; AGING; MUSCLE, BONE, OR JOINT",4/1/2011,"Calcium, Polyphosphate, Bone",2.0,,0.0,,120,88
"Guertin, Pierre",Universite Laval,Quebec,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,First-in-class Therapeutic Against Urinary Retention (Continence) in Patients with Chronic Spinal Cord Injury and Related Disorders,160000.0,0.0,1.0,"Neurosciences, Mental Health and Addiction","SPINAL CORD DISEASE; GENITO/URINARY SYSTEM; NERVOUS SYSTEM; RENAL FUNCTION, NEPHROLOGY, UROLOGY",4/1/2012,"Urinary retention, spinal cord injury, continence",2.0,,0.0,,121,89
"Guertin, Pierre",Universite Laval,Quebec,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,A Novel Class of Drug Treatment Against Chronic Constipation in Spinal Cord-Injured People,160000.0,0.0,1.0,"Neurosciences, Mental Health and Addiction",SPINAL CORD DISEASE; GASTRO-INTESTINAL DISEASE; NERVOUS SYSTEM; GASTROINTESTINAL (LIVER),10/1/2013,"Drug, Constipation, Spinal Cord",0.0,,0.0,,122,89
"Haddad, Elie","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Project Grant - PA: Breast Cancer Research,202109PLL,Commercialization,Platform of synthetic specific promoters for immunotherapies and regenerative medicine,100000.0,0.0,1.0,Cancer Research,Commercialization-Intellectual Property; Commercialization-Technology Transfer; Cancer-Cancer Drug Development and Therapeutics,3/1/2022,"synthetic promoters, immunotherapies, regenerative medicine",0.0,,0.0,,123,90
"Haddad, Elie","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Project Grant,202209PJT,Commercialization,Empowering innovative hematopoietic stem cells (HSC)-based cancer immunotherapy through the creation of synthetic specific promoters,765000.0,0.0,4.0,Cancer Research,Commercialization-Intellectual Property; Commercialization-Technology Transfer; Cancer-Cancer Drug Development and Therapeutics,4/1/2023,"hematopoietic stem cells, immunotherapy, synthetic promoters",1.0,,0.0,,124,90
"Hancock, Robert Ernest W",University of British Columbia,British Columbia,Proof of Principle Program Phase I - Drug Development,201102PDD,Proof of Principle,Novel anti-inflammatory treatment for Amyotrophic Lateral Sclerosis,160000.0,0.0,1.0,"Neurosciences, Mental Health and Addiction",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; AMYOTROPHIC LATERAL SCLEROSIS (ALS); DRUG RESEARCH; NERVOUS SYSTEM,10/1/2011,"anti-inflammatory, Amyotrophic Lateral Sclerosis",1.0,,0.0,,125,91
"Hancock, Robert Ernest W",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Anti-Biofilm Therapy,160000.0,0.0,1.0,Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; INFECTIOUS AND PARASITIC; BACTERIOLOGY; DRUG RESEARCH,4/1/2013,"Anti-biofilm, Therapy",4.0,,0.0,,126,91
"Hanrahan, John W",McGill University,Quebec,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,CFTR modulators as a potential new therapeutic paradigm to treat individuals with COPD,159665.0,0.0,1.0,Circulatory and Respiratory Health,CHRONIC OBSTRUCTIVE LUNG DISEASE; RESPIRATION; HEALTH RESEARCH,10/1/2014,"CFTR, modulators, COPD",2.0,,0.0,,127,92
"Hansen, Carl L",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Pre-commercial development of single cell antibody selection process,154120.0,0.0,1.0,Infection and Immunity,MULTIPLE DISEASE RELEVANCE; MULTIDISCIPLINARY; IMMUNOLOGY-TRANSPLANTATION; HEALTH RESEARCH,10/1/2012,"single cell, antibody, selection",11.0,,0.0,,128,93
"Hassell, John A",McMaster University,Ontario,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Characterization of small molecule sensitizers to chemotherapy,160000.0,0.0,1.0,Cancer Research,BREAST CANCER THERAPY; BREAST CANCER; CANCER; DRUG RESEARCH,4/1/2012,"small molecule, sensitizers, chemotherapy",0.0,,0.0,,129,94
"Hebert, Marc",Universite Laval,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,"Diagnostic differentiel de la schizophrenie, la depression bipolaire et la depression majeure e l'aide de l'electroretinographie",159700.0,0.0,1.0,"Neurosciences, Mental Health and Addiction",DEPRESSION; MENTAL HEALTH,4/1/2014,"diagnostic, electroretinography, schizophrenia",1.0,,0.0,,130,95
"Hess, Robert F",McGill University,Quebec,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Assessment and Treatment of Binocular Vision in Amblyopia,126802.0,0.0,1.0,"Neurosciences, Mental Health and Addiction",DISEASES AFFECTING SPEECH/VISION/HEARING; VISION,1/1/2009,"Binocular vision, Amblyopia",6.0,,0.0,,131,96
"Houde, Daniel",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Radiotherapie par filamentation laser femtoseconde,112602.0,0.0,1.0,Cancer Research,CANCER THERAPY GENERAL; BRAIN TUMORS THERAPY; CANCER; BIOPHYSICS,4/1/2011,"radiotherapie, laser, femtoseconde",1.0,,0.0,,132,97
"Hunter, Graeme K",Western University (Ontario),Ontario,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Crystal-binding peptides for prevention of kidney stone disease,116350.0,6000.0,1.0,"Nutrition, Metabolism and Diabetes",GENITO/URINARY SYSTEM; ATHEROSCLEROSIS; DRUG RESEARCH; BIOPHYSICS,7/1/2009,"crystal-binding, peptides, kidney stone",0.0,,0.0,,133,98
"Huntsman, David G",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,A Diagnostic Test for Granulosa Cell Tumours of the Ovary,150000.0,0.0,1.0,Cancer Research,CANCER,4/1/2010,"Diagnostic, Granulosa Cells, Tumours",3.0,,0.0,,134,99
"Huntsman, David G",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,PrOTYPE: An Enabling Technology to Improve Ovarian Cancer Care,154829.0,0.0,1.0,Cancer Research,"NEOPLASMS; NONE OF THE ABOVE; CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",4/1/2013,"Ovarian cancer, Enabling technology",1.0,,0.0,,135,99
"Husain, Mansoor",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase II,201202PP2,Proof of Principle,Development of an anti-proliferative therapeutic that disrupts CaM-cyclin E interactions in vivo.,184100.0,10600.0,1.0,Circulatory and Respiratory Health,ATHEROSCLEROSIS; CANCER THERAPY GENERAL; CARDIOVASCULAR; CELL BIOLOGY,10/1/2012,"anti-proliferative, CaM-cyclin E, interactions",0.0,,0.0,,136,100
"Hysi, Eno",Unity Health Toronto,Ontario,Project Grant,202403PJT,Commercialization,Commercialization of H-scan: a new tool for imaging kidney fibrosis,726750.0,0.0,3.0,"Nutrition, Metabolism and Diabetes","Commercialization-Intellectual Property; Biomedical Engineering-Biomedical Imaging; Digestive, Endocrine and Excretory Systems-Nephrology and Urology",10/1/2024,"H-scan, imaging, kidney fibrosis",1.0,,0.0,,137,101
"Jaffray, David A",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Advanced Handheld SPECT System for Intraoperative Guidance,159845.0,0.0,1.0,Cancer Research,CANCER THERAPY GENERAL; CANCER,10/1/2014,"Handheld, SPECT, Guidance",0.0,,0.0,,138,102
"Jarvi, Keith A",Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,"Novel semen biomarkers to identify sperm production in men with infertility: A non-invasive method to characterize men with azoospermia or no sperm in the semen, into those with and without testicular sperm production",152499.0,0.0,1.0,"Human Development, Child and Youth Health",INFERTILITY MALE; GENITO/URINARY SYSTEM; ENDOCRINOLOGY; REPRODUCTION/PREGNANCY,4/1/2011,"semen biomarkers, azoospermia, sperm production",1.0,,0.0,,139,103
"Jarvi, Keith A",Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Prediction of successful sperm retrieval in patients with non-obstructive azoospermia using a panel of protein biomarkers measured in seminal plasma,154660.0,0.0,1.0,"Human Development, Child and Youth Health","INFERTILITY MALE; PREGNANCY/BIRTH; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; REPRODUCTION/PREGNANCY",10/1/2013,"sperm retrieval, azoospermia, protein biomarkers",0.0,,0.0,,140,103
"Jarvi, Keith A",Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Prediction of successful sperm retrieval in patients with non-obstructive azoospermia using TEX101 protein measured in seminal plasma by ELISA,160000.0,0.0,1.0,"Human Development, Child and Youth Health","INFERTILITY MALE; PREGNANCY/BIRTH; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; REPRODUCTION/PREGNANCY",4/1/2016,"sperm retrieval, TEX101, azoospermia",0.0,,0.0,,141,103
"Jarzem, Peter F",McGill University,Quebec,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,"Minimally Invasive Ready, Highly Expandable Vertebral Body Replacement Device",122826.0,0.0,1.0,Cancer Research,"BONE CANCER; MUSCULO SKELETAL; NERVOUS SYSTEM; MUSCLE, BONE, OR JOINT",4/1/2010,"Vertebral, Expandable, Device",2.0,,0.0,,142,104
"Juncker, David",McGill University,Quebec,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Clinical validation of an innovative multiplex antibody microarray platform,150000.0,0.0,1.0,Cancer Research,"MULTIDISCIPLINARY; BREAST CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; CANCER",4/1/2010,"antibody, microarray, platform",7.0,Nomic Bio Inc. (nplex biosciences inc.),1.0,C-suite,14,105
"Kastrup, Christian J",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Self-Propelling Hemostatic Particles that Treat Severe Bleeding,159788.0,0.0,1.0,Circulatory and Respiratory Health,CLOTTING DEFECTS/THROMBOSIS; PREGNANCY/BIRTH; CARDIOVASCULAR; BLOOD,10/1/2014,"Self-Propelling, Hemostatic, Bleeding",1.0,,0.0,,143,106
"Kazem-Moussavi, Zahra M",University of Manitoba,Manitoba,Project Grant,201803PJT,Commercialization,Acoustical Device for Obstructive Sleep Apnea Severity Prediction during Wakefulness,367200.0,0.0,3.0,Circulatory and Respiratory Health,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Health Determinants-Etiology of Disease and Conditions",10/1/2018,"Acoustical, Sleep Apnea, Prediction",0.0,,0.0,,144,107
