Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Funding_Start,title_keywords,patents,companies,companies_count,company_position,grant_id,researcher_id
"Di Paolo-Chenevert, Therese",Universite Laval,Quebec,Project Grant,202309PJT,Pharmaceutical Sciences,Brain magnetic stimulation to reduce levodopa-induced dyskinesias in Parkinson's disease,"$275,400 ",$0 ,2 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2024/04/01,"brain, magnetic stimulation, dyskinesias",0,zN/A,0,zN/A,1911,923
"Di Polo, Adriana",Universite de Montreal,Quebec,Operating Grant,201209MOP,Cell Biology & Mechanisms of Disease,Molecular mechanisms of retinal ganglion cell dendrite degeneration.,"$715,845 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2013/04/01,"retinal ganglion cells, dendrite degeneration, molecular mechanisms",1,zN/A,0,zN/A,1912,924
"Di Polo, Adriana",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Project Grant,201810PJT,Cell Biology & Mechanisms of Disease 2,Neural repair in glaucoma: the role of insulin signaling,"$100,000 ",$0 ,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",2019/03/01,"Neural repair, glaucoma, insulin signaling",0,zN/A,0,zN/A,1913,924
"Di Polo, Adriana",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Project Grant,201903PJT,Cell Biology - Disease,Neural repair in glaucoma: the role of insulin signaling,"$889,314 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2019/10/01,"Neural repair, glaucoma, insulin signaling",0,zN/A,0,zN/A,1914,924
"Di Polo, Adriana",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Project Grant,202403PJT,Cell Biology - Disease,Neurovascular repair in glaucoma: novel mechanisms and therapeutic targets,"$849,150 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2024/10/01,"Neurovascular, glaucoma, repair",0,zN/A,0,zN/A,1915,924
"Diaconescu, Andreea O",Centre for Addiction and Mental Health (Toronto),Ontario,Project Grant,202010PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Computational assays for individual treatment predictions in first episode psychosis.,"$325,124 ",$0 ,4 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2021/03/01,"computational, assays, psychosis",0,zN/A,0,zN/A,1916,925
"Diaconescu, Andreea O",Centre for Addiction and Mental Health (Toronto),Ontario,Project Grant,202309PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Computational Modelling of Perception and Cognition in Help-seeking Youth for Psychosis Prevention,"$627,300 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2024/04/01,"Computational, Modelling, Psychosis",1,zN/A,0,zN/A,1917,925
"Diatchenko, Luda",McGill University,Quebec,Operating Grant: Epigenetics Clinical Translation,201810ECT,Operating Grant : Epigenetics Clinical Translation,DNA Methylation and Mediation of Risk Factors for Chronic Facial Pain,"$1,498,617 ",$0 ,4 yrs 0 mth ,Musculoskeletal Health and Arthritis,2/1/2019,"DNA methylation, risk factors, facial pain",0,zN/A,0,zN/A,1918,926
"Dick, Frederick A",Western University (Ontario),Ontario,Operating Grant,201103MOP,Molecular & Cellular Biology of Cancer,Regulation of heterochromatin by the Retinoblastoma protein in cell cycle control and cancer,"$721,480 ",$0 ,5 yrs 0 mth ,Cancer Research,2011/10/01,"heterochromatin, retinoblastoma, cell cycle",0,zN/A,0,zN/A,1919,927
"Dick, Frederick A",Western University (Ontario),Ontario,Operating Grant,201103MOP,Molecular & Cellular Biology of Cancer,Regulation of heterochromatin by the Retinoblastoma protein in cell cycle control and cancer,"$721,480 ",$0 ,5 yrs 0 mth ,Cancer Research,2011/10/01,"heterochromatin, retinoblastoma, cell cycle",0,zN/A,0,zN/A,1920,927
"Dick, Frederick A",Western University (Ontario),Ontario,Operating Grant,201403MOP,Molecular & Cellular Biology of Cancer,Integration of proliferative control mechanisms by the RB protein,"$768,129 ",$0 ,5 yrs 0 mth ,Cancer Research,2014/10/01,"RB, proliferative control, mechanisms",0,zN/A,0,zN/A,1921,927
"Dick, Frederick A",Western University (Ontario),Ontario,Project Grant,201709PJT,Molecular & Cellular Biology of Cancer,Epigenetic regulation of repeat expression by RB and EZH2 in cancer,"$872,100 ",$0 ,5 yrs 0 mth ,Cancer Research,2018/04/01,"epigenetic, RB, EZH2",0,zN/A,0,zN/A,1922,927
"Dick, Frederick A",Western University (Ontario),Ontario,Project Grant,202003PJT,Molecular & Cellular Biology of Cancer,Chromosome organization by RB and Condensin II in metastasis.,"$944,776 ",$0 ,5 yrs 0 mth ,Cancer Research,2020/10/01,"Chromosome, RB, Condensin II",0,zN/A,0,zN/A,1923,927
"Dick, Frederick A",Western University (Ontario),Ontario,Project Grant,202403PJT,Cell Biology - Disease 2,Understanding pattern recognition receptor signaling in homeostasis and cancer,"$1,002,150 ",$0 ,5 yrs 0 mth ,Genetics,2024/10/01,"pattern recognition, receptor signaling, cancer",0,zN/A,0,zN/A,1924,927
"Dick, John E",University Health Network (Toronto),Ontario,Operating Grant,201303MOP,"Hematology, Digestive Disease & Kidney",Molecular and cellular characterization of early human hematopoietic lineage determination,"$884,305 ",$0 ,5 yrs 0 mth ,Genetics,2013/10/01,"molecular, cellular, hematopoietic",11,zN/A,0,zN/A,1925,928
"Dick, John E",University Health Network (Toronto),Ontario,Operating Grant,201303MOP,Molecular & Cellular Biology of Cancer,Functional and genomic characterization of clonal heterogeneity in human leukemia,"$855,970 ",$0 ,5 yrs 0 mth ,Cancer Research,2013/10/01,"functional, genomic, leukemia",0,zN/A,0,zN/A,1926,928
"Dickhout, Jeffrey G",McMaster University,Ontario,Operating Grant,201309MOP,Cardiovascular System - B: Heart and Circulation,Role of the unfolded protein response in hypertension induced end organ damage.,"$323,142 ",$0 ,3 yrs 0 mth ,Circulatory and Respiratory Health,2014/04/01,"unfolded protein response, hypertension, end organ damage",1,zN/A,0,zN/A,1927,929
"Dickie, Erin W",Centre for Addiction and Mental Health (Toronto),Ontario,Project Grant,202003PJT,Behavioural Sciences - B-2,Identification of Functional Connectivity Biomarkers of Social Cognition Across Schizophrenia and Autism: A Longitudinal and Dimensional Approach,"$566,101 ",$0 ,4 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2020/10/01,"Functional Connectivity, Biomarkers, Social Cognition",0,zN/A,0,zN/A,1928,930
"Diedrichsen, Joern",Western University (Ontario),Ontario,Project Grant,201803PJT,"Behavioural Sciences - C: Behavioural Studies, Neuroscience and Cognition",Characterizing the functional organization of the human cerebellum and cerebro-cerebellar communication,"$413,100 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2018/10/01,"cerebellum, cerebro-cerebellar, organization",0,zN/A,0,zN/A,1929,931
"Diedrichsen, Joern",Western University (Ontario),Ontario,Project Grant,202010PJT,"Behavioural Sciences - C: Behavioural Studies, Neuroscience and Cognition",Neural control of sequential action: controlling the present while planning the future,"$952,425 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2021/03/01,"Neural control, sequential action, planning",0,zN/A,0,zN/A,1930,931
"Diedrichsen, Joern",Western University (Ontario),Ontario,Project Grant,202309PJT,"Behavioural Sciences - C: Behavioural Studies, Neuroscience and Cognition",How does the cerebellum contribute to neocortical processing across functional domains? Using selective recruitment to test the role of the cerebellum in the coordination of mental processes.,"$501,075 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2024/04/01,"cerebellum, neocortical, coordination",0,zN/A,0,zN/A,1931,931
"Dieleman, Levinus A",University of Alberta,Alberta,Operating Grant,201303MOP,"Nutrition, Food & Health",Relapse prevention of ulcerative colitis by prebiotics: efficacy and protective mechanisms.,"$446,720 ",$0 ,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2013/10/01,"ulcerative colitis, prebiotics, relapse prevention",0,zN/A,0,zN/A,1932,932
"Dieude, Melanie",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Project Grant,202109PJT,Clinical Investigation - B 2,Impact of vascular injury derived exosomes on Lupus Nephritis,"$577,575 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2022/04/01,"vascular injury, exosomes, lupus nephritis",0,zN/A,0,zN/A,1933,933
"Dikeakos, Dimitrios J",Western University (Ontario),Ontario,Operating Grant,201209MOP,Virology & Viral Pathogenesis,Nef: an HIV-1 protein at the forefront of pathogenesis,"$618,380 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2013/04/01,"HIV-1, Nef, pathogenesis",0,zN/A,0,zN/A,1934,934
"Dikeakos, Dimitrios J",Western University (Ontario),Ontario,Operating Grant: Innovative Biomedical and Clinical HIV/AIDS Research,201702IBC,Innovative Biomedical and Clinical HIV/AIDS Research,Nef Inhibitors as Adjuvants Towards a Cure,"$247,755 ",$0 ,1 yr 6 mths ,Infection and Immunity,6/1/2017,"Nef, Inhibitors, Cure",0,zN/A,0,zN/A,1935,934
"Dikeakos, Dimitrios J",Western University (Ontario),Ontario,Project Grant,201709PJT,Virology & Viral Pathogenesis 2,HIV-1 Nef-Host Interactions Mediating Immune Evasion and Pathogenesis,"$646,425 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2018/04/01,"HIV-1, Nef, Immune Evasion",0,zN/A,0,zN/A,1936,934
"Dikeakos, Dimitrios J",Western University (Ontario),Ontario,Project Grant,202209PJT,Virology & Viral Pathogenesis,Mechanisms of cell surface protein regulation by the HIV-1 accessory proteins Nef and Vpu,"$944,775 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2023/04/01,"cell surface, protein regulation, HIV-1",0,zN/A,0,zN/A,1937,934
"Dilworth, Jeffrey J",Ottawa Hospital Research Institute,Ontario,Operating Grant,200809MOP,Developmental Biology,Delineating the role of epigenetic modification of histones in establishing tissue specific gene expression.,"$686,661 ",$0 ,5 yrs 0 mth ,"Human Development, Child and Youth Health",2009/04/01,"epigenetic, histones, gene expression",0,zN/A,0,zN/A,1938,935
"Dilworth, Jeffrey J",Ottawa Hospital Research Institute,Ontario,Operating Grant,201003MOP,Biochemistry & Molecular Biology - B,Differential role of myogenic regulatory factors in establishing muscle-specific gene expression,"$692,730 ",$0 ,5 yrs 0 mth ,Genetics,2010/10/01,"myogenic regulatory factors, muscle-specific, gene expression",0,zN/A,0,zN/A,1939,935
"Dilworth, Jeffrey J",Ottawa Hospital Research Institute,Ontario,Operating Grant,201403MOP,Developmental Biology,Epigenetic regulation of muscle gene expression during muscle regeneration,"$834,166 ",$0 ,5 yrs 0 mth ,Genetics,2014/10/01,"Epigenetic, gene expression, muscle",0,zN/A,0,zN/A,1940,935
"Dilworth, Jeffrey J",Ottawa Hospital Research Institute,Ontario,Project Grant,202109PJT,Biochemistry & Molecular Biology - B,Characterizing the non-redundant roles for histone modifying enzymes in stem cell-mediated muscle repair.,"$940,950 ",$0 ,5 yrs 0 mth ,"Human Development, Child and Youth Health",2022/04/01,"histone modification, enzymes, muscle repair",0,zN/A,0,zN/A,1941,935
"Dilworth, Jeffrey J",Ottawa Hospital Research Institute,Ontario,Project Grant,202203PJT,Genetics,Role for defective enhancer commissioning in the hypotonia phenotype of Kabuki Syndrome patients,"$937,126 ",$0 ,5 yrs 0 mth ,Genetics,2022/10/01,"enhancer, hypotonia, Kabuki Syndrome",0,zN/A,0,zN/A,1942,935
"Dimaras, Helen",Hospital for Sick Children (Toronto),Ontario,Patient-Oriented Research Collaboration Grants,201711PEG,Patient Engagement - Collaboration Grants (SPOR),"Strengthening capacity for retinoblastoma research collaboration among patients, clinicians and scientists.","$40,000 ",$0 ,1 yr 0 mth ,Cancer Research,3/1/2018,"retinoblastoma, research, collaboration",0,zN/A,0,zN/A,1943,936
"Dimitrijevic, Andrew","Sunnybrook Research Institute (Toronto, Ontario)",Ontario,Project Grant,202209PJT,Behavioural Sciences - B-2,Objective Measures of Real-World Cochlear Implant Outcome Using Psychoacoustics and Electrophysiology,"$619,650 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2023/04/01,"Cochlear implant, Psychoacoustics, Electrophysiology",0,zN/A,0,zN/A,1944,937
"Dimock, Kenneth D",University of Ottawa,Ontario,Catalyst Grant: Pandemic Preparedness,200904PAP,Pandemic Preparedness,The role of sialyltransferases in generating influenza receptors,"$99,527 ",$0 ,1 yr 0 mth ,Infection and Immunity,8/1/2009,"sialyltransferases, influenza, receptors",0,zN/A,0,zN/A,1945,938
"Ding, Jun",Research Institute of the McGill University Health Centre,Quebec,Project Grant,202109PJT,Genomics: Systems and computational biology,Unagi:  Computational approach driven repurposed drugs for idiopathic pulmonary fibrosis,"$506,430 ",$0 ,5 yrs 0 mth ,Genetics,2022/04/01,"computational, repurposed drugs, pulmonary fibrosis",0,zN/A,0,zN/A,1946,939
"Dionne, Isabelle",Universite de Sherbrooke,Quebec,Operating Grant: Understanding the Health Impact of Inactivity,201808UHI,Operating Grant : Understanding the Health Impact of Inactivity,Exercise as a countermeasure for inflammation processes and loss in neuromotor drive following muscle disuse: the SAFE randomized controlled trial.,"$200,000 ",$0 ,1 yr 6 mths ,Aging,12/1/2018,"exercise, inflammation, neuromotor",0,zN/A,0,zN/A,1947,940
"Dirks, Peter B",Hospital for Sick Children (Toronto),Ontario,Operating Grant,201309MOP,Molecular & Cellular Biology of Cancer,Defining and Targeting Medulloblastoma Intratumoral Diversity,"$754,345 ",$0 ,5 yrs 0 mth ,Cancer Research,2014/04/01,"Medulloblastoma, Intratumoral, Diversity",0,zN/A,0,zN/A,1948,941
"Dirks, Peter B",Hospital for Sick Children (Toronto),Ontario,Operating Grant,201503MOP,Molecular & Cellular Biology of Cancer,Functional and genomic clonal analysis of human glioblastoma,"$932,770 ",$0 ,5 yrs 0 mth ,Cancer Research,2015/10/01,"functional, genomic, glioblastoma",2,zN/A,0,zN/A,1949,941
"Dirks, Peter B",Hospital for Sick Children (Toronto),Ontario,Project Grant,201709PJT,Molecular & Cellular Biology of Cancer,Stem cell related genesis and maintenance of glioblastoma,"$1,051,875 ",$0 ,5 yrs 0 mth ,Cancer Research,2018/04/01,"stem cells, glioblastoma, genesis",0,zN/A,0,zN/A,1950,941
"Ditto, Blaine",McGill University,Quebec,Operating Grant,201309MOP,"Psychosocial, Sociocultural & Behavioural Determinants of Health",Respiration and Applied Tension Strategies to Reduce Vasovagal Reactions to Blood Donation,"$206,201 ",$0 ,3 yrs 0 mth ,Circulatory and Respiratory Health,2014/04/01,"Respiration, Tension, Vasovagal",0,zN/A,0,zN/A,1951,942
"Divangahi, Maziar",Research Institute of the McGill University Health Centre,Quebec,Operating Grant,201003MOP,Virology & Viral Pathogenesis,Immune regulatory role of host lipid mediators in pulmonary influenza infection,"$540,170 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2010/10/01,"immune, lipid mediators, influenza",0,zN/A,0,zN/A,1952,943
"Divangahi, Maziar",Research Institute of the McGill University Health Centre,Quebec,Operating Grant,201303MOP,Respiratory System,Therapeutic implications of macrophage apoptosis in TB,"$702,335 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2013/10/01,"macrophage, apoptosis, TB",0,zN/A,0,zN/A,1953,943
"Divangahi, Maziar",Research Institute of the McGill University Health Centre,Quebec,Project Grant,201909PJT,Immunology & Transplantation,Reprogramming HSCs to generate protective trained immunity against TB,"$864,450 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2020/04/01,"HSCs, trained immunity, TB",0,zN/A,0,zN/A,1954,943
"Divangahi, Maziar",Research Institute of the McGill University Health Centre,Quebec,Project Grant,201909PJT,Virology & Viral Pathogenesis,Targeting the eicosanoid/macrophage axis to enhance host defense against influenza virus infection,"$730,575 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2020/04/01,"eicosanoid, macrophage, influenza",0,zN/A,0,zN/A,1955,943
"Dixon, Ian Michael C",University of Manitoba,Manitoba,Operating Grant,201109MOP,Cardiovascular System - B: Heart and Circulation,Role of Ski in myofibroblast regulation in heart failure.,"$605,234 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2012/04/01,"Ski, myofibroblast, heart failure",0,zN/A,0,zN/A,1956,944
"Dixon, Ian Michael C",University of Manitoba,Manitoba,Project Grant,201809PJT,Cardiovascular System - A: Cells and Tissues,Ski is a negative regulator of cardiac fibrosis,"$684,675 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2019/04/01,"Ski, cardiac fibrosis, regulator",0,zN/A,0,zN/A,1957,944
"Dixon, Ian Michael C",University of Manitoba,Manitoba,Project Grant,202209PJT,"Clinical Investigation - B: Arthritis, Bone, Skin and Cartilage",Novel regulators of dermal wound healing,"$1,040,400 ",$0 ,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,2023/04/01,"regulators, dermal wound, healing",0,zN/A,0,zN/A,1958,944
"Dixon, S. Jeffrey",Western University (Ontario),Ontario,Operating Grant,200909MOP,"Clinical Investigation - B: Arthritis, Bone, Skin and Cartilage",Ion transport and signaling in skeletal cells: P2 nucleotide receptor function in bone,"$553,692 ",$0 ,4 yrs 0 mth ,Musculoskeletal Health and Arthritis,2010/04/01,"Ion transport, signaling, P2 receptor",0,zN/A,0,zN/A,1959,945
"Dixon, S. Jeffrey",Western University (Ontario),Ontario,"Catalyst Grant: Environments, Genes and Chronic Disease",201304CEN,"Catalyst Grant: Environments, Genes and Chronic Disease",Mechanical environment - gene interactions in chronic musculoskeletal diseases,"$100,000 ",$0 ,1 yr 0 mth ,Musculoskeletal Health and Arthritis,10/1/2013,"mechanical environment, gene interactions, musculoskeletal diseases",0,zN/A,0,zN/A,1960,945
"Dixon, S. Jeffrey",Western University (Ontario),Ontario,Operating Grant,201309MOP,"Clinical Investigation - B: Arthritis, Bone, Skin and Cartilage",Ion transport and signaling in skeletal cells: P2 nucleotide receptor function in bone,"$386,661 ",$0 ,3 yrs 0 mth ,Musculoskeletal Health and Arthritis,2014/04/01,"Ion transport, signaling, P2 receptor",1,zN/A,0,zN/A,1961,945
"Dmitrienko, Gary I",University of Waterloo (Ontario),Ontario,Operating Grant,201003MOP,Pharmaceutical Sciences,Broad spectrum beta lactamase inhibitors to counter antibiotic resistance,"$709,635 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2010/10/01,"beta lactamase, antibiotics, resistance",1,zN/A,0,zN/A,1962,946
"Dmitrienko, Gary I",University of Waterloo (Ontario),Ontario,Canada-UK Partnership on Antibiotic Resistance,201101TGC,Canada-UK Joint Health Research Program on Antibiotic Resistance,Canada-UK Team in Bacterial Resistance to Beta-Lactam Antibiotics,"$1,977,900 ","$21,744 ",4 yrs 0 mth ,Infection and Immunity,4/1/2011,"bacterial resistance, beta-lactam antibiotics",0,zN/A,0,zN/A,1963,946
"Dmitrienko, Gary I",University of Waterloo (Ontario),Ontario,Project Grant,201909PJT,Microbiology & Infectious Diseases,Carbapenemase inhibitors for use as adjuvants in treating carbapenem-resistant bacterial infections,"$673,200 ",$0 ,3 yrs 0 mth ,Infection and Immunity,2020/04/01,"Carbapenemase, inhibitors, bacterial infections",0,zN/A,0,zN/A,1964,946
"Dmitriev, Oleg Y",University of Saskatchewan,Saskatchewan,Project Grant,202104PJT,Cell and Developmental Physiology,Molecular mechanism of copper and platinum drug transport in human cells,"$761,176 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2021/10/01,"copper, platinum, drug transport",0,zN/A,0,zN/A,1965,947
"Doble, Bradley W",McMaster University,Ontario,Operating Grant,200909MOP,Developmental Biology,The role of GSK-3 in stem cell self-renewal and differentiation,"$287,492 ",$0 ,3 yrs 0 mth ,Genetics,2010/04/01,"GSK-3, stem cell, self-renewal",0,zN/A,0,zN/A,1966,948
"Doble, Bradley W",McMaster University,Ontario,Operating Grant,201309MOP,Developmental Biology,Elucidating novel Tcf/Lef signalling events with integral roles in pluripotent stem cell self-renewal and differentiation,"$628,373 ",$0 ,5 yrs 0 mth ,Cancer Research,2014/04/01,"Tcf, Lef, stem cell",1,zN/A,0,zN/A,1967,948
"Dodin, Sylvie",Universite Laval,Quebec,Operating Grant,201003MOP,"Nutrition, Food & Health",Consumption of chocolate in pregnant women with non severe hypertension,"$365,589 ",$0 ,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2010/10/01,"chocolate, pregnant women, hypertension",0,zN/A,0,zN/A,1968,949
"Doesburg, Sam M",Hospital for Sick Children (Toronto),Ontario,Operating Grant,201403MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Structural and functional brain connectivity in typical and atypical development,"$702,933 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2014/10/01,"brain, connectivity, development",0,zN/A,0,zN/A,1969,950
"Dolinsky, Vernon W",University of Manitoba,Manitoba,Operating Grant,201403MOP,"Diabetes, Obesity, Lipid & Lipoprotein Disorders",Adiponectin in gestational diabetes and the developmental origins of disease.,"$503,599 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2014/10/01,"Adiponectin, gestational diabetes, developmental origins",0,zN/A,0,zN/A,1970,951
"Dolinsky, Vernon W",University of Manitoba,Manitoba,"Environments, Genes and Chronic Disease",201509ECD,"Other: Programmatic Grants in Environments, Genes and Chronic Disease",The Developmental Origins of Obesity and Obesity-related Complications in Children,"$2,000,000 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",11/1/2015,"obesity, children, developmental",0,zN/A,0,zN/A,1971,951
"Dolinsky, Vernon W",University of Manitoba,Manitoba,Project Grant,202104PJT,Cardiovascular System - A: Cells and Tissues,The role of SIRT3 in the developmental origins of gestational diabetes-induced cardiomyopathy in the offspring,"$822,376 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2021/10/01,"SIRT3, gestational diabetes, cardiomyopathy",0,zN/A,0,zN/A,1972,951
"Dong, Tao",University of Calgary,Alberta,Operating Grant,201503MOP,Microbiology & Infectious Diseases,Functional characterization of the type VI secretion system in Aeromonas hydrophila,"$694,029 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2015/10/01,"type VI secretion, Aeromonas hydrophila",2,zN/A,0,zN/A,1973,952
"Dong, Xianping",Dalhousie University (Nova Scotia),Nova Scotia,Operating Grant,201109MOP,Cell Physiology,TRPML1 in intracellular Fe2+ and Ca2+ homeostasis/signaling,"$578,075 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2012/04/01,"TRPML1, Fe2+, Ca2+",0,zN/A,0,zN/A,1974,953
"Dong, Xianping",Dalhousie University (Nova Scotia),Nova Scotia,Project Grant,201709PJT,Cell Biology & Mechanisms of Disease 2,Functional crosstalk between TRPML3 and BK in autophagy induction and pathogen defense,"$634,950 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2018/04/01,"TRPML3, BK, autophagy",0,zN/A,0,zN/A,1975,953
"Dong, Xianping",Dalhousie University (Nova Scotia),Nova Scotia,Project Grant,202309PJT,Cell and Developmental Physiology,Lysosomal TRPML Channels in Myogenesis and Centronuclear Myopathies,"$814,725 ",$0 ,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,2024/04/01,"Lysosomal, TRPML, Myogenesis",0,zN/A,0,zN/A,1976,953
"Dong, Xuesen",University of British Columbia,British Columbia,Operating Grant,200810MOP,Endocrinology,"Steroid Receptor Corepressors, PSF and p54nrb, in Prostate Cancer","$100,000 ",$0 ,1 yr 0 mth ,Cancer Research,2009/03/01,"Steroid Receptor, Corepressors, Prostate Cancer",0,zN/A,0,zN/A,1977,954
"Dong, Xuesen",University of British Columbia,British Columbia,Operating Grant,200903MOP,Endocrinology,"Androgen Receptor Corepressors, PSF and p54nrb, in Prostate Cancer","$506,500 ",$0 ,4 yrs 0 mth ,Cancer Research,2009/10/01,"Androgen Receptor, Corepressors, Prostate Cancer",0,zN/A,0,zN/A,1978,954
"Dong, Xuesen",University of British Columbia,British Columbia,Operating Grant,201403MOP,Endocrinology,The Androgen Receptor Signaling in Prostate Cancers,"$763,047 ",$0 ,5 yrs 0 mth ,Cancer Research,2014/10/01,"Androgen Receptor, Signaling, Prostate Cancers",0,zN/A,0,zN/A,1979,954
"Dong, Xuesen",University of British Columbia,British Columbia,Project Grant,201709PJT,Endocrinology,RNA splicing regulates prostate cancer progression to hormone therapy resistant neuroendocrine tumors,"$699,975 ",$0 ,5 yrs 0 mth ,Cancer Research,2018/04/01,"RNA, splicing, prostate cancer",2,zN/A,0,zN/A,1980,954
"Dong, Yifei",University of Saskatchewan,Saskatchewan,Project Grant,202403PJT,Molecular & Cellular Neurosciences - B,Understanding oxidized phosphatidylcholines as novel mediators of chronic neurodegeneration and progressive multiple sclerosis.,"$1,093,950 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2024/10/01,"oxidized phosphatidylcholines, neurodegeneration, multiple sclerosis",0,zN/A,0,zN/A,1981,955
"Dorris, Michael C","Queen's University (Kingston, Ontario)",Ontario,Operating Grant,200809MOP,"Behavioural Sciences - C: Behavioural Studies, Neuroscience and Cognition",Neural Processes Underlying Action Valuation,"$545,485 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2009/04/01,"Neural, Action, Valuation",0,zN/A,0,zN/A,1982,956
"Dorscheid, Delbert R",University of British Columbia,British Columbia,Operating Grant,200903MOP,"Nutrition, Food & Health",Conjugated Linoleic Acid: Novel benefits for airway health by promoting epithelial anti-viral host defenses,"$338,166 ",$0 ,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2009/10/01,"Conjugated Linoleic Acid, airway, epithelial",0,zN/A,0,zN/A,1983,957
"Dorscheid, Delbert R",University of British Columbia,British Columbia,Catalyst Grant: Health Effects of Vaping,202006HEV,Catalyst Grant : Health Effects of Vaping,VAPING: the unknown perils of inhalation and epithelial injury,"$99,989 ",$0 ,1 yr 0 mth ,Circulatory and Respiratory Health,7/1/2020,"Vaping, inhalation, epithelial injury",0,zN/A,0,zN/A,1984,957
"Dos Santos, Claudia C",Unity Health Toronto,Ontario,Operating Grant,201303MOP,"Hematology, Digestive Disease & Kidney",Mechanisms of Protection and Informed Target Discovery for Gene and Stem Cell Therapy in Sepsis,"$739,239 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2013/10/01,"Gene, Stem Cell, Sepsis",1,"Northmirs, Inc.",1,C-suite,10,958
"Dos Santos, Claudia C",Unity Health Toronto,Ontario,Operating Grant,201003MOP,Respiratory System,Title: Molecular Mechanisms of Lung Protection from Ventilator Induced Lung Injury (VILI),"$382,897 ",$0 ,3 yrs 0 mth ,Circulatory and Respiratory Health,2010/10/01,"Molecular, Lung, Injury",2,zN/A,0,zN/A,1985,958
"Dos Santos, Claudia C",Unity Health Toronto,Ontario,Operating Grant,201309MOP,Respiratory System,Molecular Mechanism(s) of Protection from Acute Lung Injury,"$735,913 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2014/04/01,"Molecular, Lung Injury, Protection",0,zN/A,0,zN/A,1986,958
"Dos Santos, Claudia C",Unity Health Toronto,Ontario,Project Grant,201903PJT,Cardiovascular System - C: Vascular System,EpiGen Marks for Human Sepsis,"$994,500 ",$0 ,5 yrs 0 mth ,Circulatory and Respiratory Health,2019/10/01,"EpiGen, Marks, Sepsis",0,zN/A,0,zN/A,1987,958
"Dos Santos, Claudia C",Unity Health Toronto,Ontario,Project Grant,202309PJT,Respiratory System,Engineered Lipid Nanoparticle miRNA-therapy Options for ARDS,"$367,200 ",$0 ,3 yrs 0 mth ,Circulatory and Respiratory Health,2024/04/01,"Lipid Nanoparticle, miRNA, ARDS",2,zN/A,0,zN/A,1988,958
