Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Funding_Start,title_keywords,patents,companies,companies_count,company_position,grant_id,researcher_id
"Abou Elela, Sherif",Universite de Sherbrooke,Quebec,Project Grant,202209PJT,Molecular & Cellular Biology of Cancer,Targets and function of cancer associated H/ACA snoRNA,"$887,400 ",$0 ,5 yrs 0 mth ,Cancer Research,2023/04/01,"cancer, H/ACA snoRNA, targets",0,zN/A,0,zN/A,67,9
"Abraham, Ninan",University of British Columbia,British Columbia,Operating Grant,201209MOP,Immunology & Transplantation,IL-7 in Lymphocyte Development and Immunity.,"$708,740 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2013/04/01,"IL-7, Lymphocyte, Immunity",0,zN/A,0,zN/A,68,10
"Abraham, Ninan",University of British Columbia,British Columbia,Project Grant,201709PJT,Immunology and Transplantation 2,CD127 in the development and function of Type 2 Innate Lymphoid Cells (ILC2s).,"$1,036,575 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2018/04/01,"CD127, Innate Lymphoid Cells, ILC2",0,zN/A,0,zN/A,69,10
"Accili, Eric A",University of British Columbia,British Columbia,Operating Grant,201003MOP,Cell Physiology,Regulation of HCN channel opening by cyclic nucleotides,"$371,250 ",$0 ,3 yrs 0 mth ,Circulatory and Respiratory Health,2010/10/01,"HCN, cyclic nucleotides, channel opening",0,zN/A,0,zN/A,70,11
"Acker, Jason P",Canadian Blood Services (Ottawa),Ontario,Operating Grant,201009MOP,"Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health",Preservation of red cells from cord blood as a new blood product for intrauterine and neonatal transfusions,"$209,897 ",$0 ,2 yrs 0 mth ,Circulatory and Respiratory Health,2011/04/01,"red cells, cord blood, transfusions",0,zN/A,0,zN/A,71,12
"Adamantidis, Antoine",CIUSSS de l'Ouest-de-l'Ile-de-Montreal-Douglas Hospital,Quebec,Operating Grant,201103MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Optogenetic dissection of hypothalamic regulation of sleep states.,"$772,526 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2011/10/01,"Optogenetic, hypothalamic, sleep",0,zN/A,0,zN/A,72,13
"Adamko, Darryl J",University of Saskatchewan,Saskatchewan,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - predictive analytic models,Improved delivery of respiratory health care services using a metabolomic approach,"$187,000 ",$0 ,2 yrs 0 mth ,Circulatory and Respiratory Health,9/1/2017,"respiratory, metabolomic, health",1,zN/A,0,zN/A,73,14
"Adamo, Kristi B",Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Operating Grant,201503MOP,Movement & Exercise,Does maternal physical activity affect placenta biology?  A multi-tiered approach,"$833,864 ",$0 ,5 yrs 0 mth ,"Human Development, Child and Youth Health",2015/10/01,"maternal physical activity, placenta, biology",0,zN/A,0,zN/A,74,15
"Adamo, Kristi B",University of Ottawa,Ontario,Project Grant,202104PJT,"Clinical Investigation - A: Reproduction, Maternal, Child and Youth Health 2",SmartMoms Canada: An evaluation of a mobile app intervention to support a healthy pregnancy,"$439,874 ",$0 ,3 yrs 0 mth ,"Human Development, Child and Youth Health",2021/10/01,"mobile app, pregnancy, support",0,zN/A,0,zN/A,75,15
"Adamo, Kristi B",University of Ottawa,Ontario,Project Grant,202309PJT,Movement & Exercise,"Decoding the Dynamic Interplay of Gestational Physical Activity, Microbiome, and Metabolome in Maternal-Fetal Wellbeing","$745,875 ",$0 ,5 yrs 0 mth ,"Human Development, Child and Youth Health",2024/04/01,"Gestational, Microbiome, Metabolome",0,zN/A,0,zN/A,76,15
"Adamson, S. Lee",Sinai Health System (Toronto),Ontario,Operating Grant,200809MOP,Endocrinology,"Role of placental VEGF-A and FLT1/sFLT1 in placental vascularity, fetal growth, and maternal function in mice","$1,028,010 ",$0 ,5 yrs 0 mth ,"Human Development, Child and Youth Health",2009/04/01,"VEGF-A, FLT1, placental vascularity",0,zN/A,0,zN/A,77,16
