Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,External_Funding,External_Funding_Partner,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,outcome_data,last_updated,title_keywords
"Fitzpatrick, Lindsay","Queen's University (Kingston, Ontario)",Ontario,Project Grant,201809PJT,Biomedical Engineering,MyD88-dependent modulation of host response to insulin infusion cannulas,"$443,700",$0,,,4 yrs 0 mth ,Infection and Immunity,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Immunology and Infection-Immunology and Autoimmune Diseases (including rheumatology); Molecular, Cellular and Systems Biology-Cell Signaling",2019-04-01,2023-03-31,0,,,"MyD88, insulin infusion, host response"
"Flamand, Louis",Universite Laval,Quebec,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,"COVID-19 trilogy: ARDS, inflammation and coagulopathy.","$226,625",$0,,,1 yr 0 mth ,Infection and Immunity,VIRAL; VIROLOGY,2020-06-01,2021-05-31,0,,,"COVID-19, ARDS, coagulopathy"
"Flanagan, John G",University Health Network (Toronto),Ontario,Operating Grant,201203MOP,Biomedical Engineering,Ocular Biomechanics and Glaucoma:  Finite Element Modeling of the Optic Nerve's Response to Biomechanical Insult and it's Role in Astrocyte Activation,"$692,821",$0,,,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",GLAUCOMA; DISEASES AFFECTING SPEECH/VISION/HEARING; VISION; BIOPHYSICS,2012-10-01,2018-03-31,1,,,"ocular, biomechanics, glaucoma"
"Flynn, Lauren E","Queen's University (Kingston, Ontario)",Ontario,"Operating Grant - PA: Musculoskeletal Health, Arthritis, Skin and Oral Health",201009IMH,Biomedical Engineering,Engineering Adipogenesis for Soft Tissue Regeneration,"$99,346",$0,,,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; INJURY, REGENERATION; CELL BIOLOGY; MOLECULAR BIOLOGY",2015-07-01,2021-06-30,0,,,"Adipogenesis, Soft Tissue, Regeneration"
"Flynn, Lauren E","Queen's University (Kingston, Ontario)",Ontario,Operating Grant,201109MOP,Biomedical Engineering,Engineering Adipogenesis for Soft Tissue Regeneration,"$423,928",$0,,,4 yrs 0 mth ,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; INJURY, REGENERATION; CELL BIOLOGY; MOLECULAR BIOLOGY",2015-07-01,2021-06-30,0,,,"Adipogenesis, Soft Tissue, Regeneration"
"Flynn, Lauren E",Western University (Ontario),Ontario,Operating Grant,201503MOP,Biomedical Engineering,Engineering Adipogenesis for Soft Tissue Regeneration,"$682,393",$0,,,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; INJURY, REGENERATION; CELL BIOLOGY; MOLECULAR BIOLOGY",2015-07-01,2021-06-30,0,,,"Adipogenesis, Soft Tissue, Regeneration"
"Forkert, Nils Daniel",University of Calgary,Alberta,Project Grant,202104PJT,Biomedical Engineering,Distributed Machine Learning for Diagnosis and Treatment Decision Support of Pediatric Brain Tumors,"$634,950",$0,,,5 yrs 0 mth ,Cancer Research,Cancer-Pediatric Cancer; Artificial Intelligence-Machine Learning,2021-10-01,2026-09-30,0,,,"Distributed, Machine Learning, Diagnosis"
"Fortin, Marc-Andre",Universite Laval,Quebec,Project Grant,202003PJT,Biomedical Engineering,Anatomically relevant brachytherapy implants by a 3D printing and radiosensitizing approach,"$765,000",$0,,,5 yrs 0 mth ,Cancer Research,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; 3D-printing, additive manufacturing, new processes for biomaterials and devices",2020-10-01,2025-09-30,0,,,"brachytherapy, 3D printing, radiosensitizing"
"Fortin, Sebastien",Universite Laval,Quebec,Project Grant,202104PJT,Cancer Progression & Therapeutics,"L'AIMZ-938, un nouveau promedicament anticancereux pour le traitement des cancers du sein humain refractaires aux traitements actuels et exprimant le cytochrome P450 1A1","$891,226",$0,,,5 yrs 0 mth ,Cancer Research,"Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery; Cancer-Cancer Drug Development and Therapeutics",2021-10-01,2026-09-30,0,,,"anticancer, breast cancer, cytochrome P450"
"Foster, F. Stuart","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Operating Grant,201403MOP,Medical Physics & Imaging,Development of biogenic gas nanostructures as a new class of molecular reporters for ultrasound,"$731,378",$0,,,5 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; IMAGING; CANCER,2014-07-01,2016-06-30,0,,,"biogenic gas, nanostructures, ultrasound"
