Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,External_Funding,External_Funding_Partner,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,outcome_data,last_updated,title_keywords
"Ailles, Laurie E",University Health Network (Toronto),Ontario,Operating Grant,201209MOP,Cancer Progression & Therapeutics 2,Tumour-Initiating Cells in Oral Cancer Patients: Predictors of Outcome and Identification of Candidate Therapeutic Targets,"$523,091",$0,,,4 yrs 0 mth ,Cancer Research,NEOPLASMS; CANCER; HEALTH RESEARCH,2013-04-01,2017-03-31,0,,,"Tumour-Initiating Cells, Oral Cancer, Therapeutic Targets"
"Alain, Tommy",Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Project Grant - PA: Breast Cancer Research,202209PLL,Cancer Biology & Therapeutics,Viralyzing transgenes to improve oncolytic immunotherapy,"$100,000",$0,,,1 yr 0 mth ,Cancer Research,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Genetics-Genomics, Transcriptomics and Proteomics; Immunology and Infection-Virology",2023-03-01,2024-02-29,0,,,"Viralyzing, transgenes, immunotherapy"
"Alaoui-Jamali, Moulay A",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Operating Grant - Priority Announcement: Breast Cancer,201003COP,Cancer Progression & Therapeutics 2,Investigation of the Filamin Signaling Network's Function in Cancer Progression,"$740,235",$0,,,5 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; CANCER; CELL BIOLOGY,2010-10-01,2015-09-30,0,,,"Filamin, Signaling, Cancer"
"Alaoui-Jamali, Moulay A",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Operating Grant - PA: Institute of Cancer Research (bridge funding),200909IC3,Cancer Progression & Therapeutics,Molecular and Translational Studies of Filamin Signaling Network in Invasive Cancer,"$100,000",$0,,,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; CANCER; CELL BIOLOGY,2010-03-01,2011-02-28,0,,,"Filamin, Signaling, Cancer"
"Algar, Walter R",University of British Columbia,British Columbia,Project Grant,202010PJT,Biomedical Engineering,Materials and Technologies for Highly Sensitive Biomarker Analysis of Extracellular Vesicles Toward Cancer Diagnostics,"$367,200",$0,,,3 yrs 0 mth ,Cancer Research,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Methods Development and Modelling-Quantitative Methods Development for Health Research",2021-04-01,2024-03-31,0,,,"Biomarker, Extracellular Vesicles, Cancer"
"Aoudjit, Fawzi",Universite Laval,Quebec,Operating Grant,201403MOP,Cancer Biology & Therapeutics,Elucidating the role of alpha2beta1 integrin in the chemoresistance of acute lymphoblastic leukemia.,"$567,520",$0,,,5 yrs 0 mth ,Cancer Research,LEUKAEMIAS; CANCER THERAPY GENERAL; CANCER,2014-07-01,2019-06-30,0,,,"alpha2beta1 integrin, chemoresistance, leukemia"
"Aoudjit, Fawzi",Universite Laval,Quebec,Project Grant - Priority Announcement: Pediatric Cancer Research,202209PDI,Cancer Biology & Therapeutics,Understanding the role of beta1 integrins in chemoresistance of acute lymphoblastic leukemia and therapeutic implications,"$100,000",$0,,,1 yr 0 mth ,Cancer Research,Cancer-Mechanisms of Carcinogenesis; Cancer-Pediatric Cancer,2023-03-01,2024-02-29,0,,,"beta1 integrins, chemoresistance, leukemia"
"Aparicio, Samuel J",University of British Columbia,British Columbia,Project Grant,202303PJT,Cancer Progression & Therapeutics,Mechanisms and targeting of repair deficient cancers with G-quadruplex small molecule ligands,"$1,048,050",$0,,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis,2023-10-01,2028-09-30,0,,,"G-quadruplex, small molecule, cancers"
"Aparicio, Samuel J",University of British Columbia,British Columbia,Operating Grant,201109MOP,Cancer Progression & Therapeutics,PP2a protein serine/threonine phosphatase mutations in cancer: functional consequences and clinical relevance,"$588,895",$0,,,4 yrs 0 mth ,Cancer Research,BREAST CANCER; GENITO/URINARY SYSTEM,2012-04-01,2016-03-31,0,,,"PP2a, phosphatase, cancer"
"Arcand, JoAnne",Ontario Tech University,Ontario,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - novel e-health applications,Improving heart failure outcomes through apps that support self-management and adherence,"$146,368",$0,,,2 yrs 0 mth ,"Nutrition, Metabolism and Diabetes","STROKE, HEART FAILURE; HEALTH PROMOTION; CARDIOVASCULAR; NUTRITION",2017-09-01,2019-08-31,0,,,"heart failure, self-management, adherence"
"Archambault, Denis",Universite du Quebec e Montreal,Quebec,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Vaccines,202005VR1,COVID-19 Rapid Research - Vaccines,SARS-CoV-2 immunization strategies to enhance protective immunity with reduced risk of antibody-dependent enhancement (ADE),"$622,782",$0,,,1 yr 0 mth ,Infection and Immunity,VIRAL; PNEUMONIA; VIROLOGY; HEALTH RESEARCH,2020-06-01,2021-05-31,2,,,"SARS-CoV-2, immunization, antibody-dependent enhancement"
"Arnold, Donald M",McMaster University,Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,A Randomized Open-Label Trial of CONvalescent Plasma for Hospitalized Adults With Acute COVID-19 Respiratory Illness (CONCOR-1),"$2,972,273",$0,,,1 yr 0 mth ,Circulatory and Respiratory Health,BLOOD; VIRAL; IMMUNOLOGY-TRANSPLANTATION,2020-06-01,2021-05-31,0,,,"Convalescent Plasma, COVID-19, Respiratory Illness"
"Arnold, Douglas L",McGill University,Quebec,Operating Grant,201303MOP,Medical Physics & Imaging,Magnetic Resonance Imaging of Multiple Sclerosis,"$698,337",$0,,,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",MULTIPLE SCLEROSIS; IMAGING; NERVOUS SYSTEM,2013-10-01,2018-09-30,0,,,"Magnetic Resonance, Imaging, Multiple Sclerosis"
"Arrandale, Victoria H",University of Toronto,Ontario,Op Gr: Spark Grants in Novel Technologies in Cancer Prevention & Early Detection,202010SGN,Special Cases,"Combining contact lens sensors, metabolomics and artificial intelligence to characterize exposure and breast cancer biomarkers","$149,720",$0,,,1 yr 0 mth ,Cancer Research,BREAST CANCER; ENVIRONMENTAL INFLUENCES ON HEALTH; CANCER,2021-01-01,2021-12-31,0,,,"contact lens sensors, metabolomics, artificial intelligence"
"Ashkar, Ali A",McMaster University,Ontario,Project Grant,201803PJT,Cancer Biology & Therapeutics,Utilizing chimeric antigen receptors to direct autologous NK cell cytotoxicity to breast cancer,"$937,740",$0,,,5 yrs 0 mth ,Cancer Research,"Cancer-Cancer Drug Development and Therapeutics; Immunology and Infection-Transplantation, Immune Tolerance and Tumor Immunology",2018-10-01,2023-09-30,0,,,"chimeric antigen receptors, NK cell, breast cancer"
"Auer, Rebecca Ann C",Ottawa Hospital Research Institute,Ontario,Project Grant,201903PJT,Cancer Biology & Therapeutics,Perioperative Targeting of Myeloid Derived Suppressor Cells to Alleviate Postoperative Immunosuppression and Metastases,"$860,626",$0,,,5 yrs 0 mth ,Cancer Research,"Cancer-Cancer Drug Development and Therapeutics; Cancer-Cancer Progression and Metastasis; Immunology and Infection-Transplantation, Immune Tolerance and Tumor Immunology; Pharmacological sciences - drug design and development",2019-10-01,2024-09-30,1,,,"Myeloid Derived Suppressor Cells, Immunosuppression, Metastases"
"Awadalla, Philip","Ontario Institute for Cancer Research (Toronto, Ontario)",Ontario,Project Grant,202203PJT,Cancer Biology & Therapeutics 2,Preparing for the Recovery from the Effects of the PAndemic on cancer control using Real-world Evidence in Canada (PREPARE-Canada),"$1,147,500",$0,,,5 yrs 0 mth ,Cancer Research,Cancer-Mechanisms of Carcinogenesis; Population and Health-Health Promotion and Disease Prevention,2022-10-01,2027-09-30,0,,,"cancer, real-world evidence, pandemic"
"Azad, Taha",Universite de Sherbrooke,Quebec,Project Grant,202303PJT,Cancer Biology & Therapeutics,Bioengineering viruses to create safer and more effective oncolytic viruses,"$986,850",$0,,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,2023-10-01,2028-09-30,0,,,"bioengineering, viruses, oncolytic"
"Babu, Mohan",University of Regina (Saskatchewan),Saskatchewan,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,Development of SARS-CoV-2 Peptide Therapeutics and Point-of-Care Salivary Diagnostics for Rapid Viral Detection,"$937,950",$0,,,1 yr 0 mth ,Genetics,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; VIROLOGY,2020-06-01,2021-05-31,0,,,"SARS-CoV-2, Peptide, Diagnostics"
"Bach, Horacio",University of British Columbia,British Columbia,Operating Grant: COVID-19 - Therapeutics,202002OV3,Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research,Neutralizing human-derived single-chain antibodies against SARS-CoV-2,"$395,600",$0,,,2 yrs 0 mth ,Infection and Immunity,VIRAL; VIROLOGY,2020-04-01,2022-03-31,0,,,"single-chain antibodies, SARS-CoV-2, neutralization"
"Bahlis, Nizar J",University of Calgary,Alberta,Operating Grant - PA: Alberta Cancer Foundation - Research (bridge funding),201109OAC,Cancer Progression & Therapeutics,Bortezomib mediated BRCAness in Myeloma cells: novel therapeutic approach combining PARP1-2 and 26S proteasome inhibitors.,$0,$0,"$100,000",Alberta Cancer Foundation,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; CANCER; BLOOD,2013-04-01,2017-03-31,0,,,"Bortezomib, BRCAness, PARP1-2"
"Bahlis, Nizar J",University of Calgary,Alberta,Operating Grant,201209MOP,Cancer Progression & Therapeutics,Bortezomib mediated BRCAness in Myeloma cells: novel therapeutic approach combining PARP1-2 and 26S proteasome inhibitors.,"$522,880",$0,,,4 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; CANCER; BLOOD,2013-04-01,2017-03-31,0,,,"Bortezomib, BRCAness, PARP1-2"
"Bailey, Swneke D",Research Institute of the McGill University Health Centre,Quebec,Project Grant,201909PJT,Cancer Progression & Therapeutics,Investigating the Molecular Determinants of Peritoneal Metastasis from Gastro-Esophageal Adenocarcinomas,"$753,525",$0,,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis,2020-04-01,2025-03-31,0,,,"Peritoneal metastasis, Molecular determinants, Gastro-Esophageal adenocarcinomas"
"Baker, Kristi",University of Alberta,Alberta,Project Grant,201809PJT,Cancer Biology & Therapeutics,Chemokine-mediated control of anti-tumor immunity in DNA-repair deficient colorectal cancer,"$765,000",$0,,,5 yrs 0 mth ,Cancer Research,"Cancer-Cancer Progression and Metastasis; Immunology and Infection-Transplantation, Immune Tolerance and Tumor Immunology",2019-04-01,2024-03-31,1,,,"Chemokine, DNA-repair, colorectal cancer"
"Baker, Kristi",University of Alberta,Alberta,Project Grant,202209PJT,Cancer Biology & Therapeutics,Harnessing dendritic cells to regulate antitumor immunity in colorectal cancer,"$956,250",$0,,,5 yrs 0 mth ,Cancer Research,"Cancer-Mechanisms of Carcinogenesis; Immunology and Infection-Transplantation, Immune Tolerance and Tumor Immunology; Cancer-Cancer Progression and Metastasis",2023-04-01,2028-03-31,0,,,"dendritic cells, antitumor immunity, colorectal cancer"
"Bally, Marcel B",University of British Columbia,British Columbia,Operating Grant,201003MOP,Cancer Progression & Therapeutics 2,Identifying Cytoprotective Responses Triggered Following Initial Exposure to Targeted Therapy: Defining Improved Treatment Strategies for Patients with HER-2 Positive Breast Cancer.,"$774,156",$0,,,5 yrs 0 mth ,Cancer Research,BREAST CANCER THERAPY; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; CANCER,2010-10-01,2015-09-30,0,,,"Cytoprotective responses, HER-2, breast cancer"
"Barabe, Frederic",Universite Laval,Quebec,Project Grant,201903PJT,Cancer Biology & Therapeutics 2,Biology of S100A8 and S100A9 proteins in Human Acute Myeloid Leukemia,"$761,176",$0,,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,2019-10-01,2024-09-30,0,,,"S100A8, S100A9, Leukemia"
"Barabe, Frederic",Universite Laval,Quebec,Project Grant,202209PJT,Cancer Progression & Therapeutics 2,Role of the RAS Pathway Activation on the Biology and Drug Response of Acute Myeloid Leukemias,"$891,225",$0,,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis; Cancer-Cancer Drug Development and Therapeutics; Cancer-Pediatric Cancer,2023-04-01,2028-03-31,0,,,"RAS, Leukemias, Pathway"
"Baracos, Vickie E",University of Alberta,Alberta,Operating Grant,201109MOP,Cancer Biology & Therapeutics,"Sarcopenia: a predictor of cancer treatment response, treatment toxicity & drug metabolism","$135,206",$0,,,2 yrs 0 mth ,Cancer Research,LUNG CANCER THERAPY; CANCER THERAPY GENERAL; CANCER,2012-04-01,2014-03-31,0,,,"Sarcopenia, cancer, metabolism"
"Barakat, Khaled H",University of Alberta,Alberta,Project Grant,202104PJT,Cancer Biology & Therapeutics,Investigating the cell-based activity of a new class of cytotoxic T-lymphocyte antigen-4 (CTLA-4) small molecule inhibitors,"$508,726",$0,,,5 yrs 0 mth ,Cancer Research,Immunology and Infection-Immunology and Autoimmune Diseases (including rheumatology),2021-10-01,2026-09-30,0,,,"cytotoxic T-lymphocyte, CTLA-4, small molecule"
"Bardakjian, Berj L",University of Toronto,Ontario,Operating Grant,201209MOP,Biomedical Engineering,Classification and control of the electrical activities in the brain's neural networks under epileptic seizure conditions,"$418,000",$0,,,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",EPILEPSY; MENTAL DISABILITY; BIOPHYSICS; NERVOUS SYSTEM,2013-04-01,2018-03-31,4,,,"brain, neural networks, epilepsy"
"Bardakjian, Berj L",University of Toronto,Ontario,Operating Grant,200903MOP,Biomedical Engineering,Prediction and control of seizure onset,"$293,444",$0,,,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",EPILEPSY; MENTAL DISABILITY; BIOPHYSICS; NERVOUS SYSTEM,2006-04-01,2009-03-31,3,,,"seizure, prediction, control"
"Baron, Corey A",Western University (Ontario),Ontario,Project Grant,202109PJT,Medical Physics & Imaging,Microstructural MRI in Temporal Lobe Epilepsy,"$581,400",$0,,,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",Biomedical Engineering-Biomedical Imaging; Neurosciences-Neurological disorders,2022-04-01,2027-03-31,0,,,"Microstructural MRI, Temporal Lobe Epilepsy"
"Barr, Stephen D",Western University (Ontario),Ontario,Operating Grant: COVID-19 - Vaccines,202002OV5,Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research,Shutting down emerging Coronaviruses in humans now and in the future,"$998,840",$0,,,2 yrs 0 mth ,Infection and Immunity,VIRAL; INFECTIOUS AND PARASITIC; VIROLOGY; MOLECULAR BIOLOGY,2020-04-01,2022-03-31,0,,,"Coronaviruses, humans, shutting"
"Barralet, Jake E",Research Institute of the McGill University Health Centre,Quebec,Project Grant,201809PJT,Biomedical Engineering,Autosynthetics: Cranial Regeneration,"$631,124",$0,,,4 yrs 0 mth ,Musculoskeletal Health and Arthritis,"Musculoskeletal Health-Bone, Skin and Cartilage Sciences",2019-04-01,2023-03-31,0,,,"Autosynthetics, Cranial, Regeneration"
"Barsyte-Lovejoy, Dalia",University of Toronto,Ontario,Project Grant,202309PJT,Cancer Progression & Therapeutics 2,Targeting protein arginine methylation in the 9p21.3 loss tumor microenvironment,"$902,700",$0,,,5 yrs 0 mth ,Cancer Research,,2024-03-01,2025-02-28,0,,,"protein, arginine methylation, tumor microenvironment"
"Barsyte-Lovejoy, Dalia",University of Toronto,Ontario,Project Grant,202210PJT,Cancer Biology & Therapeutics,Targeting protein arginine methylation in tumor-associated macrophages,"$100,000",$0,,,1 yr 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,2023-04-01,2024-03-31,0,,,"protein, arginine, methylation"
"Bartha, Robert",Western University (Ontario),Ontario,Operating Grant,200910MOP,Medical Physics & Imaging,Magnetic Resonance PARACEST Imaging of In-vivo Protease Activity,"$96,414",$0,,,1 yr 0 mth ,Aging,ALZHEIMER'S DISEASE; AGING; IMAGING; BIOPHYSICS,2010-10-01,2014-09-30,0,,,"Magnetic Resonance, PARACEST, Protease"
"Bartha, Robert",Western University (Ontario),Ontario,Operating Grant,201003MOP,Medical Physics & Imaging,Magnetic Resonance PARACEST Imaging of In-vivo Protease Activity,"$449,243",$0,,,4 yrs 0 mth ,Aging,ALZHEIMER'S DISEASE; AGING; IMAGING; BIOPHYSICS,2010-10-01,2014-09-30,0,,,"Magnetic Resonance, PARACEST, Protease"
"Bashashati, Ali",University of British Columbia,British Columbia,Project Grant,202010PJT,Medical Physics & Imaging,Prostate cancer risk stratification for active surveillance using computer-aided analysis of histopathology and transcriptomics,"$906,525",$0,,,5 yrs 0 mth ,Cancer Research,"Cancer-Clinical Oncology; Artificial Intelligence-Machine Learning; Genetics-Genomics, Transcriptomics and Proteomics",2021-04-01,2026-03-31,0,,,"prostate cancer, histopathology, transcriptomics"
"Bashashati, Ali",University of British Columbia,British Columbia,Project Grant,202403PJT,Medical Physics & Imaging,aRtificial intelligence-driven computational pathology platform for blAdder Cancer subTyping (REACT),"$845,326",$0,,,5 yrs 0 mth ,Cancer Research,Artificial Intelligence-Machine Learning; Biomedical Engineering-Biomedical Imaging; Cancer-Cancer Drug Development and Therapeutics,2024-10-01,2029-09-30,0,,,"artificial intelligence, computational pathology, bladder cancer"
"Basik, Mark",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Project Grant - PA: Breast Cancer Research,202309PLL,Cancer Biology & Therapeutics 2,Altering the gut microbiome in Triple- negative breast cancer: a pilot study,"$100,000",$0,,,1 yr 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,2024-03-01,2025-02-28,0,,,"gut microbiome, breast cancer, triple-negative"
"Basik, Mark",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Project Grant,202403PJT,Cancer Progression & Therapeutics 2,Altering the gut microbiome in Triple- negative breast cancer: a pilot study,"$1,510,875",$0,,,4 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,2024-03-01,2025-02-28,0,,,"gut microbiome, breast cancer, triple-negative"
"Basik, Mark",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Project Grant,202109PJT,Cancer Progression & Therapeutics 2,Targeting lipid metabolism in chemoresistant breast cancer,"$1,009,800",$0,,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,2022-04-01,2027-03-31,0,,,"lipid metabolism, chemoresistant, breast cancer"
"Batist, Gerald",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Operating Grant,201209MOP,Cancer Progression & Therapeutics,Novel strategy to selectively target tumor cell growth and chemosensitivity,"$767,780",$0,,,5 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; NONE OF THE ABOVE; CANCER; MOLECULAR BIOLOGY,2013-04-01,2018-03-31,0,,,"tumor, cell growth, chemosensitivity"
"Baxter, Nancy N",Unity Health Toronto,Ontario,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - novel e-health applications,"BEFORE (Begin Exploring Fertility Options, Risks and Expectations): a novel Canadian e-health app to facilitate shared decision-making for people at risk of cancer treatment related infertility.","$199,965",$0,,,2 yrs 0 mth ,Health Services and Policy Research,HEALTH SERVICES RESEARCH; INFERTILITY FEMALE; CANCER,2017-09-01,2019-08-31,0,,,"fertility, e-health, shared decision-making"
"Bazett-Jones, David P",Hospital for Sick Children (Toronto),Ontario,"Catalyst Grant: Invention and High-Risk, High-Benefit Research",200903NHG,"Inventions, Technologies, or High Risk Grants",Nanomanipulation and high resolution in situ gene mapping,"$300,000",$0,,,3 yrs 0 mth ,Genetics,LEUKAEMIAS; MULTIPLE DISEASE RELEVANCE; CELL BIOLOGY; CANCER,2009-10-01,2012-09-30,0,,,"Nanomanipulation, gene mapping, in situ"
"Beauchemin, Nicole",McGill University,Quebec,Operating Grant,201109MOP,Cancer Progression & Therapeutics 2,CEACAM1 in colon cancer progression and metastasis,"$834,100",$0,,,5 yrs 0 mth ,Cancer Research,GASTRO-INTESTINAL CANCER; GASTRO-INTESTINAL CANCER THERAPY; CANCER; CELL BIOLOGY,2012-04-01,2017-03-31,0,,,"CEACAM1, colon cancer, metastasis"
"Beaulieu, Christian",University of Alberta,Alberta,Operating Grant,201403MOP,Medical Physics & Imaging,Development of Novel Diffusion Magnetic Resonance Methods for the Brain: Initial Applications to Stroke,"$777,172",$0,,,5 yrs 0 mth ,Circulatory and Respiratory Health,"STROKE, HEART FAILURE; MULTIDISCIPLINARY; IMAGING; NERVOUS SYSTEM",2014-07-01,2016-06-30,0,,,"Diffusion, Magnetic Resonance, Stroke"
"Beaulieu, Christian",University of Alberta,Alberta,Operating Grant,200809MOP,Medical Physics & Imaging,Quantitative Magnetic Resonance Imaging of Neurodevelopment,"$733,595",$0,,,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",CNS ORGANIC; MENTAL AND BEHAVIOURAL DISEASES; IMAGING; NERVOUS SYSTEM,2009-04-01,2014-03-31,0,,,"Magnetic Resonance, Imaging, Neurodevelopment"
"Beaulieu, Jean-Franeois",Universite de Sherbrooke,Quebec,Project Grant,202003PJT,Cancer Progression & Therapeutics 2,Set-up of a mass spectrometry-based stool test for colorectal cancer screening,"$719,101",$0,,,4 yrs 0 mth ,Cancer Research,Cancer-Clinical Oncology,2020-10-01,2024-09-30,0,,,"mass spectrometry, stool test, colorectal cancer"
"Beaulieu, Luc",Universite Laval,Quebec,Operating Grant,201003MOP,Medical Physics & Imaging,An Integrated Real-Time 3D Ultrasound Guidance System for Multi-catheters Breast Brachytherapy,"$275,233",$0,,,3 yrs 0 mth ,Cancer Research,BREAST CANCER; BREAST CANCER THERAPY; CANCER; IMAGING,2010-10-01,2013-09-30,0,,,"Ultrasound, Brachytherapy, Guidance"
"Beaulieu, Luc",Universite Laval,Quebec,Project Grant,202003PJT,Medical Physics & Imaging,The impact of Monte Carlo dose calculations on prostate and breast low-dose rate brachytherapy dose-outcome relationships and radiobiological modeling.,"$715,276",$0,,,5 yrs 0 mth ,Cancer Research,Cancer-Clinical Oncology,2020-10-01,2025-09-30,0,,,"Monte Carlo, brachytherapy, radiobiological"
"Beauregard, Jean-Mathieu",Universite Laval,Quebec,Project Grant,202109PJT,Medical Physics & Imaging,Towards Personalized Dosimetry-Based Radioligand Therapy of Prostate Cancer as a New Standard of Practice,"$960,075",$0,,,5 yrs 0 mth ,Cancer Research,Biomedical Engineering-Biomedical Imaging; Cancer-Cancer Drug Development and Therapeutics; Artificial Intelligence-Machine Learning,2022-04-01,2027-03-31,0,,,"Dosimetry, Radioligand, Prostate Cancer"
"Bell, Brendan B",Universite de Sherbrooke,Quebec,Catalyst Grant: Innovation in HIV Vaccine and HIV Cure Research,201211CHR,HIV Vaccine and Cure Research,Core promoter-binding complexes as novel targets to cure HIV/AIDS,"$100,000",$0,,,1 yr 0 mth ,Infection and Immunity,AIDS; VIRAL; VIROLOGY; MOLECULAR BIOLOGY,2013-03-01,2014-02-28,0,,,"core promoter, binding complexes, HIV/AIDS"
"Bell, John C",Ottawa Hospital Research Institute,Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Vaccines,202005VR1,COVID-19 Rapid Research - Vaccines,Development of Vaccines to Prevent SARS-CoV-2 Infection of High Risk Individuals,"$1,936,150",$0,,,1 yr 0 mth ,Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH,2020-06-01,2021-05-31,1,,,"Vaccines,SARS-CoV-2,Infection"
"Bell, John C",Ottawa Hospital Research Institute,Ontario,Project Grant,202304PJT,Cancer Biology & Therapeutics,Overcoming barriers to effective cancer immunotherapy with an engineered virus based therapeutic,"$100,000",$0,,,1 yr 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,2023-10-01,2024-09-30,2,,,"cancer, immunotherapy, virus"
"Ben-David, Yaacov","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Operating Grant,201009MOP,Cancer Progression & Therapeutics 2,Interaction of cancer initiating cells with the tumor microenvironment during leukemogenesis,"$696,385",$0,,,5 yrs 0 mth ,Cancer Research,LEUKAEMIAS; BLOOD; CANCER,2011-04-01,2016-03-31,0,,,"cancer cells, tumor microenvironment, leukemogenesis"
"Benard, Francois",University of British Columbia,British Columbia,Alternative Radiopharmaceuticals for Medical Imaging,200909MIS,Strategic Initiative: Medical Isotope committee,Cyclotron-based production of technetium radioisotopes,"$78,800","$51,640",,,2 yrs 0 mth ,Cancer Research,MULTIPLE DISEASE RELEVANCE; NEOPLASMS; IMAGING; DRUG RESEARCH,2009-11-01,2011-10-31,2,,,"Cyclotron, technetium, radioisotopes"
"Bennewith, Kevin L",University of British Columbia,British Columbia,Project Grant,201803PJT,Cancer Biology & Therapeutics,Hypoxia in tumour-draining lymph nodes as an indication of immune activation and immunotherapy response,"$956,250",$0,,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis; Cancer-Cancer Drug Development and Therapeutics,2018-10-01,2023-09-30,0,,,"hypoxia, lymph nodes, immunotherapy"
"Bennewith, Kevin L",University of British Columbia,British Columbia,Operating Grant - Priority Announcement: Breast Cancer,201109COP,Cancer Biology & Therapeutics,Promotion of breast cancer metastasis by tumour hypoxia and myeloid cells.,"$100,000",$0,,,1 yr 0 mth ,Cancer Research,BREAST CANCER; CANCER THERAPY GENERAL; CANCER; GENETICS,2013-04-01,2018-03-31,0,,,"breast cancer, metastasis, hypoxia"
"Bennewith, Kevin L",University of British Columbia,British Columbia,Operating Grant,201209MOP,Cancer Biology & Therapeutics,Promotion of breast cancer metastasis by tumour hypoxia and myeloid cells.,"$699,413",$0,,,5 yrs 0 mth ,Cancer Research,BREAST CANCER; CANCER THERAPY GENERAL; CANCER; GENETICS,2013-04-01,2018-03-31,0,,,"breast cancer, metastasis, hypoxia"
"Bennewith, Kevin L",University of British Columbia,British Columbia,Project Grant,202104PJT,Cancer Biology & Therapeutics 2,Targeting cancer-associated fibroblasts and tumour hypoxia with angiotensin II receptor blockers,"$979,200",$0,,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis,2021-10-01,2026-09-30,0,,,"cancer-associated fibroblasts, tumour hypoxia, angiotensin II receptor blockers"
"Benoit, Yannick D",University of Ottawa,Ontario,Project Grant,202309PJT,Cancer Biology & Therapeutics 2,Defining the role of dopamine transporter in the hierarchical organization of colorectal tumors,"$1,086,300",$0,,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics; Cancer-Mechanisms of Carcinogenesis,2024-04-01,2029-03-31,0,,,"dopamine transporter, colorectal tumors"
"Berman, Jason N",Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Project Grant,202209PJT,Cancer Progression & Therapeutics,Identifying novel strategies for leukemia prevention using zebrafish models of dnajc21-mutant Shwachman Diamond syndrome,"$910,350",$0,,,5 yrs 0 mth ,Cancer Research,Cancer-Pediatric Cancer,2023-04-01,2028-03-31,0,,,"leukemia, zebrafish, dnajc21"
