Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,External_Funding,External_Funding_Partner,Term_Years_Months
"Allen, Christine J; Reilly, Raymond M; Sridhar, Srikala S",University of Toronto,Ontario,Operating Grant - Priority Announcement: Breast Cancer,201309COP,Cancer Progression & Therapeutics,Targeted Polymeric Nanotechnology for Multi-Modality Treatment of HER2 Positive Breast Cancer,$0,$0,"$100,000",Avon Foundation for Women - Canada,1 yr 0 mth 
"Bahlis, Nizar J",University of Calgary,Alberta,Operating Grant - PA: Alberta Cancer Foundation - Research (bridge funding),201109OAC,Cancer Progression & Therapeutics,Bortezomib mediated BRCAness in Myeloma cells: novel therapeutic approach combining PARP1-2 and 26S proteasome inhibitors.,$0,$0,"$100,000",Alberta Cancer Foundation,1 yr 0 mth 
"Brooks, Donald E",University of British Columbia,British Columbia,Operating Grant - Priority Announcement: Blood Utilization and Conservation,201209BUC,Biomedical Engineering,Development of Novel Blood Vessel and Organ Sealants for Blood Conservation in Surgical Practice,$0,$0,"$240,996",Canadian Blood Services (Ottawa),3 yrs 0 mth 
"Drabovich, Andrei P",University of Alberta,Alberta,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,Rational design and standardization of serology diagnostics using immunoaffinity-targeted proteomics assays,$0,$0,"$215,500",Public Health Agency of Canada,1 yr 0 mth 
"Godbout, Roseline",University of Alberta,Alberta,Operating Grant - PA: Alberta Cancer Foundation - Research (bridge funding),201203OAC,Cancer Progression & Therapeutics,Role of Brain Fatty Acid-binding Protein in Malignant Glioma Progression,$0,$0,"$100,000",Alberta Cancer Foundation,1 yr 0 mth 
"Gorski, Sharon M","Simon Fraser University (Burnaby, B.C.)",British Columbia,Operating Grant - Priority Announcement: Breast Cancer Research (AVON),201209OBC,Cancer Progression & Therapeutics,Autophagy inhibition for the treatment of chemotherapy-refractory triple-negative breast cancer,$0,$0,"$750,000",Avon Foundation for Women - Canada,5 yrs 0 mth 
"Grant, Michael D",Memorial University of Newfoundland,Newfoundland and Labrador,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Vaccines,202005VR1,COVID-19 Rapid Research - Vaccines,Characterization of Cellular and Humoral Immunity Against SARS-CoV-2,$0,$0,"$497,175",Public Health Agency of Canada,1 yr 0 mth 
"Jarvi, Keith A; Gingras, Anne-Claude; Mazzulli, Tony",Sinai Health System (Toronto),Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,"Development of high throughput, inexpensive and scalable testing to detect SARS-CoV-2 antibodies using home blood collection kits and a fully automated ELISA antibody assay",$0,$0,"$484,965",Public Health Agency of Canada,1 yr 0 mth 
"Jirik, Frank R",University of Calgary,Alberta,Operating Grant - PA: Alberta Cancer Foundation - Research (bridge funding),201103OAC,Cancer Progression & Therapeutics,Identifying factors responsible for enhancing the metastatic potential of xenografted NSCLC cells.,$0,$0,"$100,000",Alberta Cancer Foundation,0 yr 1 mth 
"Lavasanifar, Afsaneh",University of Alberta,Alberta,Operating Grant - PA: Alberta Cancer Foundation - Research (bridge funding),201103OAC,Biomedical Engineering,Ligand guided polymeric nano-carriers for tumor targeted drug and oncogene silencing therapy: A strategy for chemosensitization of resistant cancers,$0,$0,"$100,000",Alberta Cancer Foundation,1 yr 0 mth 
"Lavasanifar, Afsaneh",University of Alberta,Alberta,Operating Grant - PA: Alberta Cancer Foundation - Research (bridge funding),201203OAC,Biomedical Engineering,Tumor targeted polymeric nanocarriers for oncogene silencing therapy of metastatic breast cancer,$0,$0,"$100,000",Alberta Cancer Foundation,1 yr 0 mth 
"Le, Xiaochun C",University of Alberta,Alberta,Operating Grant - PA: Alberta Cancer Foundation - Research (bridge funding),201203OAC,Cancer Biology & Therapeutics,Mechanisms of arsenic carcinogenesis,$0,$0,"$100,000",Alberta Cancer Foundation,1 yr 0 mth 
"Le, Xiaochun C",University of Alberta,Alberta,Operating Grant: COVID-19 - Diagnostics,202002OV1,Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research,Point-of-care diagnostics of COVID-19 using isothermal amplification and CRISPR technology,$0,$0,"$828,046","Social Sciences & Humanities Research Council (Ottawa, Ontario)",2 yrs 0 mth 
"Lemieux, Joanne M",University of Alberta,Alberta,Operating Grant: COVID-19 - Therapeutics,202002OV3,Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research,"Synthesis, Structural Studies and Evaluation of Inhibitors of the 3CL Protease of SARS-CoV-2 as Potential Drugs for Treating Infection",$0,$0,"$714,250",Natural Sciences and Engineering Research Council of Canada (NSERC),2 yrs 0 mth 
"Little, Dustin J",Toronto Metropolitan University,Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,"A low-cost, portable, and decentralized microfluidic device for detecting SARS-CoV-2 neutralizing antibodies",$0,$0,"$235,800",Public Health Agency of Canada,1 yr 0 mth 
"Ma, Hongshen",University of British Columbia,British Columbia,Operating Grant - Priority Announcement: Blood Utilization and Conservation,201403BUC,Biomedical Engineering,Microfluidic Devices to Measure the Deformability of Stored Red Blood Cells,$0,$0,"$398,301",Canadian Blood Services (Ottawa),3 yrs 0 mth 
"Marchant, David J; West, Frederick G",University of Alberta,Alberta,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,Broad-spectrum Antiviral Nasal Spray to Prevent and treat Infection by SARS-CoV2 and Seasonal Respiratory Viruses in High Risk Patients and Health Care Providers,$0,$0,"$662,480",International Development Research Centre (Ottawa),1 yr 0 mth 
"Maxwell, Christopher A",University of British Columbia,British Columbia,Operating Grant - Priority Announcement: Breast Cancer Research (AVON),201309OBC,Cancer Biology & Therapeutics,"Understanding the mitotic and non-mitotic roles of RHAMM, a novel regulator for aurora kinase A.",$0,$0,"$631,358",Avon Foundation for Women - Canada,5 yrs 0 mth 
"Michelakis, Evangelos D",University of Alberta,Alberta,Operating Grant - PA: Alberta Cancer Foundation - Research (bridge funding),201109OAC,Cancer Progression & Therapeutics 2,The Metabolic basis of Cancer Angiogenesis,$0,$0,"$100,000",Alberta Cancer Foundation,1 yr 0 mth 
"Nazy, Ishac",McMaster University,Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,Long-term protective immunity against SARS-CoV-2 virus in COVID-19 patients,$0,$0,"$350,000",Public Health Agency of Canada,1 yr 0 mth 
"Pai, Madhukar",Research Institute of the McGill University Health Centre,Quebec,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,"Validation of rapid, molecular testing for COVID-19 and integration with TB diagnostics",$0,$0,"$421,479",International Development Research Centre (Ottawa),1 yr 0 mth 
"Pardee, Keith I",University of Toronto,Ontario,Operating Grant: COVID-19 - Diagnostics,202002OV1,Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research,"Rapid, Low-cost Diagnostics and Deployable Surge Capacity for COVID-19",$0,$0,"$1,000,000",International Development Research Centre (Ottawa),2 yrs 0 mth 
"Pardee, Keith I; Cevallos, Varsovia E; Gonzalez, Camila",University of Toronto,Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,"Portable, Low-cost Hardware for De-centralized COVID-19 Diagnostics for Canada, Colombia and Ecuador",$0,$0,"$442,526",International Development Research Centre (Ottawa),1 yr 0 mth 
"Petrik, Jim J",University of Guelph,Ontario,Operating Grant - Priority Announcement: Ovarian Cancer (bridge funding),201009OVA,Cancer Progression & Therapeutics,Thrombospondin-1 as a potent anti-tumor and anti-angiogenic factor in ovarian cancer,$0,$0,"$100,000",Ovarian Cancer Canada (Toronto),1 yr 0 mth 
"Pillai, Dylan R; Chiu, Charles Y",University of Calgary,Alberta,Operating Grant: COVID-19 - Diagnostics,202002OV1,Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research,Development and implementation of rapid metagenomic sequencing coupled with isothermal amplification point of care testing for viral diagnostics,$0,$0,"$244,715","Genome Canada (Ottawa, Ontario)",2 yrs 0 mth 
"Scott, Mark D",Canadian Blood Services (Ottawa),Ontario,Operating Grant: Priority Announcement - Transfusion Science,201503OTS,Biomedical Engineering,Polymer-Based Manufacturing of Tolerogenic miRNA-Based Therapeutics,$0,$0,"$491,125",Canadian Blood Services (Ottawa),3 yrs 0 mth 
"Stone, James C",University of Alberta,Alberta,Operating Grant - PA: Alberta Cancer Foundation - Research (bridge funding),201109OAC,Cancer Progression & Therapeutics 2,Novel Medicinal Diacylglycerol Analogues for the Treatment of Specific Forms of B-Non-Hodgkin's Lymphoma,$0,$0,"$100,000",Alberta Cancer Foundation,1 yr 0 mth 
"Troyer, Ryan",Western University (Ontario),Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,Simple assay to assess antibody-dependent enhancement of SARS-CoV-2,$0,$0,"$151,050",Public Health Agency of Canada,1 yr 0 mth 
"Kaufmann, Daniel E; Finzi, Andrés",Centre hospitalier de l'Université de Montréal (CHUM),Quebec,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,Early immune predictors of sustained SARS-CoV-2 antibody responses after COVID-19 disease,"$50,000",$0,,,1 yr 0 mth 
"Schreiner, L. John","Queen's University (Kingston, Ontario)",Ontario,Operating Grant - PA: Cancer Research (bridge funding),201009IC1,Medical Physics & Imaging,Advancing gel dosimetry for clinical radiation therapy,"$60,388",$0,,,1 yr 0 mth 
"Brinkman, Ryan",University of British Columbia,British Columbia,Operating Grant: Priority Announcement (IHSPR),200809IHP,Cancer Progression & Therapeutics,Statistical analysis of clinical lymphoma data for automated quality assurance of diagnosis and biomarker identification,"$68,228",$0,,,1 yr 0 mth 
"Lagally, Eric T",University of British Columbia,British Columbia,"Catalyst Grant: Invention and High-Risk, High-Benefit Research",200902NHG,"Inventions, Technologies, or High Risk Grants",Integrated Microsystems for Selecting and Screening Novel Molecular Recognition Reagents,"$73,000","$25,000",,,1 yr 0 mth 
"Thornton, Gail M",University of Calgary,Alberta,"Operating Grant - PA: Musculoskeletal Health, Arthritis, Skin and Oral Health",200809IMH,Biomedical Engineering,Damage Mechanics and Mechanisms in Ligament and Tendon,"$73,019",$0,,,1 yr 0 mth 
"Chen, Jing J",Baycrest Centre for Geriatric Care (Toronto),Ontario,"Project Grant - PA: Neurosciences, Mental Health and Addiction",201909PJ8,Medical Physics & Imaging,Mapping cellular and extracellular white-matter changes in aging using MRI: Towards clinical translation,"$77,500",$0,,,1 yr 0 mth 
"Benard, Francois; Ruth, Thomas J",University of British Columbia,British Columbia,Alternative Radiopharmaceuticals for Medical Imaging,200909MIS,Strategic Initiative: Medical Isotope committee,Cyclotron-based production of technetium radioisotopes,"$78,800","$51,640",,,2 yrs 0 mth 
"Schirrmacher, Ralf",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Quebec,"Operating Grant - PA: Inst of Nutrition, Metabolism and Diabetes -Bridge Funding",200809NMD,Medical Physics & Imaging,Beta-cell imaging with 18F-labeled glibenclamide-glucose conjugates by positron emission tomography,"$81,155",$0,,,1 yr 0 mth 
"Unrau, Peter J","Simon Fraser University (Burnaby, B.C.)",British Columbia,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,General and Inexpensive Saliva-based Viral RNA Testing by Direct Imaging,"$82,026",$0,,,1 yr 0 mth 
"McElwee, Kevin J",University of British Columbia,British Columbia,Operating Grant: Fall 2008 Priority Announcement (IMHA),200809MUS,Cancer Biology & Therapeutics,CXC chemokines in basal cell carcinomas,"$84,507",$0,,,1 yr 0 mth 
"Lee, Tim K; Lui, Harvey; Zeng, Haishan",University of British Columbia,British Columbia,"Operating Grant - PA: Musculoskeletal Health, Arthritis, Skin and Oral Health",201003IMH,Medical Physics & Imaging,Depth-sensitive low-coherent speckle technique for skin lesion differentiation,"$85,212",$0,,,1 yr 0 mth 
"Miller, Robert John D",University of Toronto,Ontario,"Catalyst Grant: Invention and High-Risk, High-Benefit Research",200902NHG,"Inventions, Technologies, or High Risk Grants",Impulsive Heat desorption of the single cell - towards a full protein content determination,"$89,450",$0,,,1 yr 0 mth 
"Xiang, Jim",University of Saskatchewan,Saskatchewan,Vaccines of the 21st Century,200903CVC,Catalyst Grant: Vaccines of the 21st Century,Acombined early and late HIV-1 protein-specific exosome-targeted T cell vaccine capable of stimulating HIV-1 specific CD8+ CTL responses in absence of CD4+ T cells and counteracting immune suppression.,"$89,482",$0,,,1 yr 0 mth 
"Li, Yingfu",McMaster University,Ontario,Operating Grant,200810MOP,Cancer Biology & Therapeutics,Developing RNA-cleaving DNAzymes as Molecular Tools for Cancer Study and as Cancer Therapeutics,"$89,919",$0,,,1 yr 0 mth 
"Rocheleau, Jonathan V",University Health Network (Toronto),Ontario,"Catalyst Grant: Invention and High-Risk, High-Benefit Research",200902NHG,"Inventions, Technologies, or High Risk Grants",Design of novel microfluidic devices to stimulate growth and maintenance of ex vivo pancreatic islet endothelial cells.,"$90,400",$0,,,1 yr 0 mth 
"Campbell, Robert E",University of Alberta,Alberta,"Catalyst Grant: Invention and High-Risk, High-Benefit Research",200902NHG,"Inventions, Technologies, or High Risk Grants",Intracellular biosensors based on engineered fluorescent proteins: new tools and techniques for imaging the spatiotemporal dynamics of correlated biochemical events in single cells,"$90,600",$0,,,1 yr 0 mth 
"Ferri, Lorenzo",McGill University,Quebec,Operating Grant,200810MOP,Cancer Progression & Therapeutics,The Role of Systemic Inflammation in Esophageal Cancer Metastasis: Exploring Neutrophil Dependent and Independent Mechanisms,"$94,265",$0,,,1 yr 0 mth 
"Dutz, Jan P",University of British Columbia,British Columbia,Vaccines of the 21st Century,200903CVC,Catalyst Grant: Vaccines of the 21st Century,Novel transdermal vaccine delivery,"$94,600",$0,,,1 yr 0 mth 
"Bartha, Robert",Western University (Ontario),Ontario,Operating Grant,200910MOP,Medical Physics & Imaging,Magnetic Resonance PARACEST Imaging of In-vivo Protease Activity,"$96,414",$0,,,1 yr 0 mth 
"Jahani-Asl, Arezu",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Quebec,Operating Grant: Targeting High Fatality Cancers - Innovation Grant,201601TFC,Targeting High Fatality Cancers Innovation Grant,OSMR Signalling in Glioblastoma Pathogenesis,"$97,500","$2,500",,,1 yr 0 mth 
"Segura, Mariela A; Gottschalk, Marcelo G; Roy, René; Thibodeau, Jacques",Université de Montréal,Quebec,Vaccines of the 21st Century,200903CVC,Catalyst Grant: Vaccines of the 21st Century,Effect of sialic acid of Gram-positive bacteria capsular polysaccharides on the immunogenic capacity of conjugate vaccines,"$98,222",$0,,,1 yr 0 mth 
"Pantophlet, Ralph A","Simon Fraser University (Burnaby, B.C.)",British Columbia,Catalyst Grant: Innovation in HIV Vaccine and HIV Cure Research,201211CHR,HIV Vaccine and Cure Research,Probing MBL function in oligomannose-specific anti-HIV antibody responses,"$98,300",$0,,,1 yr 0 mth 
"Graham, Janice E",Dalhousie University (Nova Scotia),Nova Scotia,Vaccines of the 21st Century,200903CVC,Catalyst Grant: Vaccines of the 21st Century,"Regulatory challenges to the development of new vaccines: Mapping   emergent relations between science, evidence and policy.","$98,980",$0,,,1 yr 0 mth 
"Pantophlet, Ralph A","Simon Fraser University (Burnaby, B.C.)",British Columbia,Vaccines of the 21st Century,200903CVC,Catalyst Grant: Vaccines of the 21st Century,Immunogen design to elicit broadly neutralizing antibodies to influenza,"$99,242",$0,,,1 yr 0 mth 
"Kelvin, David J",University Health Network (Toronto),Ontario,Vaccines of the 21st Century,200903CVC,Catalyst Grant: Vaccines of the 21st Century,Identification and Characterization of Adjuvant Controlled Correlates of Immune Protection,"$99,250",$0,,,1 yr 0 mth 
"Ostrowski, Mario A",University of Toronto,Ontario,Vaccines of the 21st Century,200903CVC,Catalyst Grant: Vaccines of the 21st Century,Discovery of new B cell immunogens for HIV vaccines,"$99,252",$0,,,1 yr 0 mth 
"Wang, Jun",IWK Health Centre (Halifax),Nova Scotia,Vaccines of the 21st Century,200903CVC,Catalyst Grant: Vaccines of the 21st Century,Development of Novel Molecular Adjuvants for Genetic Vaccination,"$99,252",$0,,,1 yr 0 mth 
"Flynn, Lauren E","Queen's University (Kingston, Ontario)",Ontario,"Operating Grant - PA: Musculoskeletal Health, Arthritis, Skin and Oral Health",201009IMH,Biomedical Engineering,Engineering Adipogenesis for Soft Tissue Regeneration,"$99,346",$0,,,1 yr 0 mth 
"Riazalhosseini, Yasser",McGill University,Quebec,Operating Grant: Targeting High Fatality Cancers - Innovation Grant,201601TFC,Targeting High Fatality Cancers Innovation Grant,Validating a promising targeted therapeutic approach in pancreatic cancer,"$99,372",$0,,,1 yr 0 mth 
"Stagljar, Igor",University of Toronto,Ontario,"Catalyst Grant: Invention and High-Risk, High-Benefit Research",200902NHG,"Inventions, Technologies, or High Risk Grants",Development of the mammalian membrane two-hybrid technology,"$99,519",$0,,,1 yr 0 mth 
"Poirier, Donald",Université Laval,Quebec,Operating Grant: Targeting High Fatality Cancers - Innovation Grant,201601TFC,Targeting High Fatality Cancers Innovation Grant,Évaluation d'une nouvelle famille d'aggravateurs du stress du réticulum endoplasmique pour traiter le cancer du pancréas,"$99,958",$0,,,1 yr 0 mth 
"Aldape, Kenneth",University Health Network (Toronto),Ontario,Operating Grant: Targeting High Fatality Cancers - Innovation Grant,201601TFC,Targeting High Fatality Cancers Innovation Grant,Discovery of molecular targets for treatment of clinically malignant meningioma,"$99,997",$0,,,1 yr 0 mth 
"Routy, Jean-Pierre",Research Institute of the McGill University Health Centre,Quebec,Catalyst Grant: Innovation in HIV Vaccine and HIV Cure Research,201211CHR,HIV Vaccine and Cure Research,The orchid study: A pilot assessment of viral reservoir and immune compartmentalization in testicular tissue of HIV-infected subjects,"$99,997",$0,,,1 yr 0 mth 
"Tremblay, Michel L",McGill University,Quebec,Operating Grant: Targeting High Fatality Cancers - Innovation Grant,201601TFC,Targeting High Fatality Cancers Innovation Grant,Generation of a new therapeutic approach against advanced pancreatic cancer by modulating protein tyrosine phosphatases,"$99,997",$0,,,1 yr 0 mth 
"Acker, Jason P",University of Alberta,Alberta,Project Grant,201804PJT,Biomedical Engineering,Enabling liver cryopreservation by controlling ice recrystallization with small molecule inhibitors,"$100,000",$0,,,1 yr 0 mth 
"Ahmed, Shahid",University of Saskatchewan,Saskatchewan,Project Grant,201809PJT,Cancer Biology & Therapeutics 2,Conversion From Unresectable To Resectable Liver Metastases In Patients With Liver-Only Metastatic Colorectal Cancer Treated With FOLFOXIRI Plus Bevacizumab. The Conversion Trial.,"$100,000",$0,,,3 yrs 0 mth 
"Ailles, Laurie E",University Health Network (Toronto),Ontario,Project Grant,202210PJT,Cancer Progression & Therapeutics,Targeting PRMT1 in Clear Cell Renal Cell Carcinoma,"$100,000",$0,,,1 yr 0 mth 
"Alain, Tommy; Graber, Tyson",Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Project Grant - PA: Breast Cancer Research,202209PLL,Cancer Biology & Therapeutics,Viralyzing transgenes to improve oncolytic immunotherapy,"$100,000",$0,,,1 yr 0 mth 
"Alaoui-Jamali, Moulay A",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Quebec,Operating Grant - PA: Institute of Cancer Research (bridge funding),200909IC3,Cancer Progression & Therapeutics,Molecular and Translational Studies of Filamin Signaling Network in Invasive Cancer,"$100,000",$0,,,1 yr 0 mth 
"Amsden, Brian G","Queen's University (Kingston, Ontario)",Ontario,"Operating Grant - PA: Musculoskeletal Health, Arthritis, Skin and Oral Health",201109IMH,Biomedical Engineering,Biomimetic Scaffold for Ligament Tissue Engineering,"$100,000",$0,,,1 yr 0 mth 
"Ancuta, Petronela",Centre hospitalier de l'Université de Montréal (CHUM),Quebec,Catalyst Grant: Innovation in HIV Vaccine and HIV Cure Research,201211CHR,HIV Vaccine and Cure Research,Establishment of Long-Lived HIV-1 Reservoirs in Naive Th17 Precursors: Implications for the Cure,"$100,000",$0,,,1 yr 0 mth 
"Anderson, Deborah H",University of Saskatchewan,Saskatchewan,Operating Grant,201405MOP,Cancer Progression & Therapeutics,Targeting Metastatic Breast Cancer,"$100,000",$0,,,1 yr 0 mth 
"Anderson, Deborah H",University of Saskatchewan,Saskatchewan,Project Grant - PA: Breast Cancer Research,202109PLL,Cancer Progression & Therapeutics,Targeting metastatic breast cancer,"$100,000",$0,,,1 yr 0 mth 
"Angers, Stephane",University of Toronto,Ontario,Operating Grant: Targeting High Fatality Cancers - Innovation Grant,201601TFC,Targeting High Fatality Cancers Innovation Grant,Identification of GBM genetic wiring vulnerabilities.,"$100,000",$0,,,1 yr 0 mth 
"Aoudjit, Fawzi",Université Laval,Quebec,Project Grant - Priority Announcement: Pediatric Cancer Research,202209PDI,Cancer Biology & Therapeutics,Understanding the role of beta1 integrins in chemoresistance of acute lymphoblastic leukemia and therapeutic implications,"$100,000",$0,,,1 yr 0 mth 
"Banquy, Xavier",Université de Montréal,Quebec,Operating Grant - PA: IMHA - New Invest.- Musculoskeletal Health Bridge Funding,201503ONM,Biomedical Engineering,Biomimetic polymers for the treatment of articular joint diseases,"$100,000",$0,,,1 yr 0 mth 
"Barsyte-Lovejoy, Dalia",University of Toronto,Ontario,Project Grant,202210PJT,Cancer Biology & Therapeutics,Targeting protein arginine methylation in tumor-associated macrophages,"$100,000",$0,,,1 yr 0 mth 
"Basik, Mark; Maleki, Saman; Ng, Terry L",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Quebec,Project Grant - PA: Breast Cancer Research,202309PLL,Cancer Biology & Therapeutics 2,Altering the gut microbiome in Triple- negative breast cancer: a pilot study,"$100,000",$0,,,1 yr 0 mth 
"Bell, Brendan B",Université de Sherbrooke,Quebec,Catalyst Grant: Innovation in HIV Vaccine and HIV Cure Research,201211CHR,HIV Vaccine and Cure Research,Core promoter-binding complexes as novel targets to cure HIV/AIDS,"$100,000",$0,,,1 yr 0 mth 
"Bell, John C",Ottawa Hospital Research Institute,Ontario,Project Grant,202304PJT,Cancer Biology & Therapeutics,Overcoming barriers to effective cancer immunotherapy with an engineered virus based therapeutic,"$100,000",$0,,,1 yr 0 mth 
"Bennewith, Kevin L",University of British Columbia,British Columbia,Operating Grant - Priority Announcement: Breast Cancer,201109COP,Cancer Biology & Therapeutics,Promotion of breast cancer metastasis by tumour hypoxia and myeloid cells.,"$100,000",$0,,,1 yr 0 mth 
"Bernard, Nicole F",Research Institute of the McGill University Health Centre,Quebec,Catalyst Grant: Innovation in HIV Vaccine and HIV Cure Research,201211CHR,HIV Vaccine and Cure Research,Determinants of the functional cure profile observed in HIV infected Elite Controllers.,"$100,000",$0,,,1 yr 0 mth 
"Berthod, François",Université Laval,Quebec,Operating Grant - PA: INMHA (bridge funding),201503INO,Biomedical Engineering,Stratégies de réparation des transsections des nerfs périphériques par génie tissulaire,"$100,000",$0,,,1 yr 0 mth 
"Boisvert, Francois-Michel",Université de Sherbrooke,Quebec,Operating Grant - PA: Cancer Research (bridge funding),201109IC1,Cancer Biology & Therapeutics,Subcellular Redistribution of Proteins Following DNA Damage: A Role for the MCM-ASF1 Complex in DNA Repair.,"$100,000",$0,,,1 yr 0 mth 
"Bolduc, Stéphane",Université Laval,Quebec,Project Grant - PA: Sex and Gender in Health Research (Bridge funding),202403PJX,Biomedical Engineering 2,"Urethral reconstruction using tissue engineering, final steps towards clinical translation","$100,000",$0,,,1 yr 0 mth 
"Bolduc, Stéphane",Université Laval,Quebec,Project Grant - PA: Sex and Gender in Health Research (Bridge funding),202010PJX,Biomedical Engineering,"Tissue-engineered solutions for uro-genital reconstruction, and replacing banned synthetic meshes.","$100,000",$0,,,1 yr 0 mth 
"Bordeleau, François; Landreville, Solange",Université Laval,Quebec,Project Grant - Priority Announcement: Early Detection/Cancer Prevention,202209DCP,Cancer Progression & Therapeutics,Hepatic stellate cells as a driver of the pre-metastatic niche in uveal melanoma,"$100,000",$0,,,1 yr 0 mth 
"Boucher, Marie-Josée",Université de Sherbrooke,Quebec,Operating Grant - PA: Cancer Research (bridge funding),200909IC1,Cancer Progression & Therapeutics,Cooperation between the Notch and the kRas signaling pathways in pancreatic cancer progression.,"$100,000",$0,,,1 yr 0 mth 
"Brock, Kristy K",University Health Network (Toronto),Ontario,Operating Grant - PA: Cancer Research (bridge funding),201109IC1,Medical Physics & Imaging,A Finite Element Model Approach to Modeling Changes of the Head and Neck,"$100,000",$0,,,1 yr 0 mth 
"Buckstein, Rena J","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Operating Grant - PA: Cancer Research (bridge funding),201103IC1,Cancer Biology & Therapeutics,"Myelodysplastic Syndromes (MDS) in Canada:  A national prospective study of the epidemiology, quality of life and impact of co-morbidity/frailty on disease outcome","$100,000",$0,,,1 yr 0 mth 
"Buschmann, Michael D",Polytechnique Montréal,Quebec,"Operating Grant - PA: Inst of Nutrition, Metabolism and Diabetes -Bridge Funding",200903NMD,Biomedical Engineering,Chitosan/Plasmid-DNA Polyelectrolyte Complexes for Delivery of Glucagon-Like Peptide-1 (GLP-1) in Diabetes Type 2 Models,"$100,000",$0,,,1 yr 0 mth 
"Buschmann, Michael D",Polytechnique Montréal,Quebec,"Operating Grant - PA: Musculoskeletal Health, Arthritis, Skin and Oral Health",201009IMH,Biomedical Engineering,Mechanisms and optimisation of marrow stimulated cartilage repair,"$100,000",$0,,,1 yr 0 mth 
"Catelas, Isabelle",University of Ottawa,Ontario,"Project Grant - PA: MSK, Skin and Oral Health: Clinical Research - MSK Health",201803PJ5,Biomedical Engineering,Identification of molecular mechanisms involved in the biological response to implant wear and corrosion,"$100,000",$0,,,1 yr 0 mth 
"Chan, Steven M",University Health Network (Toronto),Ontario,Project Grant - Priority Announcement: Early Detection/Cancer Prevention,202303DCP,Cancer Progression & Therapeutics,Inhibiting Thrombopoietin Receptor (TPO-R) Signaling as a Novel Approach to Target TET2 Mutation-Driven Clonal Hematopoiesis,"$100,000",$0,,,1 yr 0 mth 
"Chan, Steven M",University Health Network (Toronto),Ontario,Project Grant - Priority Announcement: Early Detection/Cancer Prevention,202209DCP,Cancer Progression & Therapeutics,Role of Thrombopoietin Receptor (TPO-R) Signaling in TET2 Mutation-Driven Clonal Hematopoiesis,"$100,000",$0,,,1 yr 0 mth 
"Chan, Warren C",University of Toronto,Ontario,Operating Grant - Priority Announcement: Breast Cancer,201209COP,Biomedical Engineering,Engineering DNA-nanosystems for tumor targeting,"$100,000",$0,,,1 yr 0 mth 
"Chen, Guojun",McGill University,Quebec,Project Grant - PA: Breast Cancer Research,202109PLL,Biomedical Engineering,Engineering injectable cold atmospheric plasma-preserved hydrogel to treat breast cancer,"$100,000",$0,,,1 yr 0 mth 
"Chiew, Mark","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Project Grant - Priority Announcement: Early Detection/Cancer Prevention,202309DCP,Medical Physics & Imaging,Rapid Diagnostic Imaging of Brain Metastases using Computational MRI,"$100,000",$0,,,1 yr 0 mth 
"Collins, Donald L; Goulet, Benoit",McGill University,Quebec,Operating Grant: Fall 2008 Priority Announcement (IMHA),200809MUS,Biomedical Engineering,Image guided neurosurgery,"$100,000",$0,,,1 yr 0 mth 
