Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,External_Funding,External_Funding_Partner,Term_Years_Months
"Wang, Rizhi; Grynpas, Marc D",University of British Columbia,British Columbia,"Project Grant - PA: MSK, Skin and Oral Health: Clinical Research - MSK Health",201809PJ5,Biomedical Engineering,Bone hypermineralization in older men and women and its impact on hip fragility,"$100,000",$0,,,1 yr 0 mth 
"Wang, Yuzhuo",University of British Columbia,British Columbia,Project Grant - Priority Announcement: Cancer Research,202209PJS,Cancer Progression & Therapeutics,A master transcription factor driving cell lineage reprogramming in neuroendocrine prostate cancer development and progression,"$100,000",$0,,,1 yr 0 mth 
"White, John H",McGill University,Quebec,Operating Grant - PA: Cancer Research (bridge funding),201109IC1,Cancer Biology & Therapeutics,Regulation of FoxO protein and cMYC function by the vitamin D receptor,"$100,000",$0,,,1 yr 0 mth 
"Whyne, Cari M; Hardisty, Michael R; Sahgal, Arjun","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Project Grant - Priority Announcement - Cancer Survivorship,202403CSV,Cancer Biology & Therapeutics,Stereotactic Radiotherapy for Spinal Metastases: Quantifying the Impact on Musculoskeletal Health,"$100,000",$0,,,1 yr 0 mth 
"Whyne, Cari M; Yee, Albert J","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Operating Grant - Priority Announcement: Breast Cancer,201203COP,Biomedical Engineering,Implications of pathologic changes to bone material properties on the skeletal stability of the metastatic spine,"$100,000",$0,,,1 yr 0 mth 
"Willett, Thomas",Sinai Health System (Toronto),Ontario,Operating Grant - PA: IMHA - New Invest.- Musculoskeletal Health Bridge Funding,201403ONM,Biomedical Engineering,Engineering of Irradiation-Sterilized Skeletal Allograft for Improved Clinical Outcomes,"$100,000",$0,,,1 yr 0 mth 
"Wilson, David R",University of British Columbia,British Columbia,Project Grant,201710PJT,Biomedical Engineering,"Development, assessment and application of a new method for characterizing degenerative lumbar spondylolisthesis in the symptomatic upright posture.","$100,000",$0,,,1 yr 0 mth 
"Wilson, David R; Lodhia, Parth",University of British Columbia,British Columbia,Pro. Gr. - PA: Inst. of Musculoskeletal Health and Arthritis: IMHA Mandate Areas,202409MHM,Biomedical Engineering,Biomechanical and imaging assessments of hip microinstability,"$100,000",$0,,,1 yr 0 mth 
"Witcher, Michael",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Quebec,Project Grant - PA: Breast Cancer Research,202303PLL,Cancer Progression & Therapeutics,Targeting changes to chromatin architecture that promote breast cancer metastasis.,"$100,000",$0,,,1 yr 0 mth 
"Witcher, Michael",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Quebec,Project Grant - PA: Breast Cancer Research,202209PLL,Cancer Progression & Therapeutics,Targeting changes to chromatin architecture that promote breast cancer metastasis.,"$100,000",$0,,,1 yr 0 mth 
"Workenhe, Samuel Tekeste",University of Guelph,Ontario,Project Grant,202210PJT,Cancer Biology & Therapeutics,Unraveling how programmed cell death shapes anticancer immunity,"$100,000",$0,,,1 yr 0 mth 
"Wouters, Bradly; Koritzinsky, Marianne",University Health Network (Toronto),Ontario,Operating Grant,201405MOP,Cancer Biology & Therapeutics,Targeting hypoxia in pancreatic cancer through the unfolded protein response,"$100,000",$0,,,1 yr 0 mth 
"Zeng, Haishan; Lam, Stephen",University of British Columbia,British Columbia,Project Grant - Priority Announcement: Early Detection/Cancer Prevention,202309DCP,Medical Physics & Imaging,Advanced Raman Spectroscopy for Exhaled Breath Analysis for Lung Cancer Detection,"$100,000",$0,,,1 yr 0 mth 
"Zhang, Yunyan",University of Calgary,Alberta,"Project Grant - PA: Neurosciences, Mental Health and Addiction",201909PJ8,Medical Physics & Imaging,Prediction of multiple sclerosis disability worsening scores using multi-stream deep learning,"$100,000",$0,,,1 yr 0 mth 
"Savas, Sevtap",Memorial University of Newfoundland,Newfoundland and Labrador,Operating Grant - PA: Regional Partnership Program - Newfoundland and Labrador,201003RNL,Cancer Progression & Therapeutics,Identification of genetic factors correlated with survival in colorectal cancer: Investigation of genetic markers from angiogenesis/lymphangiogenesis and metastasis pathways,"$114,190",$0,,,2 yrs 6 mths 
"Kim, Keekyoung",University of Calgary,Alberta,Project Grant,202203PJT,Biomedical Engineering,Computational modeling of anatomy guided 3D vasculature network for organ bioprinting and regeneration,"$114,750",$0,,,1 yr 0 mth 
"Masani, Kei",Toronto Rehabilitation Institute-UHN,Ontario,Operating Grant,201009MOP,Biomedical Engineering,Novel methodology to reduce muscle fatigue during functional electrical stimulation,"$120,364",$0,,,2 yrs 0 mth 
"Pignol, Jean-Philippe","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Operating Grant,201009MOP,Cancer Progression & Therapeutics,Long term outcomes of a multicentre controlled clinical trial of breast irradiation using Intensity-Modulated Radiation Therapy,"$130,322",$0,,,3 yrs 0 mth 
"Baracos, Vickie E",University of Alberta,Alberta,Operating Grant,201109MOP,Cancer Biology & Therapeutics,"Sarcopenia: a predictor of cancer treatment response, treatment toxicity & drug metabolism","$135,206",$0,,,2 yrs 0 mth 
"Richardson, Christopher D",Dalhousie University (Nova Scotia),Nova Scotia,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Vaccines,202005VR1,COVID-19 Rapid Research - Vaccines,Expression and Purification of COVID19 Virus Spike (S) Protein for Diagnostics and Vaccines,"$138,097",$0,,,1 yr 0 mth 
"Pickering, Bradley",University of Manitoba,Manitoba,Operating Grant: COVID-19 - Diagnostics,202002OV1,Canadian 2019 Novel Coronavirus (2019-nCoV) Rapid Research,Development of field-deployable and point-of-need diagnostics for SARS-CoV-2 using CRISPR-based technology,"$141,270",$0,,,2 yrs 0 mth 
"Arcand, JoAnne",Ontario Tech University,Ontario,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - novel e-health applications,Improving heart failure outcomes through apps that support self-management and adherence,"$146,368",$0,,,2 yrs 0 mth 
"Easson, Alexandra",University Health Network (Toronto),Ontario,Op Gr: Spark Grants in Novel Technologies in Cancer Prevention & Early Detection,202010SGN,Special Cases,Multispectral Needle Endoscopy: improving the patient breast cancer diagnostic experience,"$147,762",$0,,,1 yr 0 mth 
"Arrandale, Victoria H",University of Toronto,Ontario,Op Gr: Spark Grants in Novel Technologies in Cancer Prevention & Early Detection,202010SGN,Special Cases,"Combining contact lens sensors, metabolomics and artificial intelligence to characterize exposure and breast cancer biomarkers","$149,720",$0,,,1 yr 0 mth 
"Chaurand, Pierre",Université de Montréal,Quebec,Op Gr: Spark Grants in Novel Technologies in Cancer Prevention & Early Detection,202010SGN,Special Cases,Cancer steroidomics by tag-enhanced imaging mass spectrometry,"$150,000",$0,,,1 yr 0 mth 
"Holt, Rob",University of British Columbia,British Columbia,Project Grant,201709PJT,Cancer Progression & Therapeutics 2,Engineering T cells to overcome an immunosuppressive solid tumour microenvironment,"$150,000",$0,,,3 yrs 0 mth 
"Mason, Andrew L",University of Alberta,Alberta,Op Gr: Spark Grants in Novel Technologies in Cancer Prevention & Early Detection,202010SGN,Special Cases,Does Human Betaretrovirus (HBRV) infection predate the development of Breast Cancer?,"$150,000",$0,,,1 yr 0 mth 
"Van Houten, Elijah E",Université de Sherbrooke,Quebec,Op Gr: Spark Grants in Novel Technologies in Cancer Prevention & Early Detection,202010SGN,Special Cases,Wearable Technology for Early Detection of Breast Cancer,"$150,000",$0,,,1 yr 0 mth 
"Mui, Alice L",University of British Columbia,British Columbia,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,The role of interleukin-10 responsiveness in lung inflammation in SARS CoV2 infection,"$150,072",$0,,,1 yr 0 mth 
"Gangloff, Anne",Université Laval,Quebec,Project Grant,201903PJT,Cancer Progression & Therapeutics 2,Multi-pathway cholesterol depletion on top of FOLFIRINOX in newly diagnosed metastatic pancreatic adenocarcinoma: a feasibility and proof-of-concept study,"$153,000",$0,,,2 yrs 0 mth 
"Kao, Kenneth R",Memorial University of Newfoundland,Newfoundland and Labrador,Operating Grant - PA: Regional Partnership Program - Newfoundland and Labrador,201303RNL,Cancer Progression & Therapeutics 2,Analysis of human Pygopus 2 as an essential androgen-responsive cellular biomarker for prostate cancer progression,"$153,012",$0,,,3 yrs 0 mth 
"Gauthier, Lynn R; Lalloo, Chitra",Université Laval,Quebec,Catalyst Grant: Personalized Health Catalyst Grants,201706PCG,Personalized Health - novel e-health applications,PainQuILT: A patient-centred e-health solution to empower older adults and improve pain assessment and management,"$162,027",$0,,,2 yrs 0 mth 
"Mouland, Andrew J",CIUSSS de Centre-Ouest-de-l'Ile-de-Montréal-Jewish General,Quebec,Ca. Gr.: Biomedical Res. for HIV/AIDS/STBBI -Next-gen. therapeutic interventions,202410BH6,Catalyst Grant : Biomedical Research for HIV/AIDS and STBBI,Biomolecular condensates: organizing hubs for innate responses to infection representing viable therapeutic targets,"$164,258",$0,,,1 yr 0 mth 
"Perrin, David M",University of British Columbia,British Columbia,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,Peptide macrocycle decoys against COVID-19 viral spike protein,"$167,056",$0,,,1 yr 0 mth 
"Berman, Jason N",IWK Health Centre (Halifax),Nova Scotia,Operating Grant - PA: Regional Partnership Program - Nova Scotia,201103RNS,Cancer Progression & Therapeutics,Molecular interrogation and a small molecule screen of NUP98-HOXA9 induced AML in the zebrafish,"$168,452",$0,,,3 yrs 0 mth 
