Project_Title,NIH_Spending_Categorization,Public_Health_Relevance,Administering_IC,Project_Number,Type,Activity,IC,Support_Year,Suffix,Project_Start_Date,Project_End_Date,Study_Section,Subproject_Number,Name,Other_PI_or_Project_Leaders,Congressional_District,Primary_Institute,Instition_Paid,Province,Organization_Type,ARRA_Indicator,Funding_Start_Date,Budget_End_Date,Post_Award_Action_Type,CFDA_Code,Funding_Mechanism,Fiscal_Year,Total_Cost,Total_Cost_Sub_Projects,Funding_IC,Direct_Cost_IC,Indirect_Cost_IC,NIH_COVID_19_Response,Total_Cost_IC,title_keywords,patents,companies,companies_count
Discovery of chemical probes for uveal melanoma,Biotechnology; Cancer; Eye Disease and Disorders of Vision; Genetics; Orphan Drug; Rare Diseases," We want to further optimize the pipeline of novel anti-cancer chemical probes we have discovered, by improving their potency, activity, pharmacological properties and establishing their preclinical safety. This will accelerate their translation toward
clinical trials to test their potential as novel drugs for the treatment of patients with malignant
ocular tumors, and possibly other cancers. !   
      

",NCI,1R01CA180805-01,1,R01,CA,1,,2013-09-01,2017-08-31,Special Emphasis Panel[ZRG1 MDCN-C (58)],,"VAN MEIR, ERWIN G.","GROSSNIKLAUS, HANS E.;WANG, BINGHE ",5,NEUROSURGERY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2013-09-01,2017-08-31,,395.0,Non-SBIR/STTR,2013,1578448.0,,NCI,323672.0,131834.0,,455506.0,"chemical probes, uveal melanoma",0,0,0
Dystonia Coalition Administrative Supplement,Biotechnology; Clinical Research; Dystonia; Neurodegenerative; Neurosciences; Orphan Drug; Rare Diseases,"PROJECT NARRATIVE
The main goal of the Dystonia Coalition is to provide the foundations necessary for development and evaluation
of novel treatments for the isolated dystonia syndromes, previously known as eprimarye dystonias. The
objectives are to develop a better understanding of the natural history of these disorders and their phenotypic
diversity, to characterize individual and temporal variations in response to the standard of care with botulinum
toxins, to develop more objective tools to assess severity, and to establish a biorepository resource for
exploration of genetic determinants and potential biomarkers. These objectives are all fundamental ingredients
for the success of clinical trials to establish new treatments.",NINDS,3U54NS116025-12S1,3,U54,NS,12,S1,2022-09-01,2023-08-31,,,"JINNAH, HYDER A",Not Applicable,5,NEUROLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2022-09-01,2023-08-31,,350.0,Research Centers,2022,174637.0,,NCATS,174637.0,0.0,,174637.0,"Dystonia, Coalition, Administrative",0,0,0
Genetic Mechanisms of Sporulation Induction in C. difficile,Antimicrobial Resistance; Biodefense; Digestive Diseases; Emerging Infectious Diseases; Genetics; Infectious Diseases,"Project Narrative
The experiments in this proposal are designed to uncover the mechanisms used by
Clostridium difficile to form an infectious spore. The project is relevant to the NIH's
mission of understanding and preventing bacterial infections and digestive diseases.",NIAID,2R01AI116933-06A1,2,R01,AI,6,A1,2015-08-01,2026-01-31,Bacterial Pathogenesis Study Section[BACP],,"MCBRIDE, SHONNA M.",Not Applicable,5,MICROBIOLOGY/IMMUN/VIROLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2021-02-01,2025-01-31,,855.0,Non-SBIR/STTR,2021,1895700.0,,NIAID,319571.0,164577.0,,484148.0,"Genetic, Sporulation, C. difficile",0,0,0
Infant Aphakia Treatment Study-Clinical Centers,Clinical Research; Congenital Structural Anomalies; Eye Disease and Disorders of Vision; Neurodegenerative; Neurosciences; Patient Safety; Pediatric,"PUBLIC HEALTH RELEVANCE:  Congenital cataracts are one of the leading causes of blindness among children and glaucoma is one of the most serious adverse events that can develop after cataract surgery during infancy. This study will evaluate whether implantation of an intraocular lens during infantile cataract surgery is associated with a lower long-term incidence of glaucoma than leaving the eye aphakic.   
   
      

",NEI,1UG1EY025553-01,1,UG1,EY,1,,2015-09-01,2020-08-31,Special Emphasis Panel[ZEY1 VSN (01)],,"LAMBERT, SCOTT R",Not Applicable,5,OPHTHALMOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2015-09-01,2020-08-31,,867.0,Other Research-Related,2015,932847.0,,NEI,204227.0,74197.0,,278424.0,"Infant, Aphakia, Study",0,0,0
Leadership Administrative Core (LAC),Aging; Infectious Diseases; Women's Health,"LEADERSHIP ADMINISTRATIVE CORE PROJECT NARRATIVE:
Evaluation of sex differences in research is critical for appropriate translation and implementation of research
findings. The Leadership Administrative Core (LAC) will be scientific and administrative leadership for the
SCORE, allocating resources, influencing research priorities, and providing logistical support to expand
women's health research and sex/gender science at Emory, regionally and nationally. The LAC mission is to
develop a scientific community centered around women's health and sex/gender research and to transform
Emory into a Center of Excellence whose investigators routinely include consideration of sex as an essential
biological variable in all research.",NIA,5U54AG062334-03,5,U54,AG,3,,2018-09-30,2025-05-31,Special Emphasis Panel[ZRG1-EMNR-A],5988.0,"OFOTOKUN, IGHOVWERHA ",Not Applicable,5,Unavailable,EMORY UNIVERSITY,GA,Domestic Higher Education,N,2020-06-01,2023-05-31,,,Research Centers,2020,,233335.0,,149574.0,83761.0,,,"Leadership, Administrative, Core",0,0,0
Positively Transforming Emory's Diverse Culture: Reducing Stigma and Promoting Ca,No NIH Category available,n/a,SAMHSA,1U79SM058941-01,1,U79,SM,1,,2009-09-30,2012-09-29,ZOA1-CMHS-N(M9)S,,"KASLOW, NADINE ",Not Applicable,5,Unavailable,EMORY UNIVERSITY,GA,Domestic Higher Education,N,2009-09-30,2012-09-29,,243.0,Other,2009,,,,,,,,"Positively Transforming, Emory, Stigma",0,0,0
STI Response and Recommendations Under PrEP (STIRRUP),Behavioral and Social Science; Clinical Research; HIV/AIDS; Health Disparities; Health Services; Infectious Diseases; Mental Health; Prevention; Sexually Transmitted Infections; Social Determinants of Health,"PROJECT NARRATIVE
Reducing the overall incidence of and racial/ethnicity disparities in HIV and other sexually transmitted
infections (STI) among men who have sex with men in the United States will require comprehensive PrEP care
designed for the heterogeneity of PrEP users across different epidemiological contexts. The STIRRUP Study
will directly generate prevention science to support clinical practice and policy decisions on STI screening
within PrEP care for men who have sex with men (MSM) in the United States.",NIMH,1R01MH128130-01A1,1,R01,MH,1,A1,2022-02-01,2026-12-31,Population and Public Health Approaches to HIV/AIDS Study Section[PPAH],,"JENNESS, SAMUEL ",Not Applicable,5,PUBLIC HEALTH & PREV MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF PUBLIC HEALTH,N,2022-02-01,2024-12-31,,242.0,Non-SBIR/STTR,2022,1884777.0,,NIMH,425958.0,207214.0,,633172.0,"STI, PrEP, Response",0,0,0
Statistical Methods for Cancer Detection Using Biomarkers,Bioengineering; Cancer; Clinical Research; Prevention; Prostate Cancer; Urologic Diseases,"PROJECT NARRATIVE
The proposed project develops novel and ef?cient statistical and computational methods for disease detection
using biomarkers. They will facilitate biomarker evaluation and further formulation of multiplex prediction
rules to guide treatment and patient care for cancer and other diseases.",NCI,1R01CA230268-01A1,1,R01,CA,1,A1,2019-03-11,2025-02-28,Cancer Biomarkers Study Section[CBSS],,"HUANG, YIJIAN ",Not Applicable,5,BIOSTATISTICS & OTHER MATH SCI,EMORY UNIVERSITY,GA,SCHOOLS OF PUBLIC HEALTH,N,2019-03-11,2025-02-28,,393.0,Non-SBIR/STTR,2019,1480426.0,,NCI,183000.0,95672.0,,278672.0,"Statistical methods, cancer detection, biomarkers",0,0,0
Cardiovascular Project 3,Aging; Atherosclerosis; Biomedical Imaging; Cardiovascular; Clinical Research; Estrogen; Heart Disease; Heart Disease - Coronary Heart Disease; Infectious Diseases; Minority Health; Prevention; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Human; Women's Health,"Narrative
Not applicable for projects",NIA,5U54AG062334-03,5,U54,AG,3,,2018-09-30,2025-05-31,Special Emphasis Panel[ZRG1-EMNR-A],5992.0,"QUYYUMI, ARSHED A",Not Applicable,5,Unavailable,EMORY UNIVERSITY,GA,Domestic Higher Education,N,2020-06-01,2023-05-31,,,Research Centers,2020,,323634.0,,207458.0,116176.0,,,Cardiovascular,0,0,0
Cognitive Enhancer May Facilitate Behavioral Exposure,Behavioral and Social Science; Clinical Research; Mental Health; Mind and Body; Rehabilitation,n/a,NIMH,5R01MH070880-05,5,R01,MH,5,,2005-09-30,2013-08-31,ZMH1-ERB-S(08),,"ROTHBAUM, BARBARA O",Not Applicable,5,PSYCHIATRY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2010-09-01,2013-08-31,,242.0,Non-SBIR/STTR,2010,442314.0,,NIMH,289094.0,153220.0,,442314.0,"Cognitive, Behavioral, Exposure",1,Cothen Veterans Bioscience Inc.,1
