Project_Title,NIH_Spending_Categorization,Public_Health_Relevance,Administering_IC,Project_Number,Type,Activity,IC,Support_Year,Suffix,Project_Start_Date,Project_End_Date,Study_Section,Subproject_Number,Name,Other_PI_or_Project_Leaders,Congressional_District,Primary_Institute,Instition_Paid,Province,Organization_Type,ARRA_Indicator,Funding_Start_Date,Budget_End_Date,Post_Award_Action_Type,CFDA_Code,Funding_Mechanism,Fiscal_Year,Total_Cost,Total_Cost_Sub_Projects,Funding_IC,Direct_Cost_IC,Indirect_Cost_IC,NIH_COVID_19_Response,Total_Cost_IC,title_keywords,patents,companies,companies_count
Chemistry for next-generation single-molecule fluorosequencing technology 2.0.,Bioengineering; Biotechnology; Genetics; Human Genome,"PROJECT NARRATIVE
This proposal describes the development of novel chemistries for the selective labeling of varying amino acids
and posttranslational modifications PTMs for their accurate identification by single-molecule fluorosequencing
at the proteome-wide scale. The proteomic analysis and correlation of the PTMs would lead to the discovery of
protein biomarkers for early diagnosis and detection, as well as disease monitoring thus of extraordinary
biomedical and clinical interest.",NHGRI,1R01HG012941-01,1,R01,HG,1,,2023-06-01,2026-05-31,Special Emphasis Panel[ZHG1 HGR-P (J1)],,"RAJ, MONIKA ",Not Applicable,5,CHEMISTRY,EMORY UNIVERSITY,GA,SCHOOLS OF ARTS AND SCIENCES,N,2023-06-01,2026-05-31,,172.0,Non-SBIR/STTR,2023,2090618.0,,NHGRI,1428573.0,662045.0,,2090618.0,"single-molecule, fluorosequencing, chemistry",1,0,0
Coexisting nocturia and insomnia in older adults: Planning a trial of integrated therapy,Aging; Behavioral and Social Science; Clinical Research; Clinical Trials and Supportive Activities; Comparative Effectiveness Research; Neurosciences; Sleep Research; Urologic Diseases,"Two of the most common causes of sleep disturbance are nocturia (waking at night from sleep to void) and
chronic insomnia disorder and these conditions frequently coexist within the same individual. Yet clinical
practice guidelines rarely address the two conditions concurrently, even though the two conditions exacerbate
one another. The proposed project, which aims to refine the treatment protocol for integrated behavioral
treatment that addresses both conditions simultaneously and to plan for a full-scale trial, will allow us in the
short-term to increase the success of completing a future trial that will examine the efficacy of the integrated
treatment and in the long-term to improve insomnia severity, overall sleep, and nocturia frequency in older
adults with these coexisting conditions.",NIA,1R34AG058835-01A1,1,R34,AG,1,A1,2019-08-15,2023-05-31,Clinical Aging Study Section[NIA-C],,"VAUGHAN, ELIZABETH CAMILLE","FUNG, CONSTANCE ;MARKLAND, ALAYNE DENISE",5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2019-08-15,2023-05-31,,866.0,Non-SBIR/STTR,2019,682891.0,,NIA,237017.0,47119.0,,284136.0,"nocturia, insomnia, older adults",0,0,0
Determining astrocytic contributions to memory-related dimensions of PTSD,Anxiety Disorders; Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Mental Health; Mental Illness; Neurosciences; Post-Traumatic Stress Disorder (PTSD),"PROJECT NARRATIVE
 Prior exposure to stress is a risk-factor that biases the development of Post-Traumatic Stress Disorder
(PTSD) after future trauma. Stress-induced deficits in extinction learning are characterized by the inability to
learn that stimuli previously linked to trauma are no longer threatening and cause maladaptive fear expression
toward these stimuli. This proposal will shed light on how astrocytes e the predominant cell population in the
brain, influence stress-induced deficits in extinction learning and inform new therapeutic approaches to mitigate
this core pathology of PTSD.",NIMH,1R21MH119455-01A1,1,R21,MH,1,A1,2019-09-10,2021-06-30,Neurobiology of Learning and Memory Study Section[LAM],,"DIAS, BRIAN GEORGE",Not Applicable,5,PSYCHIATRY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2019-09-10,2020-08-31,,242.0,Non-SBIR/STTR,2019,257237.0,,NIMH,125000.0,95517.0,,220517.0,"astrocytic, memory, PTSD",0,0,0
Development of the Postnatal Heart,Cardiovascular; Genetics; Heart Disease; Pediatric,"PUBLIC HEALTH RELEVANCE: We have recently shown that thyroid hormone makes young hearts grow by adding cardiac muscle cells. Here we propose to delineate the mechanisms by which thyroid hormone regulates this process. Understanding how thyroid hormone stimulates replication of cardiac muscle cells in young hearts could have important clinical implications for cardiac regeneration in juvenile hearts.   
   
   
   
      

",NHLBI,1R01HL127726-01A1,1,R01,HL,1,A1,2016-01-01,2020-12-31,Cardiovascular Differentiation and Development Study Section[CDD],,"HUSAIN, AHSAN ","NAQVI, NAWAZISH ALI",5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2016-01-01,2020-12-31,,837.0,Non-SBIR/STTR,2016,1560000.0,,NHLBI,250000.0,140000.0,,390000.0,"postnatal, heart",1,0,0
In search of an ethno-culturally appropriate approach for the early identification of Cognitive Impairment in African Americans,Acquired Cognitive Impairment; Aging; Alzheimer's Disease; Alzheimer's Disease Related Dementias (ADRD); Alzheimer's Disease including Alzheimer's Disease Related Dementias (AD/ADRD); Behavioral and Social Science; Brain Disorders; Cerebrovascular; Clinical Research; Dementia; Neurodegenerative; Neurosciences; Prevention; Vascular Cognitive Impairment/Dementia,"PROJECT NARRATIVE
This scope of research will test assessments designed to measure cognition in order to identify the best cognitive marker
correlated with day-to-day function in older African Americans. These assessments are brief in their duration and will
serve to identify a rapid strategy for the early identification of cognitive impairment in African Americans in primary care
clinical environments. Additionally, we will investigate whether hypertension, widely prevalent in African Americans,
partially explains the disparity between African Americans and Whites in global and executive functional impairment and
progression to dementia and/or Alzheimer dementia.",NIA,1R03AG056448-01,1,R03,AG,1,,2017-07-15,2019-12-31,Special Emphasis Panel[ZAG1 ZIJ-3 (M1)],,"GARRETT, STEPHANIE LYNN",Not Applicable,5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2017-07-15,2019-12-31,,866.0,Non-SBIR/STTR,2017,234000.0,,NIA,75000.0,42000.0,,117000.0,"Cognitive Impairment, Ethno-cultural, Early Identification",0,0,0
Intrathecal Gene Therapy Expressing IGF-1 for Amyotrophic Lateral Sclerosis,ALS; Biotechnology; Brain Disorders; Gene Therapy; Genetics; Neurodegenerative; Neurosciences; Rare Diseases,"
Amyotrophic lateral sclerosis, otherwise known as Lou Gehrig's disease, is a rapidly progressing
neuromuscular disease for which there is no effective treatment. This project will evaluate the efficacy of gene
therapy expressing a neuroprotective factor, insulin-like growth factor 1, on a rat model of this disorder. The
results will move this therapy closer to a clinical trial.",NINDS,1R21NS085553-01,1,R21,NS,1,,2013-09-01,2016-08-31,Chronic Dysfunction and Integrative Neurodegeneration Study Section[CDIN],,"BOULIS, NICHOLAS M",Not Applicable,5,NEUROSURGERY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2013-09-01,2016-08-31,,853.0,Non-SBIR/STTR,2013,388050.0,,NINDS,125000.0,70000.0,,195000.0,"Gene therapy, IGF-1, Amyotrophic Lateral Sclerosis",1,"Voyager Therapeutics, Inc.",1
Macaque T cell signatures of Mtb control,Biodefense; Emerging Infectious Diseases; HIV/AIDS; Immunization; Infectious Diseases; Orphan Drug; Prevention; Rare Diseases; Tuberculosis; Tuberculosis Vaccine; Vaccine Related,"Tuberculosis remains one of the major infectious killers with a large part of the global populafion infected. In 
the absence of an efficacious vaccine it is critical to gain an understanding of the immune mechanisms that 
lead to control or even eradication of the tuberculosis bacteria. The current proposal will use a primate 
model to address such correlates of protection, which will serve as references for future vaccine attempts.",NIAID,5U19AI111211-07,5,U19,AI,7,,2014-08-11,2022-07-31,ZAI1-LG-M,7784.0,"RENGARAJAN, JYOTHI ",Not Applicable,5,Unavailable,EMORY UNIVERSITY,GA,Domestic Higher Education,N,2020-08-01,2022-07-31,,,Non-SBIR/STTR,2020,,251757.0,,193912.0,57845.0,,,"Macaque, T cell, Mtb",0,0,0
Neurodevelopmental Effects of Antiepileptic Drugs II,Behavioral and Social Science; Brain Disorders; Clinical Research; Epilepsy; Neurodegenerative; Neurosciences; Pediatric; Perinatal Period - Conditions Originating in Perinatal Period,n/a,NINDS,5R01NS038455-10,5,R01,NS,10,,2000-09-30,2012-07-31,Neurological Sciences and Disorders K Study Section[NSD-K],,"MEADOR, KIMFORD J",Not Applicable,5,NEUROLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2009-09-01,2012-07-31,,853.0,Non-SBIR/STTR,2009,878590.0,,NINDS,1497904.0,330970.0,,878590.0,"Neurodevelopment, Antiepileptic drugs",0,0,0
3-D Culture Models,Infectious Diseases; Lung; Pediatric; Pneumonia; Pneumonia & Influenza,"PROJECT NARRATIVE
These exploratory studies aim to develop models of human cytomegalovirus infection in the lung and are relevant
to public health for two reasons. First, they focus on emerging culture methods providing cellular complexity
similar to human tissue. Secondly, they may advance fundamental knowledge relevant to the initiation and
progression of cytomegalovirus pneumonia.",NIAID,1R21AI142507-01,1,R21,AI,1,,2019-07-25,2021-06-30,Virology - B Study Section[VIRB],,"EDWARD S MOCARSKI, EDWARD S.",Not Applicable,5,MICROBIOLOGY/IMMUN/VIROLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2019-07-25,2021-06-30,,855.0,Non-SBIR/STTR,2019,429000.0,,NIAID,150000.0,84000.0,,234000.0,"3-D, Culture, Models",0,0,0
An Audio Music Self-management Program to Improve ART Adherence in Rural GA,Behavioral and Social Science; Clinical Research; Clinical Trials; Comparative Effectiveness Research; HIV/AIDS; Mind and Body; Patient Safety; Prevention; Rural Health, An Audio Music Self-Management Program to Improve ART Adherence in Rural GA ,NINR,1R01NR012923-01A1,1,R01,NR,1,A1,2012-09-01,2017-11-30,Behavioral and Social Consequences of HIV/AIDS Study Section[BSCH],,"HOLSTAD, MARCIA MCDONNELL",Not Applicable,5,NONE,EMORY UNIVERSITY,GA,SCHOOLS OF NURSING,N,2012-09-01,2017-11-30,,361.0,Non-SBIR/STTR,2012,2434982.0,,NINR,423073.0,233885.0,,656958.0,"Audio, Music, ART",0,0,0
Dystonia Coalition- CRP 4,Clinical Research; Dystonia; Genetics; Human Genome; Neurodegenerative; Neurosciences; Rare Diseases,"NARRATIVE
According to the instructions in RFA-TR-18-020, the Narrative section should not be completed for this section.",NINDS,5U54NS116025-10,5,U54,NS,10,,2009-09-30,2025-08-31,ZTR1-RD-8,5988.0,"JINNAH, HYDER A",Not Applicable,5,Unavailable,EMORY UNIVERSITY,GA,Domestic Higher Education,N,2020-09-01,2024-08-31,,,Research Centers,2020,,156900.0,,156900.0,0.0,,,"Dystonia, Coalition, CRP",0,0,0
Experimental characterization of the dynamics of immune responses to influenza,Biodefense; Clinical Research; Emerging Infectious Diseases; Immunization; Infectious Diseases; Influenza; Pneumonia & Influenza; Prevention; Vaccine Related,n/a,NIAID,1U19AI117891-01,1,U19,AI,1,,,2021-03-31,Special Emphasis Panel[ZAI1 QV-I (J3)],8861.0,"AHMED, RAFI ",Not Applicable,5,Unavailable,EMORY UNIVERSITY,GA,Domestic Higher Education,N,2015-04-01,2020-03-31,,,Non-SBIR/STTR,2015,,1008020.0,,701161.0,306859.0,,,"immune, influenza, responses",19,"Dana-Farber Cancer Institute, Inc.; The Brigham And Women's Hospital, Inc.; Dana-Farber Cancer Institute, Inc; St. Jude Children's Research Hospital, Inc.; Brigham And Women's Hospital, Inc.",5
Fetal Alcohol Spectrum Disorders in Adults: Health and Neurobehavior,"Alcoholism, Alcohol Use and Health; Basic Behavioral and Social Science; Behavioral and Social Science; Brain Disorders; Clinical Research; Conditions Affecting the Embryonic and Fetal Periods; Fetal Alcohol Syndrome; Health Disparities; Intellectual and Developmental Disabilities (IDD); Mental Health; Minority Health; Neurosciences; Pediatric; Perinatal Period - Conditions Originating in Perinatal Period; Social Determinants of Health; Substance Abuse; Women's Health","Project Narrative
Offspring of individuals with FASD are likely to represent a vulnerable population with
unrecognized needs and challenges. The goal of the proposed research is to determine the
neurobehavioral and physical health outcomes of the offspring of individuals affected by Fetal
Alcohol Spectrum Disorders (FASD) using the children of a prospective cohort of adults with a
history of heavy prenatal alcohol exposure. Accurate information on the health outcomes of the
offspring of FASD-affected individuals will allow for informed decision-making by policy makers,
caregivers, and health care workers.",NIAAA,3U01AA026108-04S1,3,U01,AA,4,S1,2017-07-01,2022-05-31,ZAA1(02),,"COLES, CLAIRE D.",Not Applicable,5,PSYCHIATRY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2020-08-15,2021-05-31,,273.0,Non-SBIR/STTR,2020,47823.0,,NIAAA,30656.0,17167.0,,47823.0,"Fetal Alcohol Spectrum, Neurobehavior, Adults",0,0,0
Mechanism of SSH1L Phosphatase Activation in VSMC: Role in Vascular Pathology,Aging; Atherosclerosis; Cardiovascular; Heart Disease; Heart Disease - Coronary Heart Disease,"The clear relationship of oxidant stress with restenosis and other vascular disorders in animal models clearly
supports the likely importance of this mechanism in clinical cardiology VSMC migration, a mechanism related with the increase of cellular oxidative stress, is implicated in vascular diseases. Therefore, understand the mechanism by which ROS direct VSMC migration will aloud to develop new and more effective therapeutic strategies.",NHLBI,4R00HL093115-02,4,R00,HL,2,,2009-09-07,2013-06-30,NSS,,"SAN MARTIN, ALEJANDRA ",Not Applicable,5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2009-09-07,2013-06-30,,837.0,Non-SBIR/STTR,2009,747000.0,,NHLBI,160645.0,88355.0,,249000.0,"SSH1L, Phosphatase, Vascular",0,0,0
Quantitative MRSI to predict early response to SAHA therapy in new GBM management,Bioengineering; Brain Cancer; Brain Disorders; Cancer; Clinical Research; Depression; Diagnostic Radiology; Mental Health; Neurosciences; Orphan Drug; Rare Diseases," Vorinostat, or SAHA, is an orally active, potent inhibitor of aberrant histone deacetylation activity that induces redifferentiation of glioblastoma (GBM) shifting its metabolism towards a more normal brain-like state.  In this study, we will establish a important clinical tool (magnetic resonance spectroscopic imaging, or MRSI) to detect changes in tumor metabolite levels soon after initiation of SAHA treatment as a predictor of therapeutic response in GMB patients.  Our MRSI-based tool will aid clinicians in identifying early modification of SAHA treatment indicative of favorable response and may allow initiation of alternative therapies at an earlier time if it is clear that SAHA is not effective.   
   
The RESUME AND SUMMARY OF DISCUSSION section above documents the final outcome of the evaluation by the review committee and is the basis for the assigned priority score.  The comments and criterion scores in the CRITIQUE section below were prepared by the reviewers assigned to this application and are provided without significant modification or editing by staff.  These critiques and criterion scores were prepared prior to the meeting and may not have been revised subsequent to the discussion at the review meeting.   
   
      

",NCI,1U01CA172027-01,1,U01,CA,1,,2013-08-06,2018-10-31,Special Emphasis Panel[ZCA1 SRLB-C (O1)],,"SHIM, HYUNSUK ","BARKER, PETER B;HU, XIAOPING P;OLSON, JEFFREY J;SHU, HUI-KUO ",5,RADIATION-DIAGNOSTIC/ONCOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2013-08-06,2018-10-31,,394.0,Non-SBIR/STTR,2013,3171477.0,,NCI,517795.0,153371.0,,671166.0,"MRSI, SAHA, GBM",0,0,0
Serological and cellular immune response to SARS-CoV-2 vaccination in pediatric multiple sclerosis on immunotherapy,Autoimmune Disease; Biodefense and Related Countermeasures; Biotechnology; Brain Disorders; Clinical Research; Coronaviruses; Coronaviruses Disparities and At-Risk Populations; Coronaviruses Vaccines; Emerging Infectious Diseases; Immunization; Immunotherapy; Infectious Diseases; Multiple Sclerosis; Neurodegenerative; Neurosciences; Pediatric; Prevention; Vaccine Related,"NARRATIVE
Understanding the immune response to SARS-CoV-2 vaccination is important to improve vaccine efficacy in
populations that are vulnerable and more at risk of developing complications from COVID-19. Patients with
multiple sclerosis (MS) are on immunotherapies that can impact their immune system, affecting the quality of
the vaccine response, particularly in children. Our study will assess the quality and duration of antibody and B-
and T-cell responses, including neutralizing antibodies against SARS-CoV-2 infection, in vaccinated children
and adults with MS undergoing different immunotherapy regimens, which may inform therapeutic decisions
prescribed to vulnerable MS patients and identify critical immune pathways to boost the vaccination response
in patients with MS and other patients on similar immunotherapies.",NIAID,1R21AI180928-01A1,1,R21,AI,1,A1,2024-07-01,2026-05-31,Population based Research in Infectious Disease Study Section[PRID],,"GOMBOLAY, GRACE YOONHEEKIM","GHOSN, ELIVER ",5,PEDIATRICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2024-07-01,2025-05-31,,855.0,Non-SBIR/STTR,2024,201398.0,,NIAID,129075.0,72323.0,,201398.0,"Serological, cellular, SARS-CoV-2",0,0,0
DYNAMICS AND EVOLUTION OF IMMUNE RESPONSES TO INFLUENZA VIRUSES,Biodefense; Biotechnology; Emerging Infectious Diseases; Immunization; Infectious Diseases; Influenza; Pneumonia & Influenza; Prevention; Vaccine Related; Vector-Borne Diseases,"PROJECT NARRATIVE
Understanding the generation and maintenance of immunological memory is the foundation of effective
vaccine development. We will contribute to this understanding by developing quantitative models for how
immune responses are generated and boosted, and how immunological memory is maintained. This
quantitative framework will help in the development of universal vaccines that provide broad protection against
influenza.
!",NIAID,1U01AI150747-01,1,U01,AI,1,,2020-06-29,2026-05-31,Special Emphasis Panel[ZAI1 TC-I (J1)],,"ANTIA, RUSTOM NOSHIR","AHMED, RAFI ;ELLEBEDY, ALI HASSAN;HANDEL, ANDREAS ;THOMAS, PAUL G.",5,BIOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF ARTS AND SCIENCES,N,2020-06-29,2026-05-31,,855.0,Non-SBIR/STTR,2020,5912615.0,,NIAID,994800.0,270680.0,,1265480.0,"immune response, influenza virus, dynamics",0,0,0
Epigenetic Regulation of Plasma Cells Differentiation,Biodefense; Emerging Infectious Diseases; Genetics; Human Genome; Immunization; Infectious Diseases; Vaccine Related,"PUBLIC HEALTH RELEVANCE: The differentiation of B cells to plasma cells results in the generation of antibody-based humoral responses and life-long immunity to many pathogens. To be able to design future immunotherapies and vaccines to infectious diseases, an understanding of the epigenetic processes that govern this differentiation is needed. The aims of this study will define the epigenetic architecture of B cell terminal differentiation, identify genes and mechanisms that affect life-long immunity, and ascribe the roles of key epigenetic modulators to this important immunological defense system.   
      

",NIAID,1R01AI123733-01,1,R01,AI,1,,2016-03-01,2023-02-28,Cellular and Molecular Immunology - B Study Section[CMIB],,"BOSS, JEREMY M.",Not Applicable,5,MICROBIOLOGY/IMMUN/VIROLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2016-03-01,2023-02-28,,855.0,Non-SBIR/STTR,2016,1933440.0,,NIAID,250000.0,137281.0,,387281.0,"Epigenetic, Plasma Cells, Differentiation",0,0,0
Epigenetic regulation of autoimmunity,Autoimmune Disease; Genetics; Lupus,"Specific mechanisms by which autoimmune cells are generated and how autoimmune cells are 
eplgenetically programmed are not well understood. We hypothesize that autoimmunity is caused by abnormal epigenetic mechanisms and that understanding these mechanisms will lead to novel approaches to treat disease. This Collaborative Project is aimed at 1) understanding the epigenetic bases of systemic lupus erythematosus and 2) determining if other autoimmune diseases share a similar epigenetic program",NIAID,1U19AI110483-01,1,U19,AI,1,,,,Special Emphasis Panel[ZAI1 PA-I (J1)],8073.0,"BOSS, JEREMY M.",Not Applicable,5,Unavailable,EMORY UNIVERSITY,GA,Domestic Higher Education,N,2014-05-01,2019-04-30,,,Non-SBIR/STTR,2014,,78000.0,,50000.0,28000.0,,,"Epigenetic, autoimmunity",0,0,0
Integrating microbial glycan arrays with genomic sequences to study host microbe interactions,Biotechnology; Microbiome,"Project Narrative:
Although the ability of many innate and adaptive host immune factors to recognize microbial glycans has been
recognized for many years, the binding specificity of most immune factors for microbial glycans remains largely
unknown. Furthermore, despite the nearly uniform use of genomic sequencing to interrogate microbiota, current
sequencing strategies largely fail to identify microbial strains based on their unique glycan signature. The
proposed studies will develop an integrated tool set that will enable a broad range of investigators to identify the
microbial glycan targets of the innate and adaptive immune factors they study and incorporate these findings
into existing genomic approaches commonly used to interrogate microbiota.",NCI,1U01CA242109-01,1,U01,CA,1,,2019-07-03,2022-06-30,Special Emphasis Panel[ZRG1 IMST-U (51)],,"STOWELL, SEAN R","CUMMINGS, RICHARD D",5,PATHOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2019-07-03,2020-06-30,,310.0,Non-SBIR/STTR,2019,510008.0,,OD,360653.0,149355.0,,510008.0,"microbial glycan, genomic sequences, host microbe interactions",0,0,0
Novel Roles for Effector Procaspases,No NIH Category available,"PUBLIC HEALTH RELEVANCE: Effector caspases are involved in dismantling a cell that undergoes a specialized form of cell death called apoptosis and are present in cells in an inactive form called procaspases. We have found novel roles for two procaspases and propose to further define how these proteins control cell adhesion and movement when they are not activated to kill cells. Understanding how procaspases regulate these other biologic functions could have important implications for therapeutic approaches to diseases including metastatic cancer and wound-healing disorders.   
      

",NIGMS,1R01GM106565-01A1,1,R01,GM,1,A1,2014-08-01,2019-03-31,Cellular Signaling and Regulatory Systems Study Section[CSRS],,"BOISE, LAWRENCE H.",Not Applicable,5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2014-08-01,2019-03-31,,859.0,Non-SBIR/STTR,2014,1185600.0,,NIGMS,190000.0,106400.0,,296400.0,"Effector, Procaspases",0,0,0
PDGF signaling in pediatric brain tumors,Brain Cancer; Brain Disorders; Cancer; Genetics; Neurosciences; Pediatric; Pediatric Cancer; Rare Diseases,"Narrative (public health relevance statement):
 The grim prognosis and lack of therapeutic options for pediatric HGG highlights the urgency of not only
developing new treatment modalities. Understanding the immune microenvironment of pediatric is paramount
to developing immunotherapy-based trials, and predicting response to immunotherapy, but unfortunately this
remains an unmet need. This proposal will provide the critical lacking information that is necessary for the
design of future planned immunotherapeutic trials for these diseases.",NINDS,1R21NS106554-01A1,1,R21,NS,1,A1,2018-09-30,2020-08-31,Tumor Microenvironment Study Section[TME],,"HAMBARDZUMYAN, DOLORES ",Not Applicable,5,PEDIATRICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2018-09-30,2019-08-31,,853.0,Non-SBIR/STTR,2018,230618.0,,NINDS,150000.0,80618.0,,230618.0,"PDGF, signaling, brain tumors",0,0,0
Regulation of hemopoietic stem cell expansion by calciotrophic hormones,Estrogen; Regenerative Medicine; Stem Cell Research; Stem Cell Research - Nonembryonic - Non-Human; Transplantation," New discoveries about the mechanism of action of estrogen and parathyroid hormone are relevant to public health as it may lead to the identification of novel strategies for improving the outcome of HSC transplantation in humans and for understanding the impact of menopause and hyperparathyroidism on hemopoiesis.  
  
    

",NIDDK,1R01DK091780-01,1,R01,DK,1,,2011-08-01,2016-07-31,Skeletal Biology Development and Disease Study Section[SBDD],,"PACIFICI, ROBERTO ",Not Applicable,5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2011-08-01,2016-07-31,,847.0,Non-SBIR/STTR,2011,1501163.0,,NIDDK,259261.0,141835.0,,401096.0,"hemopoietic stem cells, calciotrophic hormones, regulation",0,0,0
Translational analysis of functional variation in human dopamine beta?hydroxylase,Brain Disorders; Genetics; Human Genome; Mental Health; Neurosciences,n/a,NINDS,1R21NS072712-01A1,1,R21,NS,1,A1,2011-08-01,2014-07-31,Genetics of Health and Disease Study Section[GHD],,"CUBELLS, JOSEPH F.",Not Applicable,5,GENETICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2011-08-01,2014-07-31,,853.0,Non-SBIR/STTR,2011,422126.0,,NINDS,150000.0,80438.0,,230438.0,"dopamine, hydroxylase, functional variation",0,0,0
Causally-Sufficient Dimensionality Reduction Methods for Assessing Joint Effects of Air Pollution Mixtures on Health Outcomes,Climate-Related Exposures and Conditions; Clinical Research; Data Science; Health Disparities Research; Health Disparities and Racial or Ethnic Minority Health Research; Social Determinants of Health,"NARRATIVE.
This research is a pioneering effort to unravel the complex interplay between ambient air pollution and adverse
health outcomes through the development of innovative data analytic methodology. Our analysis spanning two
decades of emergency department visits in Atlanta will quantitatively assess the health effects of several air
pollution mixtures. Our findings will not only contribute to a deeper understanding of these relationships, but
will also have implications for public health interventions, the establishment of air quality standards, and the
formulation of evidence-based policy decisions.",NIEHS,1R21ES036795-01,1,R21,ES,1,,2024-09-12,2026-08-31,Analytics and Statistics for Population Research Panel B Study Section[ASPB],,"NABI, RAZIEH ",Not Applicable,5,BIOSTATISTICS & OTHER MATH SCI,EMORY UNIVERSITY,GA,SCHOOLS OF PUBLIC HEALTH,N,2024-09-12,2026-08-31,,113.0,Non-SBIR/STTR,2024,419011.0,,NIEHS,275000.0,144011.0,,419011.0,"Dimensionality Reduction, Air Pollution, Health Outcomes",0,0,0
Cellular Responses to Radiation and Other Types of Damage,Cancer; Genetics,"
Inherited defects in mismatch repair are responsible for the most common form of inherited colon cancer and
defects in mismatch repair are found in many other cancers. Oxidative damage is one of the most common
forms of damage to DNA and has been implicated in aging, cancer, and other diseases. Understanding how
oxidative damage causes mutations, and the repair processes that act on it, such as mismatch repair, is
extremely important in developing diagnostics and treatments.",NIGMS,5R01GM080754-02,5,R01,GM,2,,2009-02-01,2015-01-31,Radiation Therapeutics and Biology Study Section[RTB],,"CROUSE, GRAY F.",Not Applicable,5,BIOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF ARTS AND SCIENCES,N,2010-02-01,2015-01-31,,859.0,Non-SBIR/STTR,2010,884844.0,,NIGMS,178200.0,98010.0,,276210.0,"Cellular, Radiation, Damage",0,0,0
Epigenetic regulation of early B cell differentiation,Genetics; HIV/AIDS; Human Genome; Immunization; Immunotherapy; Infectious Diseases; Prevention; Vaccine Related; Vaccine Related - AIDS,"We have identified multiple early differentiation paths that B cells can take following their initial
immune activation, with one leading directly to the generation of antibody secreting cells, and the
other to cells bearing a memory signature. To be able to design future immunotherapies and
vaccines to infectious diseases, an understanding of the early transcriptional and epigenetic
processes that govern this cell fate decision is needed. The aims of this study will define the
epigenetic architecture of early naeve and memory B cell differentiation, identify genes and
mechanisms that direct immunity, and ascribe the roles of key epigenetic modulators to this
important immunological defense system.",NIAID,1R01AI173252-01A1,1,R01,AI,1,A1,2024-06-12,2029-04-30,Cellular and Molecular Immunology - B Study Section[CMIB],,"BOSS, JEREMY M.",Not Applicable,5,MICROBIOLOGY/IMMUN/VIROLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2024-06-12,2025-04-30,,855.0,Non-SBIR/STTR,2024,541941.0,,NIAID,350115.0,191826.0,,541941.0,"Epigenetic, B cell, differentiation",0,0,0
From Cowboys to Pit Crew: An ethnographic study of the process of implementating,No NIH Category available," The proposed research will directly impact health practice by supporting the development of the Accountable Care Unit model, an intervention designed to enhance the safety/quality, efficiency, and effectiveness of inpatient care systems. In addition, this research will impact health policy by identifying the active ingredients of the implementation
process, which will inform methods and theories utilized by administrators, policymakers, and other researchers in implementation science. Results will be disseminated to these diverse audiences through the production of 1) an open- access doctoral dissertation, 2) articles and presentations for both academics and practitioners, and 3) white papers targeted towards users of the ACU model.   
      

",AHRQ,1R36HS022206-01,1,R36,HS,1,,2013-09-01,2015-08-31,Healthcare Research Training [HCRT],,"CHIOU, HOWARD ",Not Applicable,5,SOCIAL SCIENCES,EMORY UNIVERSITY,GA,SCHOOLS OF ARTS AND SCIENCES,N,2013-09-01,2015-08-31,,226.0,Non-SBIR/STTR,2013,42623.0,,AHRQ,40000.0,2623.0,,42623.0,"ethnographic, implementation",0,0,0
