Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title, CIHR_Contribution , CIHR_Equipment , External_Funding ,External_Funding_Partner,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,title_keywords
"Sage, Andrew T",University Health Network (Toronto),Ontario,Project Grant,202309PJT,Biomedical Engineering,'Smart Ventilation' - Novel Real-Time Biosensors and Artificial Intelligence for Optimized Mechanical Ventilation in Human Lungs,"$692,325 ", $-   , $-   ,,5 yrs 0 mth ,Circulatory and Respiratory Health,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Cardiovascular, Respiratory and Circulatory Systems-Respiratory Sciences; Artificial Intelligence-Machine Learning",4/1/2024,2029-03-31,0,"Biosensors, Artificial Intelligence, Mechanical Ventilation"
"Leong, Hon Sing","Sunnybrook Research Institute (Toronto, Ontario)",Ontario,Project Grant,202203PJT,Cancer Progression & Therapeutics 2,"'Two-Step Authentication' for Optimal Prostate Cancer Risk Determination: An ""Extracellular Vesicle""-Based Liquid Biopsy Followed by Multi-Parametric MRI.","$1,637,100 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Clinical Oncology; Biomedical Engineering-Biomedical Imaging,10/1/2022,2027-09-30,1,"Extracellular Vesicle, Liquid Biopsy, MRI"
"Fenster, Aaron",Western University (Ontario),Ontario,Operating Grant,200809MOP,Medical Physics & Imaging,3D ultrasound-guided trans-perineal focal prostate therapy platform,"$631,813 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"PROSTATE AND BLADDER CANCER; IMAGING; RENAL FUNCTION, NEPHROLOGY, UROLOGY",4/1/2009,2014-03-31,7,"ultrasound, prostate, therapy"
"Raynal, Noel J","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Project Grant - PA: Epigenetics/epigenomics in human health or disease,202003PJG,Cancer Biology & Therapeutics 2,4D spheroids identify type I protein arginine methyltransferases as a target in NSCLC,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,"Cancer-Cancer Drug Development and Therapeutics; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Action, Toxicology and Metabolism",10/1/2020,2021-09-30,0,"4D, spheroids, NSCLC"
"Macaulay, Calum E",University of British Columbia,British Columbia,Operating Grant - PA: Institute of Cancer Research (bridge funding),200909IC3,Biomedical Engineering,A 3D cell-based computer model for a system biology approach to the study of intra epithelial neoplastic processes.,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,NEOPLASMS; BIOSTATISTICS; CANCER; BIOPHYSICS,3/1/2010,2011-02-28,1,"3D cell model, system biology, intra epithelial neoplastic"
"Shakiba, Nika",University of British Columbia,British Columbia,Operating Grant - PA: Genetics (Bridge Funding: Research Priorities),202109OGB,Biomedical Engineering,A bioengineering platform to promote safe cell therapies,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Genetics,Biomedical Engineering-Regenerative Medicine and Tissue Engineering,10/1/2022,2027-09-30,0,"bioengineering, cell therapies, platform"
"Shakiba, Nika",University of British Columbia,British Columbia,Project Grant,202203PJT,Biomedical Engineering 2,A bioengineering platform to promote safe cell therapies,"$963,900 ", $-   , $-   ,,5 yrs 0 mth ,Genetics,Biomedical Engineering-Regenerative Medicine and Tissue Engineering,10/1/2022,2027-09-30,0,"bioengineering, cell therapies, platform"
"Boyd, Steven K",University of Calgary,Alberta,Operating Grant,201003MOP,Biomedical Engineering,A biomedical engineering approach to investigating bone quality across the lifespan,"$629,550 ", $-   , $-   ,,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,"OSTEOPOROSIS; MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; HEALTH RESEARCH",10/1/2010,2015-09-30,0,"biomedical engineering, bone quality, lifespan"
"Chemtob, Sylvain","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Op. Grant: NWHRI: Innovation Fund - Translational Research,202403NW3,National Women's Health Research Initiative: Innovation Fund,A Breakthrough Solution to Effectively Prevent Preterm Birth,"$599,500 ", $-   , $-   ,,2 yrs 10 mths ,"Human Development, Child and Youth Health",PREGNANCY/BIRTH; PERINATAL; REPRODUCTION/PREGNANCY; DRUG RESEARCH,6/1/2024,2027-03-31,0,"Preterm Birth, Prevention"
"Licht, Christoph",Hospital for Sick Children (Toronto),Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,A central role for the vascular endothelium in COVID-19 pathogenesis,"$583,472 ", $-   , $-   ,,1 yr 0 mth ,Circulatory and Respiratory Health,VIRAL; BLOOD; HEALTH RESEARCH; CELL BIOLOGY,6/1/2020,2021-05-31,0,"vascular endothelium, COVID-19, pathogenesis"
"Chan, Warren C",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,A combined nanotechnology and surgical strategy to treating liver cancer,"$464,934 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,LIVER DISEASE; CANCER THERAPY GENERAL; CANCER; BIOPHYSICS,4/1/2016,2019-03-31,5,"nanotechnology, surgery, liver cancer"
"Wang, Rizhi",University of British Columbia,British Columbia,Project Grant,202104PJT,Biomedical Engineering,A comprehensive study on bone quality for the prediction of second hip fractures,"$833,850 ", $-   , $-   ,,5 yrs 0 mth ,Musculoskeletal Health and Arthritis,"Musculoskeletal Health-Bone, Skin and Cartilage Sciences",10/1/2021,2026-09-30,0,"bone, fracture, prediction"
"Cashman, Neil R",University of British Columbia,British Columbia,Operating Grant: Industry-partnered Collaborative Research,201503IPR,Industry Partnered Collaborative Research,A Defined Abeta Oligomer Epitope: Theranostic Applications,"$419,232 ", $-   , $-   ,,3 yrs 0 mth ,Aging,ALZHEIMER'S DISEASE; AGING; DRUG RESEARCH; NERVOUS SYSTEM,10/1/2015,2018-09-30,15,"Abeta, Oligomer, Epitope"
"Sheardown, Heather D",McMaster University,Ontario,Project Grant,202003PJT,Biomedical Engineering,A Degradable Sustained Release Mucoadhesive Drug Delivery System to Regulate Intraocular Pressure (IOP) in Glaucoma,"$699,976 ", $-   , $-   ,,5 yrs 0 mth ,Aging,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery; Neurosciences-Sensory Systems (including visual, auditory and pain)",10/1/2020,2025-09-30,0,"Degradable, Mucoadhesive, Intraocular Pressure"
"Brock, Kristy K",University Health Network (Toronto),Ontario,Operating Grant - PA: Cancer Research (bridge funding),201109IC1,Medical Physics & Imaging,A Finite Element Model Approach to Modeling Changes of the Head and Neck,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,CANCER THERAPY GENERAL; CANCER; IMAGING,3/1/2012,2013-02-28,0,"Finite Element, Head, Neck"
"Law, Edith",University of Waterloo (Ontario),Ontario,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,A framework for hybrid machine and human computation for the accurate and scalable analysis of human clinical EEG recordings,"$218,374 ", $-   , $-   ,,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",EPILEPSY; SLEEP DISORDERS; NERVOUS SYSTEM; HEALTH RESEARCH,4/1/2015,2018-03-31,0,"machine, EEG, analysis"
"Chen, Junjian Z",Research Institute of the McGill University Health Centre,Quebec,"Catalyst Grant: Invention and High-Risk, High-Benefit Research",200903NHG,"Inventions, Technologies, or High Risk Grants",A high throughput platform for discovery and noninvasive detection of tumor-specific fusion genes in human cancer,"$297,750 ", $-   , $-   ,,3 yrs 0 mth ,Genetics,PROSTATE AND BLADDER CANCER; NEOPLASMS; CANCER; GENETICS,10/1/2009,2012-09-30,0,"high throughput, fusion genes, cancer"
"Guerin, Sylvain L",Universite Laval,Quebec,Project Grant,202309PJT,Biomedical Engineering,A human tissue-engineered three-layer cornea (hTEC) supplemented with macrophages as a biomaterial for in vitro studies,"$864,450 ", $-   , $-   ,,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction","Biomedical Engineering-Regenerative Medicine and Tissue Engineering; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Molecular, Cellular and Systems Biology-Cell Signaling",4/1/2024,2029-03-31,0,"tissue-engineered, cornea, macrophages"
"Kaushic, Charu",McMaster University,Ontario,Catalyst Grant: Innovation in HIV Vaccine and HIV Cure Research,201211CHR,HIV Vaccine and Cure Research,A humanized mouse model for understanding HIV-1 mucosal pathogenesis,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Infection and Immunity,VIRAL; GENITO/URINARY SYSTEM; VIROLOGY; IMMUNOLOGY-TRANSPLANTATION,3/1/2013,2014-02-28,0,"humanized mouse, HIV-1, mucosal"
"Little, Dustin J",Toronto Metropolitan University,Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,"A low-cost, portable, and decentralized microfluidic device for detecting SARS-CoV-2 neutralizing antibodies", $-   , $-   ,"$235,800 ",Public Health Agency of Canada,1 yr 0 mth ,Infection and Immunity,VIRAL; MULTIDISCIPLINARY; BIOCHEMISTRY; VIROLOGY,9/1/2020,2021-08-31,0,"microfluidic, SARS-CoV-2, antibodies"
"Wang, Yuzhuo",University of British Columbia,British Columbia,Project Grant - Priority Announcement: Cancer Research,202209PJS,Cancer Progression & Therapeutics,A master transcription factor driving cell lineage reprogramming in neuroendocrine prostate cancer development and progression,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis,3/1/2023,2024-02-29,0,"transcription factor, cell reprogramming, neuroendocrine prostate cancer"
"Price, Morgan Thomas M",University of British Columbia,British Columbia,Catalyst Grant: eHealth Innovations - Aging,201310CEA,e-Health Innovation Partnership Program (eHIPP),"A mixed-method study to explore, assess, and explain the translation of a complex set of evidence-based rules into practice through electronic medical record based decision support: How can STOPP effectively be deployed in primary care?","$80,459 ", $-   , $-   ,,1 yr 0 mth ,Health Services and Policy Research,HEALTH CARE DELIVERY; HEALTH SERVICES RESEARCH; DRUG RESEARCH; GERIATRICS,3/1/2014,2015-02-28,0,"decision support, electronic medical record, primary care"
"Zacksenhaus, Eldad",University Health Network (Toronto),Ontario,Operating Grant,201309MOP,Cancer Biology & Therapeutics,A model for Group C Medulloblastoma induced by deletion of RB1 and p53 tumor suppressors,"$486,928 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,BRAIN TUMORS (INCL. RETINAL TUMORS); BRAIN TUMORS THERAPY; CANCER; NERVOUS SYSTEM,4/1/2014,2018-03-31,0,"Medulloblastoma,RB1,p53"
"Mihailidis, Alex",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201210CPG,Collaborative Health Research Projects - NSERC Partnered,"A Modular Intelligent Power Wheelchair System to Enhance Mobility, Safety and Participation of Users","$286,788 ", $-   , $-   ,,3 yrs 0 mth ,Aging,AGING; MULTIDISCIPLINARY; HEALTH RESEARCH,4/1/2013,2016-03-31,1,"Power, Wheelchair, Mobility"
"Nguyen, Dang K",Universite de Montreal,Quebec,Collaborative Health Research Projects (NSERC partnered),201810CPG,Collaborative Health Research Projects - NSERC Partnered,A multimodal seizure detection artificial intelligence-based smart wear,"$435,407 ","$45,186 ", $-   ,,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",0,4/1/2019,2022-03-31,0,"seizure detection, artificial intelligence, smart wear"
"Tremblay, Michel J",Universite Laval,Quebec,Catalyst Grant: HIV/AIDS Vaccine Discovery Research (Can HIV Vaccine Initiative),200811CHV,HIV Vaccine Discovery,A new human cell experimental system for evaluating prototype HIV-1 vaccines,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Infection and Immunity,AIDS; VIRAL; VIROLOGY; IMMUNOLOGY-TRANSPLANTATION,3/1/2009,2010-02-28,5,"human cell, HIV-1, vaccines"
"Blades, Michael W",University of British Columbia,British Columbia,"Catalyst Grant: Invention and High-Risk, High-Benefit Research",201003NHG,"Inventions, Technologies, or High Risk Grants",A New Tool for the Comprehensive Analysis of Peptides and Proteins in Biological and Biomedical Research,"$300,000 ", $-   , $-   ,,3 yrs 0 mth ,Genetics,"MULTIPLE DISEASE RELEVANCE; QUALITATIVE METHODS; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; BIOPHYSICS",10/1/2010,2013-09-30,0,"peptides, proteins, analysis"
"Kislinger, Thomas",University Health Network (Toronto),Ontario,Operating Grant,201309MOP,Cancer Progression & Therapeutics,A Novel Biomarker Discovery Strategy Combining Primary Tumour Xenograft Models and Glyco-Capture of Secreted Proteins,"$351,553 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,"CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",4/1/2014,2017-03-31,0,"Biomarker, Xenograft, Glyco-Capture"
"Sone, Eli D",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,A novel mineralization-inducing membrane for promoting periodontal attachment,"$276,081 ", $-   , $-   ,,3 yrs 0 mth ,Musculoskeletal Health and Arthritis,"DENTAL DISEASE (INCL. ORAL BIOLOGY); MUSCULO SKELETAL; DENTAL SCIENCE - Oral Biology; MUSCLE, BONE, OR JOINT",4/1/2014,2017-03-31,0,"mineralization, membrane, periodontal"
"Sutherland, Garnette R",University of Calgary,Alberta,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,A novel neurosurgery-specific haptic hand-controller for robot-assisted surgical systems,"$234,250 ", $-   , $-   ,,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",BRAIN TUMORS THERAPY; MULTIDISCIPLINARY; HEALTH RESEARCH,4/1/2015,2018-03-31,3,"neurosurgery, haptic, robotic"
"Jiang, Xiaoyan",University of British Columbia,British Columbia,Project Grant,202210PJT,Cancer Progression & Therapeutics,A novel oncolytic virotherapy to overcome drug-resistance in acute myeloid leukemia,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,4/1/2023,2024-03-31,3,"oncolytic virotherapy, drug-resistance, leukemia"
"Elliott, Bruce E","Queen's University (Kingston, Ontario)",Ontario,Operating Grant,200909MOP,Cancer Progression & Therapeutics,A novel Src/ezrin signalling network as a potential marker for breast cancer metastasis,"$487,301 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,BREAST CANCER; BREAST CANCER THERAPY; CANCER; CELL BIOLOGY,4/1/2010,2014-03-31,0,"Src, ezrin, metastasis"
"Cheng, Hai-Ling M",University of Toronto,Ontario,Project Grant,202403PJT,Biomedical Engineering,A Novel Targeted MRI Probe for Safe and Early Detection of Fibrosis,"$875,926 ", $-   , $-   ,,5 yrs 0 mth ,Circulatory and Respiratory Health,"Biomedical Engineering-Biomedical Imaging; Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",10/1/2024,2029-09-30,0,"MRI, Probe, Fibrosis"
"Liu, Xinyu",University of Toronto,Ontario,Project Grant,201803PJT,Biomedical Engineering,A Paper-based Microfluidic Platform for Automated Point-of-Care Diagnosis of Laryngopharyngeal Reflux,"$593,640 ", $-   , $-   ,,4 yrs 0 mth ,Population and Public Health,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",10/1/2018,2022-09-30,1,"Microfluidic, Point-of-Care, Diagnosis"
"Cotechini, Tiziana","Queen's University (Kingston, Ontario)",Ontario,Catalyst Grant: NWHRI: Innovation Fund - Biomedical Discovery Grants,202307NWI,NWHRI: Innovation Fund - Biomedical Discovery Grants,A paradigm shift in understanding Hunner lesion-interstitial cystitis/bladder pain syndrome: examining autoimmunity as a driver of disease and targeting B cells as a novel therapeutic opportunity,"$150,000 ", $-   , $-   ,,1 yr 0 mth ,Infection and Immunity,"GENITO/URINARY SYSTEM; POPULATION HEALTH; RENAL FUNCTION, NEPHROLOGY, UROLOGY; IMMUNOLOGY-TRANSPLANTATION",2/1/2024,2025-01-31,0,"Hunner lesion, interstitial cystitis, B cells"
"Perreault, Sebastien","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Project Grant - Priority Announcement: Pediatric Cancer Research,202203PDI,Cancer Biology & Therapeutics 2,A phase 2 study of mirdametinib and vinblastine for newly diagnosed or previously untreated patients with pediatric low-grade glioma and activation of the MAPK pathway,"$463,500 ", $-   , $-   ,,1 yr 5 mths ,Cancer Research,Cancer-Clinical Oncology; Cancer-Pediatric Cancer; Cancer-Cancer Drug Development and Therapeutics,10/1/2022,2024-03-31,0,"mirdametinib, vinblastine, glioma"
"Perreault, Sebastien","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Project Grant,201903PJT,Cancer Progression & Therapeutics 2,A Phase 2 study of Trametinib for patients with pediatric glioma or plexiform neurofibroma with refractory tumor and activation of the MAPK/ERK pathwa,"$573,750 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics; Cancer-Clinical Oncology; Cancer-Pediatric Cancer,10/1/2019,2024-09-30,0,"Trametinib, glioma, MAPK/ERK"
"Shafey, Mona",University of Calgary,Alberta,Project Grant,202303PJT,Cancer Biology & Therapeutics,"A Phase I Feasibility and Safety Study of GCAR1, a Chimeric Antigen Receptor (CAR) T-cell Therapy for Patients with Relapsed/Refractory GPNMB-Expressing Solid Tumors","$2,796,075 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,10/1/2023,2027-09-30,0,"Chimeric Antigen Receptor, T-cell Therapy, GPNMB"
"Hay, Kevin A",University of British Columbia,British Columbia,Project Grant,202109PJT,Cancer Biology & Therapeutics,"A Phase I first-in-human trial of CLIC-2201, a VHH-CD22 CAR-T cell product for the treatment of relapsed/refractory CD22 positive B-cell non-Hodgkin lymphoma","$1,667,700 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics; Immunology and Infection-Immunology and Autoimmune Diseases (including rheumatology),4/1/2022,2026-03-31,0,"CAR-T, CD22, B-cell"
"Parulekar, Wendy R","Queen's University (Kingston, Ontario)",Ontario,Project Grant,201710PJT,Cancer Biology & Therapeutics 2,A Phase II Single Arm Trial of Elective Volume Adjusted De-Escalation Radiotherapy (EVADER) in Patients with Low-Risk HPV-Related Oropharyngeal Squamous Cell Carcinoma,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,Cancer-Clinical Oncology,10/1/2018,2024-09-30,0,"Radiotherapy, HPV, Oropharyngeal carcinoma"
"Parulekar, Wendy R","Queen's University (Kingston, Ontario)",Ontario,Project Grant,201803PJT,Cancer Biology & Therapeutics 2,A Phase II Single Arm Trial of Elective Volume Adjusted De-Escalation Radiotherapy (EVADER) in Patients with Low-Risk HPV-Related Oropharyngeal Squamous Cell Carcinoma,"$860,628 ", $-   , $-   ,,6 yrs 0 mth ,Cancer Research,Cancer-Clinical Oncology,10/1/2018,2024-09-30,0,"Radiotherapy, HPV, Oropharyngeal carcinoma"
"Tsakiridis, Theodoros",McMaster University,Ontario,Operating Grant,201303MOP,Cancer Biology & Therapeutics,A phase II study to investigate combination of chemo-radiotherapy with metformin in patients with Locally Advanced Non-Small Cell Lung Cancer (LA-NSCLC).,"$568,514 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,LUNG CANCER THERAPY; CANCER THERAPY GENERAL; CANCER; HEALTH RESEARCH,10/1/2013,2018-03-31,0,"chemo-radiotherapy, metformin, lung cancer"
"Mikulis, David J",University Health Network (Toronto),Ontario,Operating Grant,201303MOP,Medical Physics & Imaging,A potential biomarker for vascular dementia,"$324,598 ", $-   , $-   ,,4 yrs 0 mth ,Aging,CNS ORGANIC; AGING; NERVOUS SYSTEM; IMAGING,10/1/2013,2018-03-31,0,"biomarker, vascular, dementia"
"McLachlin, Stewart D",University of Waterloo (Ontario),Ontario,Project Grant - PA: Myalgic Encephalomyelitis and IMHA Mandate Areas,202109PAY,Biomedical Engineering,A prospective investigation for characterization and predictive modeling of cage subsidence following anterior spinal column reconstruction,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Musculoskeletal Health and Arthritis,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Biomedical Engineering-Biomedical Imaging",3/1/2022,2023-02-28,0,"cage subsidence, anterior spinal, predictive modeling"
"Muanza, Thierry M",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Project Grant,202104PJT,Cancer Progression & Therapeutics 2,A prospective trial of radiation omission in patients with clinically node negative breast cancer and pathologic complete response after neoadjuvant chemotherapy.,"$1,514,700 ", $-   , $-   ,,10 yrs 0 mth ,Cancer Research,Cancer-Clinical Oncology,10/1/2021,2031-09-30,0,"radiation, breast cancer, chemotherapy"
"Teo, Koon K",McMaster University,Ontario,Operating Grant: Industry-partnered Collaborative Research,201109IPR,Industry Partnered Collaborative Research,"A randomized double-blind placebo-controlled trial for the evaluation of a polypill, a low dose aspirin and vitamin D supplementation in primary prevention to reduce cardiovascular disease (CVD) outcomes - The International Polycap Study 3 (TIPS-3)","$810,452 ", $-   , $-   ,,5 yrs 0 mth ,Circulatory and Respiratory Health,POPULATION HEALTH; CARDIOVASCULAR; CANCER,4/1/2012,2017-03-31,0,"polypill, aspirin, cardiovascular disease"
"Arnold, Donald M",McMaster University,Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,A Randomized Open-Label Trial of CONvalescent Plasma for Hospitalized Adults With Acute COVID-19 Respiratory Illness (CONCOR-1),"$2,972,273 ", $-   , $-   ,,1 yr 0 mth ,Circulatory and Respiratory Health,BLOOD; VIRAL; IMMUNOLOGY-TRANSPLANTATION,6/1/2020,2021-05-31,0,"Convalescent Plasma, COVID-19, Respiratory Illness"
"Jolly, Sanjit S",McMaster University,Ontario,Operating Grant: Industry-partnered Collaborative Research,201109IPR,Industry Partnered Collaborative Research,A randomized trial of ThrOmbectomy vs. PCI Alone for STEMI (TOTAL trial),"$796,316 ", $-   , $-   ,,3 yrs 6 mths ,Circulatory and Respiratory Health,CORONARY CIRCULATION (INCL. INSUFFICIENCY); CARDIOVASCULAR,4/1/2012,2015-09-30,0,"Thrombectomy, PCI, STEMI"
"Kain, Kevin C",University Health Network (Toronto),Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Therapeutics,202005VR3,COVID-19 Rapid Research - Therapeutics,"A Randomized trial to determine the effect of vitamin D and zinc supplementation for improving treatment outcomes among COVID-19 patients in Mumbai, India","$887,006 ", $-   , $-   ,,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; MALNUTRITION; NUTRITION; INTERNATIONAL HEALTH,6/1/2020,2021-05-31,0,"vitamin D, zinc, COVID-19"
"Li, Yingfu",McMaster University,Ontario,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,A rapid at-home test for SARS-CoV-2,"$1,314,083 ", $-   , $-   ,,1 yr 0 mth ,Infection and Immunity,INFECTIOUS AND PARASITIC; VIRAL; BIOCHEMISTRY; VIROLOGY,6/1/2020,2021-05-31,9,"SARS-CoV-2, rapid test, at-home"
"Tiedemann, Rodger",University Health Network (Toronto),Ontario,Operating Grant,201109MOP,Cancer Progression & Therapeutics 2,A small molecule inhibitor of G protein-coupled Receptor Kinase 6 (GRK6) to treat human Multiple Myeloma and related diseases,"$361,800 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; BONE CANCER THERAPY; CANCER; DRUG RESEARCH,4/1/2012,2015-03-31,1,"small molecule, G protein-coupled Receptor Kinase 6, Multiple Myeloma"
"Daskalakis, Zafiris J",Centre for Addiction and Mental Health (Toronto),Ontario,Operating Grant: Industry-partnered Collaborative Research - Other Partner,201103ISO,Industry Partnered Collaborative Research,A Study of H-Coil Repetitive Transcranial Magnetic Stimulation for Late-Life Depression,"$107,757 ", $-   , $-   ,,4 yrs 0 mth ,Aging,DEPRESSION; GERIATRICS; MENTAL HEALTH; AGING,10/1/2011,2015-09-30,0,"H-Coil, Transcranial Magnetic Stimulation, Depression"
"Galipeau, Jacques",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Operating Grant,200903MOP,Cancer Progression & Therapeutics,A study of novel anti-cancer immunomodulatory fusion proteins and transgenic cell therapy,"$1,147,574 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; CANCER; DRUG RESEARCH,10/1/2009,2014-09-30,8,"anti-cancer, immunomodulatory, fusion proteins"
"Kislinger, Thomas",University Health Network (Toronto),Ontario,Operating Grant,201103MOP,Cancer Progression & Therapeutics 2,A Systematic Proteomic Analysis Strategy for Biomarker Discovery in Head & Neck Cancer,"$437,079 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,"CANCER THERAPY GENERAL; BLOOD; CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",10/1/2011,2014-09-30,1,"Proteomic, Biomarker, Cancer"
"Ellis, Christopher G",Western University (Ontario),Ontario,Operating Grant,200909MOP,Medical Physics & Imaging,A Systems Approach to Sepsis: Pathological versus Adaptive Microvascular Responses,"$642,828 ", $-   , $-   ,,5 yrs 0 mth ,Circulatory and Respiratory Health,MULTIPLE DISEASE RELEVANCE; BLOOD; CARDIOVASCULAR; IMAGING,4/1/2010,2015-03-31,0,"Sepsis, Microvascular, Responses"
"Lorimer, Ian Anthony J",Ottawa Hospital Research Institute,Ontario,Project Grant,202109PJT,Cancer Progression & Therapeutics,A therapeutic strategy for PTEN tumour suppressor restoration in glioblastoma,"$738,225 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,4/1/2022,2027-03-31,0,"PTEN, glioblastoma, tumor suppressor"
"McGuigan, Alison P",University of Toronto,Ontario,Collaborative Health Research Projects (NSERC partnered),201510CPG,Collaborative Health Research Projects - NSERC Partnered,A tissue engineering platform to identify target combinations in tumour stoma to render tumours therapy sensitive,"$207,800 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; CANCER,4/1/2016,2019-03-31,0,"tissue engineering, tumour stroma, therapy sensitivity"
"Lipsman, Nir","Sunnybrook Research Institute (Toronto, Ontario)",Ontario,Project Grant - PA: Cancer Research - Breast Cancer,202010PWW,Cancer Biology & Therapeutics 2,A trial to evaluate the safety and feasibility of blood-brain brain opening using MRI-guided focused ultrasound in the treatment of Her2-positive breast cancer brain metastases,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,Cancer-Cancer Progression and Metastasis,3/1/2021,2022-02-28,1,"MRI, focused ultrasound, brain metastases"
"Rink, Alexandra",University Health Network (Toronto),Ontario,Project Grant,201809PJT,Medical Physics & Imaging,A universal self-calibrating in vivo real-time optical radiation dosimeter for quality assurance and quality control of radiotherapy treatment.,"$317,476 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",4/1/2019,2023-03-31,0,"self-calibrating, optical radiation, dosimeter"
"Rennie, Paul S",University of British Columbia,British Columbia,Operating Grant,201209MOP,Cancer Progression & Therapeutics,A virus-based strategy for measurement of circulating tumour cells,"$352,260 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER; VIRAL; CANCER,4/1/2013,2016-03-31,0,"virus, circulating tumour cells, measurement"
