Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title, CIHR_Contribution , CIHR_Equipment , External_Funding ,External_Funding_Partner,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,title_keywords
"Wuest, Frank",University of Alberta,Alberta,Operating Grant,200903MOP,Medical Physics & Imaging,Molecular imaging of cyclooxygenase-2 (COX-2) expression in vivo by means of positron emission tomography (PET),"$321,076 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,GASTRO-INTESTINAL CANCER; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; IMAGING; CANCER,10/1/2009,2012-09-30,0,"molecular imaging, cyclooxygenase-2, positron emission tomography"
"Berman, Jason N",IWK Health Centre (Halifax),Nova Scotia,Operating Grant - PA: Regional Partnership Program - Nova Scotia,201103RNS,Cancer Progression & Therapeutics,Molecular interrogation and a small molecule screen of NUP98-HOXA9 induced AML in the zebrafish,"$168,452 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,LEUKAEMIAS; CANCER; BLOOD,10/1/2011,2014-09-30,0,"NUP98-HOXA9, small molecule, AML"
"Mazer, Bruce D",Research Institute of the McGill University Health Centre,Quebec,Operating Grant: Industry-partnered Collaborative Research - Other Partner,201103ISO,Industry Partnered Collaborative Research,Molecular mechanism for immunoprotection and Treg induction by polyspecific immunoglobulins (IVIg),"$165,000 ", $-   , $-   ,,3 yrs 0 mth ,Circulatory and Respiratory Health,ASTHMA; MULTIPLE DISEASE RELEVANCE; IMMUNOLOGY-TRANSPLANTATION; DRUG RESEARCH,10/1/2011,2014-09-30,0,"immunoprotection, Treg, immunoglobulins"
"Li, Hongbin",University of British Columbia,British Columbia,Project Grant,202403PJT,Biomedical Engineering,Molecular Mechanism for the Regulation of Titin Elasticity and Myocardial Stiffness by Oxidative Stress,"$722,926 ", $-   , $-   ,,5 yrs 0 mth ,Circulatory and Respiratory Health,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",10/1/2024,2029-09-30,0,"Titin, Elasticity, Oxidative Stress"
"Xiao, Wei",University of Saskatchewan,Saskatchewan,Operating Grant,200809MOP,Cancer Biology & Therapeutics,Molecular mechanisms of DNA damage tolerance - A yeast model,"$492,133 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,CARCINOGENS (INCL ENVIRONMENTAL); CANCER THERAPY GENERAL; CANCER; GENETICS,4/1/2009,2013-03-31,1,"DNA, damage, yeast"
"Lam, Wan L",University of British Columbia,British Columbia,Operating Grant,200810MOP,Cancer Progression & Therapeutics,Molecular mechanisms of lung cancer development in former smokers,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,LUNG CANCER; POPULATION HEALTH; CANCER; GENETICS,3/1/2009,2012-09-30,0,"molecular, lung cancer, smokers"
"Lam, Wan L",University of British Columbia,British Columbia,Operating Grant,200903MOP,Cancer Progression & Therapeutics,Molecular mechanisms of lung cancer development in former smokers,"$431,680 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,LUNG CANCER; POPULATION HEALTH; CANCER; GENETICS,10/1/2009,2012-09-30,0,"molecular, lung cancer, smokers"
"Mahshid, Sara",McGill University,Quebec,Project Grant,202403PJT,Biomedical Engineering 2,Molecular profiling of single extracellular vesicles reveals therapeutic effects of temozolomide in GBM patients,"$677,026 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",10/1/2024,2029-09-30,0,"molecular profiling, extracellular vesicles, temozolomide"
"Jiang, Xiaoyan",University of British Columbia,British Columbia,Operating Grant,201109MOP,Cancer Progression & Therapeutics,Molecular Targeting of Critical Domains of AHI-1 Oncoprotein in Chronic Myeloid Leukemia Stem Cells Resistant to Current Tyrosine Kinase Inhibitor Therapy,"$636,768 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,LEUKAEMIAS; BLOOD; CANCER; BIOCHEMISTRY,4/1/2012,2016-03-31,0,"AHI-1, Leukemia, Kinase"
"Rutka, James T",Hospital for Sick Children (Toronto),Ontario,Operating Grant,200909MOP,Cancer Biology & Therapeutics,Molecular targeting of the Rho-GTPase pathway in human astrocytomas,"$797,005 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,BRAIN TUMORS (INCL. RETINAL TUMORS); BRAIN TUMORS THERAPY; CANCER; CELL BIOLOGY,4/1/2010,2015-03-31,0,"Rho-GTPase, molecular targeting, astrocytomas"
"Lu, Qing-Bin",University of Waterloo (Ontario),Ontario,Operating Grant,200909MOP,Medical Physics & Imaging,Molecular-Mechanism-Based Target Identification and Drug Discovery for Radiotherapy of Cancer,"$662,867 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; BIOPHYSICS; CANCER,4/1/2010,2015-03-31,3,"molecular, target, radiotherapy"
