Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,External Funding,External Funding Partner,Term_Years_Months
"Turner, Justine M",University of Alberta,Alberta,Operating Grant: Industry-partnered Collaborative Research - Other Partner,201009ISO,Industry Partnered Collaborative Research,Omega-3 Fatty Acids for Treatment of Intestinal Failure Associated Liver Disease: A Translational Research Study,"$131,484",$0,,,3 yrs 0 mth 
"Healey, Jeff S",McMaster University,Ontario,Operating Grant: Industry-partnered Collaborative Research,201203IPR,Industry Partnered Collaborative Research,Prevalence of Sub-Clinical Atrial Fibrillation in Patients with Cardiovascular Risk Factors Detected Using an Implantable Loop Recorder (ASSERT-2),"$136,535",$0,,,3 yrs 0 mth 
"Bosma, Karen J",London Health Sciences Centre Res. Inc. (Ont.),Ontario,Operating Grant: Industry-partnered Collaborative Research,201403IPR,Industry Partnered Collaborative Research,Proportional Assist Ventilation for Minimizing the Duration of Mechanical Ventilation,"$140,952",$0,,,3 yrs 0 mth 
"Feld, Jordan J; Chan, Kelvin K; Hicks, Lisa K",University Health Network (Toronto),Ontario,Operating Grant: Industry-partnered Collaborative Research,201303IPR,Industry Partnered Collaborative Research,Randomized controlled trial of the efficacy of pre-emptive tenofovir to prevent hepatitis B reactivation in patients who are anti-HBc antibody positive receiving curative intent rituximab-based chemotherapy for non-Hodgkin's lympohma,"$143,445",$0,,,3 yrs 0 mth 
"Arnold, Donald M",McMaster University,Ontario,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,200909IRO,Industry Partnered Collaborative Research,Revisiting the Pathophysiology of Immune Thrombocytopenic Purpura in the Era of Thrombopoietin Mimetics,"$152,932",$0,,,3 yrs 0 mth 
"Armstrong, Glen D",University of Calgary,Alberta,Operating Grant: Industry-partnered Collaborative Research - Other Partner,201003ISO,Industry Partnered Collaborative Research,Potential of pathogen-specific egg yolk antibodies (IgY) for treating Clostridium difficile infections.,"$162,672",$0,,,3 yrs 0 mth 
"Mazer, Bruce D",Research Institute of the McGill University Health Centre,Quebec,Operating Grant: Industry-partnered Collaborative Research - Other Partner,201103ISO,Industry Partnered Collaborative Research,Molecular mechanism for immunoprotection and Treg induction by polyspecific immunoglobulins (IVIg),"$165,000",$0,,,3 yrs 0 mth 
"Tyrrell, D. Lorne J",University of Alberta,Alberta,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,200903IRO,Industry Partnered Collaborative Research,Studies on modulation of the innate immune response to HCV in chimeric mice,"$175,000",$0,,,2 yrs 0 mth 
"Antel, Jack P",McGill University,Quebec,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,201009IRO,Industry Partnered Collaborative Research,Effects of S1P receptor directed pharmaceutical agents on central nervous system myelination,"$178,125",$0,,,3 yrs 0 mth 
"Langley, Joanne M",Dalhousie University (Nova Scotia),Nova Scotia,Operating Grant: Industry-partnered Collaborative Research,201303IPR,Industry Partnered Collaborative Research,Preventing Respiratory Syncytial Virus (RSV) infection with a novel antigen-adjuvant platform,"$193,512",$0,,,2 yrs 0 mth 
"Hampson, David R",University of Toronto,Ontario,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,201103IRO,Industry Partnered Collaborative Research,Metabotropic Glutamate and GABA Receptors in Neuroinflammation,"$193,701","$4,785",,,3 yrs 0 mth 
"Ward, Brian J",Research Institute of the McGill University Health Centre,Quebec,Operating Grant: Industry-partnered Collaborative Research,201509IPR,Industry Partnered Collaborative Research,Repurposing an Attenuated Salmonella typhimurium as a Novel Vector for Mucosal Vaccine Delivery,"$200,000",$0,,,2 yrs 0 mth 
"Dmitrienko, Gary I",University of Waterloo (Ontario),Ontario,Operating Grant: Industry-partnered Collaborative Research,201203IPR,Industry Partnered Collaborative Research,New strategies for overcoming bacterial resistance to antibiotics,"$200,000",$0,,,2 yrs 0 mth 
"Jolicoeur, Marc E",Montreal Heart Institute,Quebec,Operating Grant: Industry-partnered Collaborative Research,201303IPR,Industry Partnered Collaborative Research,Immediate vs. Delayed Stenting after Primary Percutaneous Reperfusion in ST Elevation Myocardial Infarction,"$211,072",$0,,,3 yrs 0 mth 
"Wald, Ron; Bagshaw, Sean M",Unity Health Toronto,Toronto,Operating Grant: Industry-partnered Collaborative Research,201409IPR,Industry Partnered Collaborative Research,STandard versus Accelerated initiation of Renal Replacement Therapy in Acute Kidney Injury (STARRT-AKI),"$220,995",$0,,,4 yrs 0 mth 
"Coffin, Carla S",University of Calgary,Alberta,Operating Grant: Industry-partnered Collaborative Research,201509IPR,Industry Partnered Collaborative Research,Pathogenesis of Hepatitis B Virus Infection in Non-Alcoholic Fatty Liver Disease,"$228,746",$0,,,3 yrs 0 mth 
"Boivin, Guy",Université Laval,Quebec,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,201009IRO,Industry Partnered Collaborative Research,Mechanisms of antiviral drug resistance in seasonal and pandemic influenza strains and evaluation of new therapeutic modalities,"$228,975",$0,,,3 yrs 0 mth 
"Redfearn, Damian P","Queen's University (Kingston, Ontario)",Ontario,Operating Grant: Industry-partnered Collaborative Research,201409IPR,Industry Partnered Collaborative Research,Optimizing Contemporary Sequential Mapping of Atrial Fibrillation Signals as a Strategy to Identify Novel Targets for Ablation,"$232,748","$6,041",,,4 yrs 0 mth 
"Granville, David J",University of British Columbia,British Columbia,Operating Grant: Industry-partnered Collaborative Research,201503IPR,Industry Partnered Collaborative Research,Topical Granzyme B Inhibitors for Wound Healing and Scarring,"$237,000",$0,,,3 yrs 0 mth 
"Chung, Caroline",University Health Network (Toronto),Ontario,Operating Grant: Industry-partnered Collaborative Research,201509IPR,Industry Partnered Collaborative Research,"Clinical Investigation of Frameless, Adaptive, Image-guided Gamma Knife Radiosurgery","$264,656","$2,000",,,3 yrs 0 mth 
"Chen, Robert E",University Health Network (Toronto),Ontario,Operating Grant: Industry-partnered Collaborative Research,201403IPR,Industry Partnered Collaborative Research,Long-term stability of local field potentials recorded from the subthalamic nucleus and effects of deep brain stimulation,"$270,228",$0,,,3 yrs 0 mth 
"Soulez, Gilles",Centre hospitalier de l'Université de Montréal (CHUM),Quebec,Operating Grant: Industry-partnered Collaborative Research,201203IPR,Industry Partnered Collaborative Research,Endovascular repair of abdominal aortic aneurysm : Enhanced guidance by elastic registration between CT-Scanner and fluoroscopy,"$274,796",$0,,,3 yrs 0 mth 
"Larche, Mark; Tonti, Elena",McMaster University,Ontario,Operating Grant: Industry-partnered Collaborative Research,201503IPR,Industry Partnered Collaborative Research,Development of peptide immunotherapy for Rheumatoid Arthritis: Identification and validation of T cell epitopes from citrullinated auto-antigens.,"$295,386",$0,,,3 yrs 0 mth 
"Ward, Brian J",Research Institute of the McGill University Health Centre,Quebec,Operating Grant: Industry-partnered Collaborative Research - Other Partner,200909ISO,Industry Partnered Collaborative Research,The next generation of vaccines: characterization of virus-like particle (VLP) vaccines made in plants.,"$300,000",$0,,,2 yrs 0 mth 
"Dawson, Laura A",University Health Network (Toronto),Ontario,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,200903IRO,Industry Partnered Collaborative Research,Radiation Therapy and Sorafenib for Primary and Metastatic Liver Cancer,"$357,495",$0,,,3 yrs 0 mth 
"Lillicrap, David P","Queen's University (Kingston, Ontario)",Ontario,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,201103IRO,Industry Partnered Collaborative Research,Evaluation of innovative therapeutic strategies for hemophilia A in a unique hemophilic dog colony.,"$360,000",$0,,,3 yrs 0 mth 
"Wang, Yuzhuo",University of British Columbia,British Columbia,Operating Grant: Industry-partnered Collaborative Research,201109IPR,Industry Partnered Collaborative Research,"Next generation patient-derived, genetically-defined prostate cancer xenograft models for anti- cancer drug development","$375,000",$0,,,3 yrs 0 mth 
"Lillicrap, David P","Queen's University (Kingston, Ontario)",Ontario,Operating Grant: Industry-partnered Collaborative Research,201403IPR,Industry Partnered Collaborative Research,Evaluation of innovative therapeutic strategies for hemophilia A in a unique hemophilic dog colony.,"$390,000",$0,,,3 yrs 0 mth 
"Cashman, Neil R",University of British Columbia,British Columbia,Operating Grant: Industry-partnered Collaborative Research,201503IPR,Industry Partnered Collaborative Research,A Defined Abeta Oligomer Epitope: Theranostic Applications,"$419,232",$0,,,3 yrs 0 mth 
"Krewski, Daniel R",University of Ottawa,Ontario,Operating Grant: Industry-partnered Collaborative Research - Other Partner,201009ISO,Industry Partnered Collaborative Research,Risk of brain cancer from exposure to radiofrequency fields from wireless telecommunication devices in childhood and adolescence,"$419,601",$0,,,5 yrs 0 mth 
"Bourbeau, Jean; Tan, Wan",Research Institute of the McGill University Health Centre,Quebec,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,200809IRO,Industry Partnered Collaborative Research,Canadian Cohort Obstructive Lung Disease (CanCOLD),"$427,933","$7,000",,,2 yrs 0 mth 
"Legros, Alexandre G",London Health Sciences Centre Res. Inc. (Ont.),Ontario,Operating Grant: Industry-partnered Collaborative Research - Other Partner,201103ISO,Industry Partnered Collaborative Research,Impact of an Extremely Low Frequency Magnetic Stimulus Between 5 and 50 mT on Human Neurophysiological Function: a Multidimensional Approach at 60 Hz,"$428,010",$0,,,3 yrs 0 mth 
"Granville, David J",University of British Columbia,British Columbia,Operating Grant: Industry-partnered Collaborative Research,201203IPR,Industry Partnered Collaborative Research,Topical Granzyme B Inhibitor Research and Development,"$471,851",$0,,,3 yrs 0 mth 
"Thomas, David Y",McGill University,Quebec,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,200903IRO,Industry Partnered Collaborative Research,Therapeutic development of cystic fibrosis correctors,"$480,000",$0,,,2 yrs 0 mth 
"Wang, Yuzhuo",University of British Columbia,British Columbia,Operating Grant: Industry-partnered Collaborative Research,201503IPR,Industry Partnered Collaborative Research,"Next generation patient-derived, genetically-defined kidney and bladder cancer xenograft models for anti-cancer drug development","$489,800",$0,,,4 yrs 0 mth 
"Melnyk, Roman",Hospital for Sick Children (Toronto),Ontario,Operating Grant: Industry-partnered Collaborative Research,201209IPR,Industry Partnered Collaborative Research,Discovery and Development of Small Molecule Toxin Antagonists to Treat C. difficile-Associated Disease,"$499,795",$0,,,5 yrs 0 mth 
"Perl, Jeffrey",Unity Health Toronto,Toronto,Operating Grant: Industry-partnered Collaborative Research,201303IPR,Industry Partnered Collaborative Research,The Peritoneal Dialysis Outcomes and Practice Patterns Study  (P-DOPPS),"$500,000",$0,,,4 yrs 0 mth 
"Diamandis, Eleftherios P",Sinai Health System (Toronto),Toronto,Operating Grant: Industry-partnered Collaborative Research,201303IPR,Industry Partnered Collaborative Research,Validation of two novel pancreatic cancer biomarkers: CUZD1 and LAMC2,"$519,630",$0,,,4 yrs 0 mth 
"Buschmann, Michael D",Polytechnique Montréal,Quebec,Operating Grant: Industry-partnered Collaborative Research - Other Partner,201103ISO,Industry Partnered Collaborative Research,Gene Delivery of Glucagon-like Peptide-1 (GLP-1) for the Treatment of Type 2 Diabetes,"$521,739",$0,,,3 yrs 0 mth 
"Liu, Peter P",Ottawa Heart Institute Research Corporation (Ontario),Ontario,Operating Grant: Industry-partnered Collaborative Research,201509IPR,Industry Partnered Collaborative Research,Developing Novel Therapeutic Targets for Heart Failure,"$525,000",$0,,,5 yrs 0 mth 
"Lepage, Martin",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Quebec,Operating Grant: Industry-partnered Collaborative Research,201503IPR,Industry Partnered Collaborative Research,"Aripiprazole Long Acting Injectable (ALAI), its potential enhancing effect on memory and associated neural structures: A longitudinal brain imaging study in first-episode psychosis","$568,337",$0,,,5 yrs 0 mth 
"Rivest, Serge",Université Laval,Quebec,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,201103IRO,Industry Partnered Collaborative Research,Novel immunotherapies for treating Alzheimer's disease,"$571,200",$0,,,5 yrs 0 mth 
"Fedida, David",University of British Columbia,British Columbia,Operating Grant: Industry-partnered Collaborative Research,201203IPR,Industry Partnered Collaborative Research,Discovery & Development of Novel Small Molecule Inhibitors of Viroporin Proteins for the Treatment of Acute & Chronic Viral Infections.,"$576,493",$0,,,3 yrs 0 mth 
"Ward, Brian J",Research Institute of the McGill University Health Centre,Quebec,Operating Grant: Industry-partnered Collaborative Research,201303IPR,Industry Partnered Collaborative Research,Understanding the unusual effectiveness of Virus-Like Particle (VLP) vaccines made in plants,"$591,600",$0,,,3 yrs 0 mth 
"O'Brien, Edward R",Ottawa Heart Institute Research Corporation (Ontario),Ontario,Operating Grant: Industry-partnered Collaborative Research - Other Partner,201009ISO,Industry Partnered Collaborative Research,Vascular Health and Disease: New Concepts & Therapeutic Opportunities,"$623,749",$0,,,5 yrs 0 mth 
"Wang, Yuzhuo; Black, Peter C",University of British Columbia,British Columbia,Operating Grant: Industry-partnered Collaborative Research,201509IPR,Industry Partnered Collaborative Research,Application of antibody internalization domain to improve the efficacy and safety of Antibody Drug Conjugates,"$625,000",$0,,,5 yrs 0 mth 
"Harrigan, Richard P; Poon, Arthur F",University of British Columbia,British Columbia,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,200809IRO,Industry Partnered Collaborative Research,Improved Screening Methods for CCR5-Antagonists Use by Ultra Deep Sequencing and Quantitative Population-Based Sequencing Techniques: Analyzes of the Phase III Human Clinical Trials of Maraviroc (08-09).,"$690,659",$0,,,3 yrs 0 mth 
"Cullis, Pieter R",University of British Columbia,British Columbia,Operating Grant: Industry-partnered Collaborative Research,201203IPR,Industry Partnered Collaborative Research,Design of Lipid Nanoparticle Systems for the Systemic Delivery of siRNA,"$700,000",$0,,,5 yrs 0 mth 
"Jefferies, Wilfred A",University of British Columbia,British Columbia,Operating Grant: Industry-partnered Collaborative Research,201409IPR,Industry Partnered Collaborative Research,Developing Technologies to Modulate Immunogenicity in Disease,"$750,000",$0,,,3 yrs 0 mth 
"Jolly, Sanjit S",McMaster University,Ontario,Operating Grant: Industry-partnered Collaborative Research,201109IPR,Industry Partnered Collaborative Research,A randomized trial of ThrOmbectomy vs. PCI Alone for STEMI (TOTAL trial),"$796,316",$0,,,3 yrs 6 mths 
"Teo, Koon K; Yusuf, Salim",McMaster University,Ontario,Operating Grant: Industry-partnered Collaborative Research,201109IPR,Industry Partnered Collaborative Research,"A randomized double-blind placebo-controlled trial for the evaluation of a polypill, a low dose aspirin and vitamin D supplementation in primary prevention to reduce cardiovascular disease (CVD) outcomes - The International Polycap Study 3 (TIPS-3)","$810,452",$0,,,5 yrs 0 mth 
"Schimmer, Aaron D",University Health Network (Toronto),Ontario,Operating Grant: Industry-partnered Collaborative Research,201309IPR,Industry Partnered Collaborative Research,Targeting mitochondrial translation as a novel therapeutic strategy for AML,"$820,000",$0,,,5 yrs 0 mth 
"Casper, Robert F; Jurisicova, Andrea",Sinai Health System (Toronto),Toronto,Operating Grant: Industry-partnered Collaborative Research,201409IPR,Industry Partnered Collaborative Research,Characterization of the bioenergetic and metabolic function of mitochondria isolated from oocyte precursor stem cells.,"$911,700",$0,,,5 yrs 0 mth 
"Bell, John C",Ottawa Hospital Research Institute,Ontario,Operating Grant: Industry-partnered Collaborative Research,201109IPR,Industry Partnered Collaborative Research,Development of a Therapeutic Oncolytic Poxvirus with Enhanced Systemic Delivery and Potency,"$968,389",$0,,,4 yrs 0 mth 
"Paré, Guillaume; Gerstein, Hertzel C",McMaster University,Ontario,Operating Grant: Industry-partnered Collaborative Research,201209IPR,Industry Partnered Collaborative Research,"Integration of clinical, biomarker, and genetic data for prediction of adverse outcomes in diabetes.","$999,330",$0,,,4 yrs 0 mth 
"Arrowsmith, Cheryl H",University of Toronto,Ontario,Operating Grant: Industry-partnered Collaborative Research,201209IPR,Industry Partnered Collaborative Research,Toward epigenetic therapy for colon cancer,"$1,016,046",$0,,,5 yrs 0 mth 
"Bourbeau, Jean; Tan, Wan",Research Institute of the McGill University Health Centre,Quebec,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,201009IRO,Industry Partnered Collaborative Research,Canadian Cohort Obstructive Lung Disease (CanCOLD),"$1,051,344","$57,500",,,2 yrs 6 mths 
"Exner, Derek V",University of Calgary,Alberta,Operating Grant: Industry-partnered Collaborative Research,201403IPR,Industry Partnered Collaborative Research,Risk Estimation Following Infarction Noninvasive Evaluation ICD efficacy (REFINE ICD) Trial.,"$1,248,736",$0,,,5 yrs 0 mth 
"Morshead, Cindi M",University of Toronto,Ontario,Operating Grant: Industry-partnered Collaborative Research,201309IPR,Industry Partnered Collaborative Research,Promoting neural regeneration with stem cell based therapies:  A novel source of autologous human neural stem cells for transplantation,"$1,250,000",$0,,,5 yrs 0 mth 
"Seda, Ondrej",Centre hospitalier de l'Université de Montréal (CHUM),Quebec,Operating Grant: Industry-partnered Collaborative Research - Other Partner,201003ISO,Industry Partnered Collaborative Research,Telomere attrition rate as predictor of cardiovascular complications of type 2 diabetes,"$1,454,272",$0,,,3 yrs 0 mth 
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
