Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Arbour, Laura T; Tang, Anthony S",University of British Columbia,Operating Grant,201003MOP,Aboriginal Peoples' Health,Long QT Syndrome in Northern British Columbia:Understanding the impact,"$645,866",$0,5 yrs 0 mth 
"Hemmelgarn, Brenda R",University of Calgary,Operating Grant,200809MOP,Aboriginal Peoples' Health,Access to and Quality of Cardiac Care for First Nations People,"$215,875",$0,3 yrs 0 mth 
"Orr, Pamela",University of Manitoba,Operating Grant,200903MOP,Aboriginal Peoples' Health,The assessment of macrophage function in a First Nation population with a high prevalence of active and latent TB.,"$175,840",$0,2 yrs 0 mth 
"Zehbe, Ingeborg","Lakehead University (Thunder Bay, Ontario)",Operating Grant,201505MOP,Aboriginal Peoples' Health,A collaborative network to develop community-created cervical cancer education and screening strategies for First Nations women in Northwest Ontario,"$100,000",$0,1 yr 1 mth 
"Abizaid, Alfonso",Carleton University (Ottawa),Operating Grant,201003MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Stress and Obesity: the Ghrelin connection,"$543,716",$0,5 yrs 0 mth 
"Abizaid, Alfonso",Carleton University (Ottawa),Operating Grant,201503MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Stress and Obesity: the Ghrelin connection,"$613,780",$0,5 yrs 0 mth 
"Abizaid, Alfonso",Carleton University (Ottawa),Project Grant,202104PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Ghrelin at the intersection of stress and metabolism,"$726,750",$0,5 yrs 0 mth 
"Adamantidis, Antoine",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Operating Grant,201103MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Optogenetic dissection of hypothalamic regulation of sleep states.,"$772,526",$0,5 yrs 0 mth 
"Amilhon, Bénédicte","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Project Grant,202003PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Isolating the role of the raphe-ventral hippocampus serotonergic pathway in anxiety,"$956,250",$0,5 yrs 0 mth 
"Amir, Shimon","Concordia University (Montreal, Quebec)",Operating Grant,201503MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Dopamine in circadian control and behavioral modulation of clock gene rhythms in mammalian striatum,"$651,336",$0,5 yrs 0 mth 
"Amir, Shimon","Concordia University (Montreal, Quebec)",Project Grant,201809PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,The role of striatal clock genes in depression and anxiety-like behaviors,"$745,875",$0,5 yrs 0 mth 
"Anisman, Hymie",Carleton University (Ottawa),Operating Grant,201003MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,"Behavioural and neurochemical responses to acute, subchronic, and chronic intermittent stressors in relation to depression: Contribution of 5-HT, CRH and BDNF to the depressive phenotype","$815,514",$0,5 yrs 0 mth 
"Anisman, Hymie",Carleton University (Ottawa),Operating Grant,200809MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Cytokines and stressors influence depression: sensitization and cross sensitization,"$823,380",$0,5 yrs 0 mth 
"Arruda Carvalho, Maithe",University of Toronto,Project Grant,201803PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Investigating the Maturation of Sensitive Circuits Underlying Early Life Stress,"$860,626",$0,5 yrs 0 mth 
"Arruda Carvalho, Maithe",University of Toronto,Project Grant,202409PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Elucidating Remote Memory Engram Networks Across the Lifespan,"$1,124,550",$0,5 yrs 0 mth 
"Bagot, Rosemary C",McGill University,Project Grant,201709PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,"Synaptic, cellular and molecular mechanisms of depression susceptibility","$940,950",$0,5 yrs 0 mth 
"Bagot, Rosemary C",McGill University,Project Grant,202109PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,A novel regulator of prefrontal circuit function in affective behaviour,"$1,090,125",$0,5 yrs 0 mth 
"Boksa, Patricia J; Wong, Tak Pan",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Operating Grant,201103MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Prenatal infection as a risk factor for schizophrenia: studies using animal models,"$662,630",$0,5 yrs 0 mth 
"Bolduc, François",University of Alberta,Operating Grant,201009MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Molecular basis of memory defects in Drosophila Fragile X mutants,"$664,645",$0,5 yrs 0 mth 
"Bonin, Robert P",University of Toronto,Project Grant,202209PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Mechanisms of altered affective processing of socially relevant tactile stimuli in chronic pain,"$875,925",$0,5 yrs 0 mth 
"Brandon, Mark P",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Project Grant,202104PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Bridging the gap between hippocampal mapping and behavior,"$956,250",$0,5 yrs 0 mth 
"Brown, Arthur",Western University (Ontario),Project Grant,201903PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Evaluating inhibitors of CSPG synthesis in models of spinal cord injury,"$986,850",$0,5 yrs 0 mth 
"Chaudhri, Nadia","Concordia University (Montreal, Quebec)",Operating Grant,201403MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Pavlovian alcohol cues and relapse to alcoholism,"$423,757",$0,4 yrs 0 mth 
"Chee, Melissa J",Carleton University (Ottawa),Project Grant,202010PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Neurobiology of fructose-induced obesity,"$761,175",$0,5 yrs 0 mth 
"Chee, Melissa J",Carleton University (Ottawa),Project Grant,202409PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,State-dependent anxiolysis at zona incerta projections to the superior colliculus,"$872,100",$0,5 yrs 0 mth 
"Cheng, Hai-Ying M",University of Toronto,Operating Grant,201209MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Translational and post-translational control of the mammalian circadian clock,"$562,450",$0,5 yrs 0 mth 
"Cheng, Hai-Ying M",University of Toronto,Project Grant,201903PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,"Investigating the functions of the pluripotency factor SOX2 within the mammalian suprachiasmatic nucleus (SCN): implications for circadian timekeeping, SCN clock development, and mood disorders","$715,276",$0,5 yrs 0 mth 
"Cheng, Hai-Ying M",University of Toronto,Project Grant,202203PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Investigating the role of histone variants in circadian timekeeping in mice,"$914,176",$0,5 yrs 0 mth 
"Chen, Hsiao-Huei",Ottawa Hospital Research Institute,Operating Grant,201303MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Mechanisms underlying anxiety disorders,"$754,205",$0,5 yrs 0 mth 
"Chen, Simon",University of Ottawa,Project Grant,202109PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Investigating the cell-type specific role of the transcription factor Npas4 in regulating motor learning,"$856,800",$0,5 yrs 0 mth 
"Christie, Brian R",University of Victoria (British Columbia),Operating Grant,201209MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Identifying the role of Fragile-X Mental Retardation Protein (FMRP) in hippocampal learning and memory processes.,"$826,290",$0,5 yrs 0 mth 
"Christie, Brian R",University of Victoria (British Columbia),Project Grant,202010PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Bringing focus to the invisible injury: Defining a role for microbleeds and microglia in mild traumatic brain injury.,"$967,725",$0,5 yrs 0 mth 
"Ciernia, Annie V",University of British Columbia,Project Grant,202303PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Metabolite Control of Microbiome-Microglia Communication in Inflammatory Bowel Disease,"$849,150",$0,5 yrs 0 mth 
"Coderre, Terence J",McGill University,Operating Grant,201109MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Role of nuclear metabotropic glutamate receptors in persistent nociception,"$759,620",$0,5 yrs 0 mth 
"Coderre, Terence J",McGill University,Project Grant,202003PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Role of intracellular metabotropic glutamate receptor 5 in persistent nociception,"$940,950",$0,5 yrs 0 mth 
"Colbourne, Frederick",University of Alberta,Operating Grant,200903MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Post-stroke neuroplasticity and neuroprotection: impact of prolonged hypothermia treatment.,"$650,365",$0,5 yrs 0 mth 
"Corbett, Dale R",Memorial University of Newfoundland,Operating Grant,200909MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Recovery of function following stroke,"$733,760",$0,5 yrs 0 mth 
"Corbit, Laura",University of Toronto,Project Grant,201803PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,The neural bases of diet-induced deficits in the control of food-seeking actions,"$554,626",$0,5 yrs 0 mth 
"Corbit, Laura",University of Toronto,Project Grant,202309PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,The neural and glial bases of diet-induced deficits in control of reward-seeking actions,"$875,925",$0,5 yrs 0 mth 
"Dancause, Numa",Université de Montréal,Project Grant,202203PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,A new adaptive-neuroprosthetic treatment to shape post-stroke plasticity and facilitate motor recovery,"$898,876",$0,5 yrs 0 mth 
"Dason, Jeffrey S",University of Windsor (Ontario),Project Grant,202203PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,The role of Neuronal Calcium Sensor-1/Frequenin2 in nociception,"$516,376",$0,5 yrs 0 mth 
"De Koninck, Yves",Université Laval,Project Grant,202403PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,KCC2 as a therapeutic target for neuropathic pain,"$1,181,926",$0,5 yrs 0 mth 
"De Rosa, Eve",University of Toronto,Operating Grant,200909MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Normal aging and the cholinergic hypothesis of cognitive impairment,"$596,185",$0,5 yrs 0 mth 
"Descalzi, Giannina",University of Guelph,Project Grant,202309PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Investigating the role of molecular and functional plasticity within the brain emotion-pain circuit in the development of chronic pain.,"$1,086,300",$0,5 yrs 0 mth 
"Descarries, Laurent",Université de Montréal,Operating Grant,201003MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Serotoninergic mechanisms in depression and its SSRI treatment,"$739,031",$0,5 yrs 0 mth 
"Di Cristo, Graziella","Centre hospitalier universitaire Sainte-Justine (Montréal, Québec)",Project Grant,202409PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Estrous phase and estradiol-dependent regulation of auditory perception,"$1,243,125",$0,5 yrs 0 mth 
"Drolet, Guy",Université Laval,Operating Grant,200809MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Neurobiology of resilience and vulnerability to chronic stress: Involvement of endogenous opioid circuitry,"$701,495",$0,5 yrs 0 mth 
"Dumont, Eric C","Queen's University (Kingston, Ontario)",Operating Grant,201109MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Neural mechanisms of compulsive drug use: a multi-approach study of the Bed nucleus of the Stria Terminalis,"$517,834",$0,5 yrs 0 mth 
"Eubanks, James H",University Health Network (Toronto),Operating Grant,201003MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Towards the correction of Rett-like behaviour in MeCP2-deficient mice,"$748,827",$0,5 yrs 0 mth 
"Eubanks, James H",University Health Network (Toronto),Operating Grant,201209MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,The Role Of Histone Deacetylase 6 Complexes In Rett Syndrome Pathophysiology,"$390,116",$0,3 yrs 0 mth 
"Fletcher, Paul J",Centre for Addiction and Mental Health (Toronto),Operating Grant,200903MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Serotonin and reward-related behaviours: opposing roles of 5-HT2A and 5-HT2C receptors,"$602,795",$0,5 yrs 0 mth 
"Fletcher, Paul J",Centre for Addiction and Mental Health (Toronto),Operating Grant,201109MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Motivational and cognitive effects of nicotine in animal models of schizophrenia,"$566,934",$0,5 yrs 0 mth 
"Fletcher, Paul J",Centre for Addiction and Mental Health (Toronto),Operating Grant,201403MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,The role of serotonin in addiction-related behaviours,"$568,225",$0,5 yrs 0 mth 
"Fletcher, Paul J",Centre for Addiction and Mental Health (Toronto),Project Grant,201903PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Serotonin and alcohol: therapeutic possibilities and neurobiological mechanisms,"$680,850",$0,5 yrs 0 mth 
"Flores, Cecilia",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Project Grant,201709PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Mechanisms driving prefrontal cortex development in adolescence,"$1,132,200",$0,5 yrs 0 mth 
"Flores, Cecilia",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Operating Grant,201103MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Role of netrin-1 in the organization and function of dopamine circuitry,"$631,474",$0,5 yrs 0 mth 
"Flores, Cecilia",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Project Grant,202303PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Decoding the impact of social stress during adolescence on the maturing prefrontal cortex,"$1,143,676",$0,5 yrs 0 mth 
"Floresco, Stanley B",University of British Columbia,Operating Grant,200909MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Alterations in amygdala-prefrontal cortex circuitry by repeated psychostimulants: Electrophysiological and behavioural analyses,"$528,461",$0,5 yrs 0 mth 
"Floresco, Stanley B",University of British Columbia,Operating Grant,201303MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,"Cortical GABAerigc regulation of cognition, and its relevance to schizophrenia","$470,251",$0,5 yrs 0 mth 
"Floresco, Stanley B",University of British Columbia,Operating Grant,201309MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Dopaminergic circuits and risky decision making,"$586,940",$0,5 yrs 0 mth 
"Floresco, Stanley B",University of British Columbia,Project Grant,201809PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Prefrontal-subcortical network mechanisms underlying risky decision making.,"$940,950",$0,5 yrs 0 mth 
"Floresco, Stanley B",University of British Columbia,Project Grant,202209PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,"CRF modulation of motivation, decision making and dopamine transmission","$895,050",$0,5 yrs 0 mth 
"Frankland, Paul W",Hospital for Sick Children (Toronto),Operating Grant,201003MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,The organization of recent and remote memory,"$692,303",$0,5 yrs 0 mth 
"Frankland, Paul W",Hospital for Sick Children (Toronto),Operating Grant,201209MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Hippocampal neurogenesis and regulation of memory,"$761,362",$0,5 yrs 0 mth 
"Frankland, Paul W",Hospital for Sick Children (Toronto),Project Grant,202109PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,The role of perineuronal nets in the ontogeny of hippocampus-dependent memory,"$1,067,175",$0,5 yrs 0 mth 
"Frankland, Paul W",Hospital for Sick Children (Toronto),Project Grant,202403PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,The role of microglia in fear extinction,"$1,059,526",$0,5 yrs 0 mth 
"Frigon, Alain; Iorio-Morin, Christian; Panchea, Adina M",Université de Sherbrooke,Project Grant,202403PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Optimal control and recovery of locomotion after an incomplete spinal cord injury,"$952,426",$0,5 yrs 0 mth 
"Fulton, Stephanie",Centre hospitalier de l'Université de Montréal (CHUM),Operating Grant,201203MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Neurobehavioral Controls of Food Reward and Metabolic Sensing in the Midbrain,"$510,047",$0,5 yrs 0 mth 
"Gorzalka, Boris B",University of British Columbia,Operating Grant,200809MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Corticolimbic Endocannabinoid Signaling Regulates Adaptation and Neurobehavioral Plasticity to Stress,"$565,630",$0,5 yrs 0 mth 
"Gratton, Alain",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Operating Grant,201103MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Central effects of stress,"$628,552",$0,5 yrs 0 mth 
"Gratton, Alain",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Operating Grant,200903MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Birth insult and the development of medial prefrontal cortical function,"$695,206",$0,5 yrs 0 mth 
"Hamani, Clement",Centre for Addiction and Mental Health (Toronto),Operating Grant,201009MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Antidepressant effects of deep brain stimulation and the serotonergic system,"$580,586",$0,4 yrs 0 mth 
"Hamani, Clement","Sunnybrook Research Institute (Toronto, Ontario)",Project Grant,202210PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Neuroplasticity-dependent anti-fear and anxiolytic mechanisms of Deep Brain Stimulation,"$100,000",$0,1 yr 0 mth 
"Hardt, Oliver M",McGill University,Project Grant,202010PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Molecular mechanisms and functional contributions of long-term memory decay,"$738,225",$0,5 yrs 0 mth 
"Hayley, Shawn P",Carleton University (Ottawa),Operating Grant,200903MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,An ecologically minded multiple hit hypothesis of Parkinsonism: Inflammatory processes.,"$666,834",$0,5 yrs 0 mth 
"Hayley, Shawn P",Carleton University (Ottawa),Operating Grant,201503MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,A multi-hit model of Parkinson's disease: LRRKing inflammatory mechanisms.,"$549,000",$0,5 yrs 0 mth 
"Hayley, Shawn P",Carleton University (Ottawa),Project Grant,201903PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Microglia-neuron inflammatory interactions in Parkinson's disease: Targeting LRRK2 and WAVE2.,"$577,576",$0,5 yrs 0 mth 
"Hildebrand, Michael E",Carleton University (Ottawa),Project Grant,201709PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Identification of molecular determinants of pathological pain in rodent and human spinal cord,"$573,750",$0,5 yrs 0 mth 
"Hildebrand, Michael E",Carleton University (Ottawa),Project Grant,202209PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Dysregulation of excitability in spinal nociceptive networks within male and female translational models of chronic pain,"$1,013,625",$0,5 yrs 0 mth 
"Hill, Matthew N",University of Calgary,Operating Grant,201109MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Endocannabinoid Signaling as a Regulator of Anxiety,"$587,160",$0,5 yrs 0 mth 
"Hill, Matthew N",University of Calgary,Project Grant,201909PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Endocannabinoid Regulation of Stress Responsive Neural Circuits,"$875,925",$0,5 yrs 0 mth 
"Howland, John G",University of Saskatchewan,Operating Grant,201209MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Long-term consequences of maternal immune activation on behaviour and brain: Role of chemokine signaling,"$594,326",$0,5 yrs 0 mth 
"Howland, John G; Laprairie, Robert B",University of Saskatchewan,Project Grant,202403PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Cannabinoid-dependent effects of gestational Cannabis smoke exposure on behaviour and neurophysiology: implications for long-term offspring development,"$960,076",$0,5 yrs 0 mth 
"Inoue, Wataru",Western University (Ontario),Project Grant,202409PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Elucidating the roles of the prefrontal cortex in behavioral selection under stress.,"$1,128,375",$0,5 yrs 0 mth 
"Iordanova, Mihaela","Concordia University (Montreal, Quebec)",Project Grant,201709PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Dissecting the neural and behavioural mechanisms of persistent behavioural change,"$677,025",$0,5 yrs 0 mth 
"Iordanova, Mihaela","Concordia University (Montreal, Quebec)",Project Grant,202003PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,A behavioural and neural analysis of secondary fear triggers,"$772,650",$0,5 yrs 0 mth 
"Ito, Rutsuko; Lee, Andy",University of Toronto,Project Grant,202303PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Cross-species investigation into the contributions of the ventral/anterior hippocampus and wider circuitry in approach-avoidance conflict decision making.,"$929,476",$0,5 yrs 0 mth 
"Jones, Barbara E",McGill University,Operating Grant,201303MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Neural Basis of the Sleep-Waking Cycle,"$864,895",$0,5 yrs 0 mth 
"Josselyn, Sheena A",Hospital for Sick Children (Toronto),Operating Grant,201303MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Involvement of AMPA receptor endocytosis in Alzheimers disease:  Examining memory and structural plasticity deficits in mouse models,"$766,730",$0,5 yrs 0 mth 
"Kerr, Bradley",University of Alberta,Project Grant,201809PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Understanding the contribution of the peripheral nervous system to central neuropathic pain,"$669,375",$0,5 yrs 0 mth 
"Kerr, Bradley",University of Alberta,Project Grant,202409PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,"Inflammation, plasticity and pain: Examining sex differences in autoimmune related pain","$1,055,700",$0,5 yrs 0 mth 
"Khokhar, Jibran Y",University of Guelph,Project Grant,202003PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,A Translational Investigation of the Neurobiology of Alcohol Use Disorder in Schizophrenia: Toward Treatment Development,"$807,076",$0,5 yrs 0 mth 
"Kim, Junchul",University of Toronto,Operating Grant,201309MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Opto- and pharmacogenetic probing of hippocampal neural circuits involved in anxiety,"$625,761",$0,5 yrs 0 mth 
"Kim, Junchul",University of Toronto,Project Grant,201903PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Role of cortical CCK-GABA cells in cognition and cognitive impairments of schizophrenia,"$742,050",$0,5 yrs 0 mth 
"Kirouac, Gilbert J",University of Manitoba,Operating Grant,201303MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Orexins and Post-traumatic stress disorder,"$607,750",$0,5 yrs 0 mth 
"Kirouac, Gilbert J",University of Manitoba,Project Grant,201909PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,The midline thalamus and anxiety,"$707,625",$0,5 yrs 0 mth 
"Kourrich, Said",Université du Québec à Montréal,Project Grant,202109PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Elucidating the impact of a novel and non-canonical cellular mechanism in cocaine addiction,"$722,925",$0,5 yrs 0 mth 
"Lagace, Diane C",University of Ottawa,Operating Grant,201203MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,The Function of Neurogenesis During Stroke Recovery,"$667,926",$0,5 yrs 0 mth 
"Lambe, Evelyn K",University of Toronto,Project Grant,202104PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Targeting cortical integrative mechanisms to treat cognitive impairment,"$879,750",$0,5 yrs 0 mth 
"Laviolette, Steven R",Western University (Ontario),Operating Grant,201103MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Cannabinoid and Dopamine Modulation of Emotional Memory Plasticity in the Amygdala-Prefrontal Cortical Circuit,"$584,270",$0,5 yrs 0 mth 
"Laviolette, Steven R",Western University (Ontario),Operating Grant,201203MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,"Role of the Amygdala-Prefrontal Cortical Circuit in Opiate Motivation, Learning and Memory","$562,844",$0,5 yrs 0 mth 
"Laviolette, Steven R",Western University (Ontario),Project Grant,201803PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Effects of Neurodevelopmental Exposure to Cannabinoids on Prefrontal Cortical Function: Implications for Neuropsychiatric Disorders,"$715,276",$0,5 yrs 0 mth 
"Le, Dzung A",Centre for Addiction and Mental Health (Toronto),Operating Grant,201505MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Stress-induced relapse to alcohol in rats: Basic mechanisms and role of alcohol dependence,"$100,000",$0,1 yr 0 mth 
"Le Foll, Bernard",Centre for Addiction and Mental Health (Toronto),Operating Grant,201203MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Modulating endocannabinoid transmission as a novel treatment strategy for nicotine addiction,"$372,000",$0,3 yrs 0 mth 
"Leung, Lai-Wo S",Western University (Ontario),Operating Grant,201109MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Hippocampal theta oscillations - generation and synaptic plasticity,"$522,420",$0,5 yrs 0 mth 
"Levine, Joel D",University of Toronto,Operating Grant,201003MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,The neurogenetic basis of social interactions in Drosophila,"$665,156",$0,5 yrs 0 mth 
"Levine, Joel D",University of Toronto,Operating Grant,201309MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,The neurogenetic basis of group dynamics in Drosophila,"$602,524",$0,5 yrs 0 mth 
"Luheshi, Giamal N; Woodside, Barbara C",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Operating Grant,201003MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,The effects of obesity on the immune response to infection: mechanisms and sites of action,"$606,800",$0,5 yrs 0 mth 
"Martinez-Trujillo, Julio C",Western University (Ontario),Project Grant,202203PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Neural substrates of spatial navigation in the Hippocampus of the freely moving marmoset,"$967,726",$0,5 yrs 0 mth 
"Martin, Loren J",University of Toronto,Project Grant,201903PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Learning mechanisms of pain and pain relief,"$730,576",$0,5 yrs 0 mth 
"Martin, Loren J",University of Toronto,Project Grant,202303PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Social control of pain circuits,"$1,044,226",$0,5 yrs 0 mth 
"Martin, Loren J",University of Toronto,Project Grant,202210PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Social control of pain,"$100,000",$0,1 yr 0 mth 
"Matthews, Benjamin J",University of British Columbia,Project Grant,202309PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Dissecting the gustatory and mechanosensory basis of feeding and egg-laying behaviour in disease-vectoring mosquitoes,"$810,900",$0,5 yrs 0 mth 
"McDonald, Robert J",University of Lethbridge (Alberta),Project Grant,202010PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Treating multiple forms of age-related cognitive decline with cannabinoid compounds: efficacy and potential mechanisms,"$768,825",$0,5 yrs 0 mth 
"Mclean, John H",Memorial University of Newfoundland,Operating Grant,200903MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,A window on promoting memory,"$456,431",$0,4 yrs 0 mth 
"Meaney, Michael J",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Operating Grant,201203MOP,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,BDNF - Dopamine Interactions and Maternal Behaviour,"$690,370",$0,5 yrs 0 mth 
