Name,All_Companies,Founding_Year,All_Companies_Count,Companies_After_CIHR_Funding,Companies_After_CIHR_Funding_Count,Seed,Seed_$,Series_A,Series_A_$,Series_B,Series_B_$,Series_C,Series_C_$,Series_D,Series_D_$,Series_E,Series_E_$,IPO,Acquirement,Exit_$,Cumulative_Investment_Gained,Funding_Efficiency,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years,Cumulative_Grant_Amount,Cumulative_Term_Years,Primary_Institute,Research_Categories,Funding_Start,Funding_Start_Count,Funding_End,title_keywords,Patents,Cumulative Patents
"Arthur, Gilbert",,,0,,,,,,,,,,,,,,,,,,,,University of Manitoba,Manitoba,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Preclinical development of glycerophosphocarbamates as prostate-selective anticancer drugs,137617,0,1,137617,1,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; CANCER THERAPY GENERAL; CANCER; DRUG RESEARCH,2009-07-01,1,2010-06-30,"glycerophosphocarbamates, prostate, anticancer",0,0
"Banerjee, Diponkar",,,0,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Validation of Tissue and Cytology Microarray Spotter (TCMS) for Simultaneous Multiple Biomarker Detection in Cells,150000,0,1,150000,1,Cancer Research,NEOPLASMS; NONE OF THE ABOVE; CANCER; MOLECULAR BIOLOGY,2009-01-01,1,2009-12-31,"Tissue, Cytology, Microarray",0,0
"Bear, Christine E",,,0,,,,,,,,,,,,,,,,,,,,Hospital for Sick Children (Toronto),Ontario,Project Grant,202403PJT,Commercialization,Preclinical studies of a novel CFTR potentiator for commercialization as a therapy for chronic obstructive pulmonary disease.,325125,0,2,325125,2,Circulatory and Respiratory Health,Commercialization-Technology Transfer,2024-10-01,1,2026-09-30,"CFTR, potentiator, pulmonary disease",0,0
"Beaulieu, Jean-Franeois",,,0,,,,,,,,,,,,,,,,,,,,Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Improving the diagnosis of colorectal cancer using fecal mRNA and protein markers: The integrin alpha 6A subunit,160000,0,1,160000,1,Cancer Research,GASTRO-INTESTINAL CANCER; GASTRO-INTESTINAL CANCER THERAPY; GASTROINTESTINAL (LIVER); CANCER,2014-04-01,1,2015-03-31,"colorectal cancer, fecal mRNA, integrin alpha 6A",0,0
"Beaulieu, Martin",,,0,,,,,,,,,,,,,,,,,,,,Universite Laval,Quebec,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Cells lines for screening GPCR/Nav signaling compound,160000,0,1,160000,1,"Neurosciences, Mental Health and Addiction",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; CELL BIOLOGY,2013-10-01,1,2014-09-30,"cells, GPCR, signaling",1,1
"Beg, Mirza Faisal","Voronoi Health Analytics Incorporated, Veterinary AI Health Analytics",,2,,,,,,,,,,,,,,,,,,,,"Simon Fraser University (Burnaby, B.C.)",British Columbia,Project Grant - Priority Announcement: Cancer Research,202209PJS,Commercialization,Novel end-to-end platform for extraction of body composition measurements from CT images for research and integration into clinical workflows for precision medicine,100000,0,1,236750,4,Cancer Research,Biomedical Engineering-Biomedical Imaging; Artificial Intelligence-Machine Learning; Commercialization-Industry Research & Development,2023-03-01,1,2024-02-29,"body composition, CT images, precision medicine",0,0
"Beg, Mirza Faisal",,,,,,,,,,,,,,,,,,,,,,,"Simon Fraser University (Burnaby, B.C.)",British Columbia,Project Grant,202303PJT,Commercialization,Staging the host in Cancer: AI-based automated comprehensive body composition assessment for Precision Medicine,956250,0,3,,,Cancer Research,Biomedical Engineering-Biomedical Imaging; Artificial Intelligence-Machine Learning; Commercialization-Industry Research & Development,2023-10-01,1,2026-09-30,"AI, body composition, cancer",0,
"Bell, John C","Turnstone Biologics, Inc., Esphera Synbio",,2,,,,,,,,,,,,,,,,,,,,Ottawa Hospital Research Institute,Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Increasing vaccine manufacturing output using viral sensitizer technology,136750,0,1,296750,2,Infection and Immunity,INFECTIOUS AND PARASITIC; VIRAL; HEALTH RESEARCH; VIROLOGY,2011-04-01,1,2012-03-31,"vaccine, manufacturing, viral sensitizer",7,7
"Bell, John C",,,,,,,,,,,,,,,,,,,,,,,Ottawa Hospital Research Institute,Ontario,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Biological Viral Sensitizers for GMP Manufacturing,123000,37000,1,,,Cancer Research,CANCER THERAPY GENERAL; VIRAL; CANCER; VIROLOGY,2014-04-01,1,2015-03-31,"Viral, Sensitizers, Manufacturing",5,
"Benard, Francois","Alpha-9 Oncology, Inc.",,1,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,"Advancing the clinical development of [18F]AMBF3-TATE, a novel imaging probe for neuroendocrine tumours",160000,0,1,160000,1,Cancer Research,CANCER THERAPY GENERAL; CANCER; IMAGING,2015-10-01,1,2016-09-30,"[18F], imaging, neuroendocrine",8,8
"Bergeron, Michel G",GenePOC Inc.,,1,,,,,,,,,,,,,,,,,,,,Universite Laval,Quebec,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,"Developpement, optimisation et multiplexage d'un oligonucleotide synthetique permettant l'amplification d'ADN et l'hybridation sur support solide en une seule etape. PDP PhaseI",160000,0,1,160000,1,Infection and Immunity,INFECTIOUS AND PARASITIC; MOLECULAR BIOLOGY; BACTERIOLOGY,2015-04-01,1,2016-03-31,"oligonucleotide, amplification, hybridation",0,0
"Bernatchez, Pascal N",,,0,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Novel compounds for treatment of pulmonary hypertension,158389,0,1,158389,1,Circulatory and Respiratory Health,HYPERTENSION; CARDIOVASCULAR; RESPIRATION,2013-04-01,1,2014-03-31,"compounds,pulmonary hypertension",0,0
"Biddiss, Elaine A",Pearl Interactives,,1,,,,,,,,,,,,,,,,,,,,Holland Bloorview Kids Rehabilitation Hospital (Toronto),Ontario,Project Grant,201909PJT,Commercialization,"BootleBlast, a movement tracking video game for home-based motor therapy - Navigating gaps to market readiness",409276,0,3,409276,3,"Human Development, Child and Youth Health",Commercialization-Technology Transfer,2020-04-01,1,2023-03-31,"movement tracking, video game, motor therapy",0,0
"Boerkoel, Cornelius F",,,0,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Development of Tdp1 inhibitors for treating cancer,159927,0,1,159927,1,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; DRUG RESEARCH; CANCER,2011-10-01,1,2012-09-30,"Tdp1, inhibitors, cancer",0,0
"Bohbot, Veronique",NeuroNautilus Inc.,,1,,,,,,,,,,,,,,,,,,,,CIUSSS de l'Ouest-de-l'Ile-de-Montreal-Douglas Hospital,Quebec,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Validation of a fully automated virtual reality based spatial memory improvement program that promotes healthy aging,160000,0,1,160000,1,Aging,ALZHEIMER'S DISEASE; HEALTH PROMOTION,2014-10-01,1,2015-09-30,"virtual reality, spatial memory, aging",1,1
