Name,All_Companies,Founding_Year,All_Companies_Count,Companies_After_CIHR_Funding,Companies_After_CIHR_Funding_Count,Seed,Seed_$,Series_A,Series_A_$,Series_B,Series_B_$,Series_C,Series_C_$,Series_D,Series_D_$,Series_E,Series_E_$,IPO,Acquirement,Exit_$,Cumulative_Investment_Gained,Funding_Efficiency,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years,Cumulative_Grant_Amount,Cumulative_Term_Years,Primary_Institute,Research_Categories,Funding_Start,Funding_Start_Count,Funding_End,title_keywords,Patents,Cumulative Patents
"Chen, Yen-I",Chess medical,,0,,,,,,,,,,,,,,,,,,,,Research Institute of the McGill University Health Centre,Quebec,Project Grant,202309PJT,Commercialization,A novel through-the-scope exchangeable double balloon catheter to guide endoscopic bypass:  a practice-changing technology in the management of malignant gastric outlet obstruction,451350,0,2,451350,2,"Nutrition, Metabolism and Diabetes",null,2024-03-01,1,2025-02-28,"double balloon, endoscopic, gastric outlet obstruction",0,0
"Cherkasov, Artem",Rakovina Therapeutics inc.,,0,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,First-in-Class Small-molecule Inhibitors Selectively Targeting the DNA-binding Domain of Human Androgen Receptor and Its Splice Variants for the Treatment of Resistant Prostate Cancer,150030,0,1,150030,1,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; CANCER THERAPY GENERAL; CANCER; DRUG RESEARCH,2014-10-01,1,2015-09-30,"small-molecule, androgen receptor, prostate cancer",2,2
"Chopra, Rajiv",Profound Medical Inc.,,2,,,,,,,,,,,,,,,,,,,,"Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Development of endorectal MR elastography for prostate cancer detection,153344,0,1,300844,2,Cancer Research,PROSTATE AND BLADDER CANCER; IMAGING; CANCER,2011-04-01,1,2012-03-31,"MR elastography, prostate cancer, detection",0,0
"Chopra, Rajiv",FUS Instrument,,,,,,,,,,,,,,,,,,,,,,"Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase II,201102PP2,Proof of Principle,Evaluation of MRI-controlled interstitial ultrasound therapy for the treatment of cerebral neoplasms,147500,0,1,,,Cancer Research,BRAIN TUMORS THERAPY; IMAGING; CANCER,2011-10-01,1,2012-09-30,"MRI, ultrasound, neoplasms",0,
"Coderre, Terence J",SynergesX Pharma,,1,,,,,,,,,,,,,,,,,,,,McGill University,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Synergistic topical combinations for chronic pain aimed at treating microvascular dysfunction.,160000,0,1,160000,1,"Neurosciences, Mental Health and Addiction",MULTIPLE DISEASE RELEVANCE; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; NERVOUS SYSTEM,2012-10-01,1,2013-09-30,"topical, microvascular, pain",0,0
"Coles, John G",,,0,,,,,,,,,,,,,,,,,,,,Hospital for Sick Children (Toronto),Ontario,Project Grant,201709PJT,Commercialization,Integrin Linked Kinase as a Novel Therapeutic Target for Heart Failure,512550,0,3,512550,3,Circulatory and Respiratory Health,"Cardiovascular, Respiratory and Circulatory Systems-Cardiovascular and Circulatory Sciences",2018-04-01,1,2021-03-31,"Integrin, Kinase, Heart Failure",0,0
"Conway, Edward M",,,0,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Novel therapeutic approach for 'wet' and 'dry' age-related macular degeneration,160000,0,1,160000,1,Aging,DISEASES AFFECTING SPEECH/VISION/HEARING; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; DRUG RESEARCH; AGING,2014-10-01,1,2015-09-30,"age-related macular degeneration, therapeutic, dry wet",0,0
"Cripton, Peter A",Cripton Technologies Inc.,,1,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Pro-Neck-Tor: A helmet to prevent spinal cord injuries occuring during sports and transportation,149752,0,1,149752,1,Musculoskeletal Health and Arthritis,"INJURY, REGENERATION; MUSCULO SKELETAL; MUSCLE, BONE, OR JOINT; NERVOUS SYSTEM",2009-07-01,1,2010-06-30,"helmet, spinal cord, injuries",2,2
"Crystal, Eugene",,,0,,,,,,,,,,,,,,,,,,,,"Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Three-dimensional Catheter Tracking using a Single Two-dimensional Image,130077,12873,1,142950,1,Circulatory and Respiratory Health,CARDIOLOGY; ARRHYTHMIAS; IMAGING; CARDIOVASCULAR,2010-04-01,1,2011-03-31,"catheter, tracking, imaging",4,4
"Cummins, Carolyn L",,,0,,,,,,,,,,,,,,,,,,,,University of Toronto,Ontario,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Developing a Novel Therapeutic for Cushing's Syndrome,160000,0,1,160000,1,"Nutrition, Metabolism and Diabetes",ENDOCRINOLOGY; MUSCULO SKELETAL; DRUG RESEARCH,2014-04-01,1,2015-03-31,"Cushing's Syndrome, Therapeutic",0,0
"Cunningham, Charles H",,,0,,,,,,,,,,,,,,,,,,,,"Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Wire for MRI-Guided Interventions,139840,8395,1,148235,1,Circulatory and Respiratory Health,CORONARY CIRCULATION (INCL. INSUFFICIENCY); IMAGING; CARDIOVASCULAR,2010-10-01,1,2011-09-30,"Wire, MRI, Interventions",1,1
"Cynader, Max S",Primary Peptides Inc.,,1,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Novel peptide as potential therapeutic for treatment of ischemic stroke,160000,0,1,160000,1,"Neurosciences, Mental Health and Addiction","STROKE, HEART FAILURE",2012-04-01,1,2013-03-31,"peptide, ischemic stroke",1,1
"Dacosta, Ralph S",MolecuLight Inc.,,1,,,,,,,,,,,,,,,,,,,,University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,"Development of PRODIGI, a Handheld Optical Imaging Technology for Real-time Intraoperative-guidance of Breast Tumour Resection",121250,24000,1,145250,1,Cancer Research,BREAST CANCER; BREAST CANCER THERAPY; IMAGING; CANCER,2011-10-01,1,2012-09-30,"Optical imaging, Intraoperative guidance, Breast tumor",9,9
"Daugaard, Mads",SnapCyte Solutions,2022,1,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Project Grant,202403PJT,Commercialization,An integrated AI-powered platform for cell analytics,730576,0,4,730576,4,Cancer Research,Commercialization-Technology Transfer; Artificial Intelligence-Machine Learning; Methods Development and Modelling-Qualitative Methods Development for Health Research,2024-10-01,1,2028-09-30,"AI, cell, analytics",0,0
"de Rezende, Joao B",InventoRR MD Inc.,,1,,,,,,,,,,,,,,,,,,,,Unity Health Toronto,Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,A Non-Traumatic Binder for Temporary Abdominal Wall Closure,115768,0,1,115768,1,Infection and Immunity,NONE OF THE ABOVE; NOT CLASSIFIED,2015-10-01,1,2016-09-30,"Binder, Abdominal Wall, Closure",0,0
"DeWitte-Orr, Stephanie",,,0,,,,,,,,,,,,,,,,,,,,"Wilfrid Laurier University (Waterloo, Ontario)",Ontario,Project Grant - PA: Pandemic Preparedness and Health Emergencies Research,202209PPE,Commercialization,Developing intranasal dsRNA molecules as broadly effective therapeutics against highly pathogenic coronaviruses,100000,0,1,100000,1,Infection and Immunity,"Immunology and Infection-Virology; Commercialization-Intellectual Property; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",2023-03-01,1,2024-02-29,"intranasal, dsRNA, coronaviruses",0,0
"Diallo, Jean-Simon",Virica Biotech,,1,,,,,,,,,,,,,,,,,,,,Ottawa Hospital Research Institute,Ontario,Proof of Principle Program - Phase II,201402PP2,Proof of Principle,Evaluation of viral sensitizer technology in improving egg-based influenza vaccine manufacturing processes,222143,77857,1,300000,1,Infection and Immunity,VIRAL; NONE OF THE ABOVE; VIROLOGY; BIOCHEMISTRY,2014-10-01,1,2015-09-30,"viral, sensitizer, influenza",5,5
"Diamandis, Eleftherios P",KaliDerm Therapeutics,,1,,,,,,,,,,,,,,,,,,,,Sinai Health System (Toronto),Ontario,Project Grant,202203PJT,Commercialization,"KaliDerm Therapeutics: A research/commercialization plan to validate, better define and add value to our proprietary dual KLK5/7 inhibitor as a novel topical therapeutic for Netherton Syndrome.",336600,0,2,336600,2,Infection and Immunity,"Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",2022-10-01,1,2024-09-30,"KLK5, KLK7, Netherton Syndrome",0,0
"Dmitrienko, Gary I",Waterloo Pharmaceuticals Inc.,,1,,,,,,,,,,,,,,,,,,,,University of Waterloo (Ontario),Ontario,Proof of Principle Program Phase I - Drug Development,200904PDD,Proof of Principle,Novel beta lactamase inhibitors to combat antibiotic resistance,150000,0,1,283277,2,Infection and Immunity,INFECTIOUS AND PARASITIC; DRUG RESEARCH; BACTERIOLOGY,2009-07-01,1,2010-06-30,"beta lactamase, antibiotics, resistance",1,1
"Dmitrienko, Gary I",,,,,,,,,,,,,,,,,,,,,,,University of Waterloo (Ontario),Ontario,Proof of Principle Program - Phase II,201009PP2,Proof of Principle,New drugs for antibiotic resistant bacterial infections,133277,0,1,,,Infection and Immunity,INFECTIOUS AND PARASITIC; DRUG RESEARCH; BIOCHEMISTRY,2011-04-01,1,2012-03-31,"antibiotic, resistant bacteria, infections",0,
"Doschak, Michael R",Osteometabolix,,1,,,,,,,,,,,,,,,,,,,,University of Alberta,Alberta,Proof of Principle Program Phase I - Drug Development,201003PDD,Proof of Principle,Bisphosphonate-conjugated Calcitonin,117929,0,1,277929,2,Musculoskeletal Health and Arthritis,"DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; MUSCULO SKELETAL; DRUG RESEARCH; MUSCLE, BONE, OR JOINT",2010-10-01,1,2011-09-30,"Bisphosphonate, Calcitonin",2,2
"Doschak, Michael R",,,,,,,,,,,,,,,,,,,,,,,University of Alberta,Alberta,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Bone-Seeking Iron Oxide Nanoparticles for Imaging Bone Metabolism,160000,0,1,,,Musculoskeletal Health and Arthritis,"DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; MUSCULO SKELETAL; DRUG RESEARCH; MUSCLE, BONE, OR JOINT",2016-04-01,1,2017-03-31,"Iron oxide, nanoparticles, imaging",0,
"Drangova, Maria",Aufero Medical,,1,,,,,,,,,,,,,,,,,,,,Western University (Ontario),Ontario,Project Grant,202010PJT,Commercialization,Contact-force controller to eliminate the effects of motion during cardiac radiofrequency ablation,367200,0,2,367200,2,Circulatory and Respiratory Health,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",2021-04-01,1,2023-03-31,"contact-force, radiofrequency, ablation",1,1
"Du, Caigan",,,0,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Preclinical Development of a Novel Organ Transplant Solution,160000,0,1,160000,1,"Nutrition, Metabolism and Diabetes","GENITO/URINARY SYSTEM; MULTIPLE DISEASE RELEVANCE; RENAL FUNCTION, NEPHROLOGY, UROLOGY; DRUG RESEARCH",2015-04-01,1,2016-03-31,"organ transplant, solution",2,2
"Dumont, Guy A",,,0,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Certifiably safe closed-loop control of anesthesia,158740,0,1,158740,1,Circulatory and Respiratory Health,HEALTH RESEARCH,2015-10-01,1,2016-09-30,"closed-loop, control, anesthesia",2,2
"Dutta, Tilak",,,0,,,,,,,,,,,,,,,,,,,,University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Pressure ulcer prevention: a novel prompting system for patient repositioning,137401,0,1,137401,1,Aging,SKIN AND SUBCUTANEOUS TISSUS; MULTIPLE DISEASE RELEVANCE; AGING; GERIATRICS,2016-04-01,1,2017-03-31,"pressure ulcer, prompting system, repositioning",0,0
"Dyck, Jason R",,,0,,,,,,,,,,,,,,,,,,,,University of Alberta,Alberta,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Preclinical Development and Optimization of Small Molecules for the Treatment of Atrial Fibrillation,160000,0,1,160000,1,Circulatory and Respiratory Health,ARRHYTHMIAS; CARDIOLOGY; CARDIOVASCULAR; DRUG RESEARCH,2015-04-01,1,2016-03-31,"Small Molecules, Atrial Fibrillation, Preclinical",0,0
"Fenster, Aaron",NeoVision,,1,,,,,,,,,,,,,,,,,,,,Western University (Ontario),Ontario,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,3D Ultrasound Scanner System For Management Of Intraventricular Hemorrhage In Preterm Neonates,148062,0,1,301485,2,"Human Development, Child and Youth Health",MULTIDISCIPLINARY; NONE OF THE ABOVE; IMAGING; BIOPHYSICS,2014-04-01,1,2015-03-31,"3D Ultrasound, Intraventricular Hemorrhage, Neonates",1,1
"Fenster, Aaron",,,,,,,,,,,,,,,,,,,,,,,Western University (Ontario),Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,MR-Guided Focal Ablation of Prostate Cancer,143110,10313,1,,,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; IMAGING; CANCER,2016-04-01,1,2017-03-31,"MR, Ablation, Prostate Cancer",0,
"Fernie, Geoffrey R",,,0,,,,,,,,,,,,,,,,,,,,University Health Network (Toronto),Ontario,Proof of Principle Program - Phase II,201202PP2,Proof of Principle,A novel point-of-care method of handling human waste in healthcare institutions: technical improvements and evaluation.,51544,0,1,51544,1,Infection and Immunity,INFECTIOUS AND PARASITIC; NONE OF THE ABOVE; NOT CLASSIFIED,2012-10-01,1,2013-09-30,"point-of-care, human waste, healthcare",0,0
"Finlay, Barton B",,,0,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201009PP2,Proof of Principle,A sub-unit based vaccine for Salmonella,149685,0,1,149685,1,Infection and Immunity,GASTRO-INTESTINAL DISEASE; INFECTIOUS AND PARASITIC; BACTERIOLOGY; GASTROINTESTINAL (LIVER),2011-04-01,1,2012-03-31,"sub-unit, vaccine, Salmonella",1,1
"Flynn, Lauren E",,,0,,,,,,,,,,,,,,,,,,,,Western University (Ontario),Ontario,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Development of novel porous extracellular matrix-derived bioscaffolds for cutaneous wound healing,160000,0,1,160000,1,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; INJURY, REGENERATION; HEALTH RESEARCH; CELL BIOLOGY",2015-04-01,1,2016-03-31,"porous, extracellular matrix, bioscaffolds",1,1
"Fon, Edward A",,,0,,,,,,,,,,,,,,,,,,,,McGill University,Quebec,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Targeting Alpha-Synuclein Propagation in the Treatment of Parkinson's Disease and Other Synucleinopathies,159946,0,1,159946,1,"Neurosciences, Mental Health and Addiction",PARKINSON'S DISEASE; AGING; NERVOUS SYSTEM; DRUG RESEARCH,2014-10-01,1,2015-09-30,"Alpha-Synuclein, Propagation, Parkinson's Disease",0,0
"Foster, Leonard J",,,0,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Project Grant - PA: Pandemic Preparedness and Health Emergencies Research,202403PPE,Commercialization,Development and Commercialization of a Safe and Effective Mpox Subunit Vaccine witheGlobaleImpact,100000,0,1,200000,2,Population and Public Health,"Population and Health-Health Promotion and Disease Prevention; Immunology and Infection-Antiviral Drug Resistance, Viral Vaccine Development and Therapeutics (including vaccines); Commercialization-Industry Research & Development",2009-01-01,1,2009-12-31,"Mpox, Subunit, Vaccine",0,0
"Foster, Leonard J",,,,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Project Grant - PA: Pandemic Preparedness and Health Emergencies Research,202309PPE,Commercialization,Development and Commercialization of a Safe and Effective Mpox Subunit Vaccine witheGlobaleImpact,100000,0,1,,,Population and Public Health,"Population and Health-Health Promotion and Disease Prevention; Immunology and Infection-Antiviral Drug Resistance, Viral Vaccine Development and Therapeutics (including vaccines)",2024-03-01,1,2025-02-28,"Mpox, Subunit, Vaccine",0,
"Fraser, Paul E",,,0,,,,,,,,,,,,,,,,,,,,University of Toronto,Ontario,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Amyloid-Based Therapies for Type 2 Diabetes,150000,0,1,150000,1,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; METABOLISM AND NUTRITION; METABOLISM/DIABETES; BIOCHEMISTRY,2009-01-01,1,2009-12-31,"Amyloid, Therapies, Diabetes",3,3
"Frost, Eric H",,,0,,,,,,,,,,,,,,,,,,,,Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,"Simultaneous Influenza A detection, subtyping, and oseltamivir resistance determination",95000,65000,1,160000,1,Infection and Immunity,INFECTIOUS AND PARASITIC; MULTIPLE DISEASE RELEVANCE; VIROLOGY; HEALTH RESEARCH,2011-10-01,1,2012-09-30,"Influenza, detection, resistance",0,0
"Garnis, Cathie",,,0,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Project Grant,201809PJT,Commercialization,Blood based biomarker for the early detection of recurrent head and neck cancer,539324,0,4,1013624,8,Cancer Research,Cancer-Clinical Oncology,2019-04-01,1,2023-03-31,"blood, biomarker, cancer",0,0
"Garnis, Cathie",,,,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Project Grant,202309PJT,Commercialization,Blood based biomarker for the early detection of recurrent oropharyngeal cancer,474300,0,4,,,Cancer Research,Cancer-Cancer Progression and Metastasis; Cancer-Clinical Oncology,2024-04-01,1,2028-03-31,"blood, biomarker, oropharyngeal cancer",0,
"Gatignol, Anne",,,0,,,,,,,,,,,,,,,,,,,,CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Development of antisense-based small RNA agents targeting the GAG open reading frame of HIV-1 RNA for use in gene and drug therapy against HIV-1 infection.,159550,0,1,159550,1,Infection and Immunity,AIDS; VIRAL; VIROLOGY; MOLECULAR BIOLOGY,2014-04-01,1,2015-03-31,"antisense, RNA, HIV-1",1,1
"Ghahary, Aziz",BirchBioMed Inc.,,1,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Discovery of a Novel Anti-fibrogenic factor and its Therapeutic evaluation,150932,0,1,298021,2,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; INJURY, REGENERATION",2012-04-01,1,2013-03-31,"Anti-fibrogenic, factor, therapeutic",3,3
"Ghahary, Aziz",,,,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Re -constitutable skin substitute powder kit,147089,0,1,,,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; INJURY, REGENERATION",2014-04-01,1,2015-03-31,"skin, substitute, powder",2,
"Gibbings, Derrick J",Hitchhike Therapeutics Inc.,,1,,,,,,,,,,,,,,,,,,,,University of Ottawa,Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Technology to build a drug delivery platform for silencing RNAs using exosomes,159941,0,1,159941,1,Aging,MULTIPLE DISEASE RELEVANCE; MULTIDISCIPLINARY; HEALTH RESEARCH; DRUG RESEARCH,2015-10-01,1,2016-09-30,"drug delivery, exosomes, RNAs",3,3
"Gleave, Martin E",Sitka Biopharma,,1,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Project Grant,201709PJT,Commercialization,Preclinical development of a novel androgen receptor antagonist to treat castration-resistant prostate cancer,351900,0,2,351900,2,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,2018-04-01,1,2020-03-31,"androgen receptor, prostate cancer, antagonist",3,3
"Glogauer, Michael",Ostia Sciences Inc.,,1,,,,,,,,,,,,,,,,,,,,University of Toronto,Ontario,Proof of Principle Program - Phase II,200904PP2,Proof of Principle,Clinical Evaluation of a Chair-side In Vitro Rinse Test for Predicting Onset and Recurrent Adult Periodontitis,88399,0,1,88399,1,Musculoskeletal Health and Arthritis,DENTAL DISEASE (INCL. ORAL BIOLOGY); DENTAL SCIENCE - Oral Biology; IMMUNOLOGY-TRANSPLANTATION,2009-07-01,1,2010-06-30,"Chair-side, In Vitro, Periodontitis",0,0
"Gobbi, Gabriella",,,0,,,,,,,,,,,,,,,,,,,,McGill University,Quebec,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Novel first-in-class MT2 melatonin receptor partial agonists for neuropathic pain,160000,0,1,160000,1,"Neurosciences, Mental Health and Addiction",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; MENTAL AND BEHAVIOURAL DISEASES; DRUG RESEARCH; NERVOUS SYSTEM,2016-04-01,1,2017-03-31,"MT2, melatonin receptor, neuropathic pain",4,4
"Gobeil, Fernand J",,,0,,,,,,,,,,,,,,,,,,,,Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Agonistes synthetiques de kinines : Optimiser la livraison et l'efficacite des chimiotherapies des tumeurs cerebrales,149418,0,1,149418,1,Cancer Research,BRAIN TUMORS THERAPY; BRAIN TUMORS (INCL. RETINAL TUMORS); CANCER; HEALTH RESEARCH,2012-04-01,1,2013-03-31,"kinines, livraison, chimiotherapies",0,0
"Gong, Siew-Ging",SaliBiotics,,1,,,,,,,,,,,,,,,,,,,,University of Toronto,Ontario,Project Grant,202203PJT,Commercialization,Streptococcus salivarius Probiotics Against Dental Caries Pathogens,535501,0,4,535501,4,Musculoskeletal Health and Arthritis,"Commercialization-Intellectual Property; Health Determinants-Etiology of Disease and Conditions; Immunology and Infection-Antimicrobial Drug Resistance, Drug Discovery and Therapeutics (including vaccines)",2022-10-01,1,2026-09-30,"Streptococcus salivarius, Probiotics, Dental Caries",1,1
"Graham, Simon J",,,0,,,,,,,,,,,,,,,,,,,,"Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Tablet Technology for Assessing Dementia,116402,0,1,116402,1,"Neurosciences, Mental Health and Addiction",ALZHEIMER'S DISEASE; IMAGING; NERVOUS SYSTEM,2011-10-01,1,2012-09-30,"Tablet, Dementia, Assessing",1,1
"Granville, David J","viDA Therapeutics, Inc.",,1,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase II,200910PP2,Proof of Principle,Therapeutic antibody development towards granzyme B,101240,0,1,101240,1,Circulatory and Respiratory Health,NONE OF THE ABOVE; AGING; CARDIOVASCULAR,2010-04-01,1,2011-03-31,"antibody, granzyme B",7,7
"Gratzer, Paul F",DeCell Technologies Inc.,,1,,,,,,,,,,,,,,,,,,,,Dalhousie University (Nova Scotia),Nova Scotia,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Decellularization of Human Skin,149034,10900,1,159934,1,Musculoskeletal Health and Arthritis,SKIN AND SUBCUTANEOUS TISSUS; IMMUNOLOGY-TRANSPLANTATION; NOT CLASSIFIED,2011-04-01,1,2012-03-31,"Decellularization, Human Skin",1,1
"Greer, John J",,,0,,,,,,,,,,,,,,,,,,,,University of Alberta,Alberta,Proof of Principle Program - Phase II,201502PP2,Proof of Principle,Ampakine Therapy for Alleviating Respiratory Depression,145440,0,1,145440,1,Circulatory and Respiratory Health,RESPIRATION; NONE OF THE ABOVE; NERVOUS SYSTEM,2015-10-01,1,2016-09-30,"Ampakine, Respiratory Depression, Therapy",2,2
"Grierson, David S",,,0,,,,,,,,,,,,,,,,,,,,University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Development of Specific Inhibitors of HIV pre-mRNA Alternative Splicing: A New Anti-HIV/AIDS Strategy,160000,0,1,160000,1,Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; AIDS; DRUG RESEARCH; VIROLOGY,2015-04-01,1,2016-03-31,"HIV, pre-mRNA, splicing",4,4
"Gross, Peter L",Twleve Squared Diagnostics,,0,,,,,,,,,,,,,,,,,,,,McMaster University,Ontario,Project Grant,202203PJT,Commercialization,Benchmarking a point-of-care test kit for detection of direct-oral anticoagulants,279225,0,2,279225,2,Circulatory and Respiratory Health,"Cardiovascular, Respiratory and Circulatory Systems-Vascular and Endothelial Biology; Commercialization-Intellectual Property; Cardiovascular, Respiratory and Circulatory Systems-Hematology",2022-10-01,1,2024-09-30,"point-of-care, anticoagulants, detection",0,0
"Grynpas, Marc D",,,0,,,,,,,,,,,,,,,,,,,,Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,"""Calcium Polyphosphate Bone Substitutes""",156022,0,1,156022,1,Musculoskeletal Health and Arthritis,"OSTEOPOROSIS; AGING; MUSCLE, BONE, OR JOINT",2011-04-01,1,2012-03-31,"Calcium, Polyphosphate, Bone",2,2
"Guertin, Pierre","Nordic Life Science Pipeline Inc., NeuroSpina Therapeutics, Eurymedon HealthCare",,3,,,,,,,,,,,,,,,,,,,,Universite Laval,Quebec,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,First-in-class Therapeutic Against Urinary Retention (Continence) in Patients with Chronic Spinal Cord Injury and Related Disorders,160000,0,1,320000,2,"Neurosciences, Mental Health and Addiction","SPINAL CORD DISEASE; GENITO/URINARY SYSTEM; NERVOUS SYSTEM; RENAL FUNCTION, NEPHROLOGY, UROLOGY",2012-04-01,1,2013-03-31,"Urinary retention, spinal cord injury, continence",2,2
"Guertin, Pierre",,,,,,,,,,,,,,,,,,,,,,,Universite Laval,Quebec,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,A Novel Class of Drug Treatment Against Chronic Constipation in Spinal Cord-Injured People,160000,0,1,,,"Neurosciences, Mental Health and Addiction",SPINAL CORD DISEASE; GASTRO-INTESTINAL DISEASE; NERVOUS SYSTEM; GASTROINTESTINAL (LIVER),2013-10-01,1,2014-09-30,"Drug, Constipation, Spinal Cord",2,
"Haddad, Elie",Immugenia,,1,,,,,,,,,,,,,,,,,,,,"Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Project Grant - PA: Breast Cancer Research,202109PLL,Commercialization,Platform of synthetic specific promoters for immunotherapies and regenerative medicine,100000,0,1,260000,5,Cancer Research,Commercialization-Intellectual Property; Commercialization-Technology Transfer; Cancer-Cancer Drug Development and Therapeutics,2022-03-01,1,2023-03-31,"synthetic promoters, immunotherapies, regenerative medicine",1,1
"Haddad, Elie",,,,,,,,,,,,,,,,,,,,,,,"Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Project Grant,202209PJT,Commercialization,Empowering innovative hematopoietic stem cells (HSC)-based cancer immunotherapy through the creation of synthetic specific promoters,765000,0,4,,,Cancer Research,Commercialization-Intellectual Property; Commercialization-Technology Transfer; Cancer-Cancer Drug Development and Therapeutics,2023-04-01,1,2027-03-31,"hematopoietic stem cells, immunotherapy, synthetic promoters",1,
