Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Cumulative_Grant_Amount,Term_Years,Cumulative_Term_Years,Primary_Institute,Research_Categories,Funding_Start,Funding_Start_Count,Funding_End
"Beg, Mirza Faisal","Simon Fraser University (Burnaby, B.C.)",British Columbia,Project Grant - Priority Announcement: Cancer Research,202209PJS,Commercialization,Novel end-to-end platform for extraction of body composition measurements from CT images for research and integration into clinical workflows for precision medicine,100000,0,236750,1,4,Cancer Research,Biomedical Engineering-Biomedical Imaging; Artificial Intelligence-Machine Learning; Commercialization-Industry Research & Development,2023-03-01,1,2024-02-29
"Beg, Mirza Faisal","Simon Fraser University (Burnaby, B.C.)",British Columbia,Project Grant,202303PJT,Commercialization,Staging the host in Cancer: AI-based automated comprehensive body composition assessment for Precision Medicine,956250,0,,3,,Cancer Research,Biomedical Engineering-Biomedical Imaging; Artificial Intelligence-Machine Learning; Commercialization-Industry Research & Development,2023-10-01,1,2026-09-30
"Bell, John C",Ottawa Hospital Research Institute,Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Increasing vaccine manufacturing output using viral sensitizer technology,136750,0,296750,1,2,Infection and Immunity,INFECTIOUS AND PARASITIC; VIRAL; HEALTH RESEARCH; VIROLOGY,2011-04-01,1,2012-03-31
"Bell, John C",Ottawa Hospital Research Institute,Ontario,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Biological Viral Sensitizers for GMP Manufacturing,123000,37000,,1,,Cancer Research,CANCER THERAPY GENERAL; VIRAL; CANCER; VIROLOGY,2014-04-01,1,2015-03-31
"Benard, Francois",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,"Advancing the clinical development of [18F]AMBF3-TATE, a novel imaging probe for neuroendocrine tumours",160000,0,160000,1,1,Cancer Research,CANCER THERAPY GENERAL; CANCER; IMAGING,2015-10-01,1,2016-09-30
"Bergeron, Michel G",Universite Laval,Quebec,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,"Developpement, optimisation et multiplexage d'un oligonucleotide synthetique permettant l'amplification d'ADN et l'hybridation sur support solide en une seule etape. PDP PhaseI",160000,0,160000,1,1,Infection and Immunity,INFECTIOUS AND PARASITIC; MOLECULAR BIOLOGY; BACTERIOLOGY,2015-04-01,1,2016-03-31
"Bernatchez, Pascal N",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Novel compounds for treatment of pulmonary hypertension,158389,0,158389,1,1,Circulatory and Respiratory Health,HYPERTENSION; CARDIOVASCULAR; RESPIRATION,2013-04-01,1,2014-03-31
"Biddiss, Elaine A",Holland Bloorview Kids Rehabilitation Hospital (Toronto),Ontario,Project Grant,201909PJT,Commercialization,"BootleBlast, a movement tracking video game for home-based motor therapy - Navigating gaps to market readiness",409276,0,409276,3,3,"Human Development, Child and Youth Health",Commercialization-Technology Transfer,2020-04-01,1,2023-03-31
"Boerkoel, Cornelius F",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Development of Tdp1 inhibitors for treating cancer,159927,0,159927,1,1,Cancer Research,CANCER THERAPY GENERAL; NEOPLASMS; DRUG RESEARCH; CANCER,2011-10-01,1,2012-09-30
"Bohbot, Veronique",CIUSSS de l'Ouest-de-l'Ile-de-Montreal-Douglas Hospital,Quebec,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Validation of a fully automated virtual reality based spatial memory improvement program that promotes healthy aging,160000,0,160000,1,1,Aging,ALZHEIMER'S DISEASE; HEALTH PROMOTION,2014-10-01,1,2015-09-30
"Boisselier Mailfait, Elodie",Universite Laval,Quebec,Project Grant,202003PJT,Commercialization,Un nouveau vecteur de medicaments ophtalmiques e base de nanoparticules d'or,550800,0,550800,5,5,"Neurosciences, Mental Health and Addiction",Commercialization-Intellectual Property,2020-10-01,1,2025-09-30
"Boivin, Guy",Universite Laval,Quebec,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,New antiviral agents against herpes simplex viruses,150000,0,150000,1,1,Infection and Immunity,VIRAL; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; VIROLOGY; DRUG RESEARCH,2010-04-01,1,2011-03-31
"Booth, Valerie K",Memorial University of Newfoundland,Newfoundland and Labrador,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,HLA Peptide Development as a Therapeutic for Psoriasis,156920,0,156920,1,1,Infection and Immunity,SKIN AND SUBCUTANEOUS TISSUS; BIOCHEMISTRY; DRUG RESEARCH,2011-04-01,1,2012-03-31
"Bosse, Yohan",Universite Laval,Quebec,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Prognostic gene signature for stage I lung adenocarcinoma,148348,0,148348,1,1,Cancer Research,LUNG CANCER; SUPPLEMENTARY CLASSIFICATIONS; CANCER; GENETICS,2013-10-01,1,2014-09-30
"Boyd, Daniel",Dalhousie University (Nova Scotia),Nova Scotia,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Commercialization of a Radiopaque Spherical Embolic Agent.,159097,0,159097,1,1,"Human Development, Child and Youth Health",NOT CLASSIFIED,2012-10-01,1,2013-09-30
"Braverman, Nancy E",Research Institute of the McGill University Health Centre,Quebec,Project Grant,202209PJT,Commercialization,Enabling commercialization of retinal gene therapy for Zellweger Spectrum Disorder,1503225,0,1503225,5,5,Genetics,"Commercialization-Technology Transfer; Neurosciences-Sensory Systems (including visual, auditory and pain); Genetic disease",2023-04-01,1,2028-03-31
"Brinkman, Ryan",University of British Columbia,British Columbia,Project Grant,201909PJT,Commercialization,Machine Learning for Flow Cytometry Clinical Data and Trial Analysis,317475,0,317475,1.833333333,1.83,Infection and Immunity,Commercialization-Technology Transfer; Methods Development and Modelling-Quantitative Methods Development for Health Research,2020-04-01,1,2022-01-31
"Brodt, Pnina",Research Institute of the McGill University Health Centre,Quebec,Proof of Principle Program - Phase II,201502PP2,Proof of Principle,An IGF-Trap for the treatment of breast cancer: consolidation of the pre-clinical profile and commercialization.,299934,0,299934,1,1,Cancer Research,BREAST CANCER; BREAST CANCER THERAPY; CANCER; DRUG RESEARCH,2015-10-01,1,2016-09-30
"Brouillette, Martin",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Device for recanalization of peripheral and coronary arteries,155180,0,155180,1,1,Circulatory and Respiratory Health,CORONARY CIRCULATION (INCL. INSUFFICIENCY); CARDIOLOGY; CARDIOVASCULAR,2013-10-01,1,2014-09-30
"Brown, Jeremy A",Dalhousie University (Nova Scotia),Nova Scotia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,A High-Resolution Ultrasonic Endoscope for the Auditory System,108000,10600,118600,1,1,Aging,DEAFNESS; DISEASES AFFECTING SPEECH/VISION/HEARING; IMAGING; HEARING,2010-10-01,1,2011-09-30
"Brukner, Ivan",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,A new qPCR method for the assessment of total/relative bacterial load from stool samples: C difficile show case,131513,0,131513,1,1,Infection and Immunity,INFECTIOUS AND PARASITIC; MULTIDISCIPLINARY; BACTERIOLOGY; MOLECULAR BIOLOGY,2015-10-01,1,2016-09-30
"Burns, David H",McGill University,Quebec,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Smart Ultrasonic Hydrogel Sensors for Point of Care Analysis,150000,0,150000,1,1,Circulatory and Respiratory Health,null,2009-01-01,1,2009-12-31
