Name,Institution_Paid,Province,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Cumulative_Grant_Amount,Term_Years,Cumulative_Term_Years,Primary_Institute,Research_Categories,Funding_Start,Funding_Start_Count,Funding_End
"Fenster, Aaron",Western University (Ontario),Ontario,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,3D Ultrasound Scanner System For Management Of Intraventricular Hemorrhage In Preterm Neonates,148062,0,301485,1,2,"Human Development, Child and Youth Health",MULTIDISCIPLINARY; NONE OF THE ABOVE; IMAGING; BIOPHYSICS,2014-04-01,1,2015-03-31
"Fenster, Aaron",Western University (Ontario),Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,MR-Guided Focal Ablation of Prostate Cancer,143110,10313,,1,,Cancer Research,PROSTATE AND BLADDER CANCER THERAPY; IMAGING; CANCER,2016-04-01,1,2017-03-31
"Fernie, Geoffrey R",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase II,201202PP2,Proof of Principle,A novel point-of-care method of handling human waste in healthcare institutions: technical improvements and evaluation.,51544,0,51544,1,1,Infection and Immunity,INFECTIOUS AND PARASITIC; NONE OF THE ABOVE; NOT CLASSIFIED,2012-10-01,1,2013-09-30
"Finlay, Barton B",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201009PP2,Proof of Principle,A sub-unit based vaccine for Salmonella,149685,0,149685,1,1,Infection and Immunity,GASTRO-INTESTINAL DISEASE; INFECTIOUS AND PARASITIC; BACTERIOLOGY; GASTROINTESTINAL (LIVER),2011-04-01,1,2012-03-31
"Flynn, Lauren E",Western University (Ontario),Ontario,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Development of novel porous extracellular matrix-derived bioscaffolds for cutaneous wound healing,160000,0,160000,1,1,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; INJURY, REGENERATION; HEALTH RESEARCH; CELL BIOLOGY",2015-04-01,1,2016-03-31
"Fon, Edward A",McGill University,Quebec,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Targeting Alpha-Synuclein Propagation in the Treatment of Parkinson's Disease and Other Synucleinopathies,159946,0,159946,1,1,"Neurosciences, Mental Health and Addiction",PARKINSON'S DISEASE; AGING; NERVOUS SYSTEM; DRUG RESEARCH,2014-10-01,1,2015-09-30
"Foster, Leonard J",University of British Columbia,British Columbia,Project Grant - PA: Pandemic Preparedness and Health Emergencies Research,202403PPE,Commercialization,Development and Commercialization of a Safe and Effective Mpox Subunit Vaccine witheGlobaleImpact,100000,0,200000,1,2,Population and Public Health,"Population and Health-Health Promotion and Disease Prevention; Immunology and Infection-Antiviral Drug Resistance, Viral Vaccine Development and Therapeutics (including vaccines); Commercialization-Industry Research & Development",2009-01-01,1,2009-12-31
"Foster, Leonard J",University of British Columbia,British Columbia,Project Grant - PA: Pandemic Preparedness and Health Emergencies Research,202309PPE,Commercialization,Development and Commercialization of a Safe and Effective Mpox Subunit Vaccine witheGlobaleImpact,100000,0,,1,,Population and Public Health,"Population and Health-Health Promotion and Disease Prevention; Immunology and Infection-Antiviral Drug Resistance, Viral Vaccine Development and Therapeutics (including vaccines)",2024-03-01,1,2025-02-28
"Fraser, Paul E",University of Toronto,Ontario,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Amyloid-Based Therapies for Type 2 Diabetes,150000,0,150000,1,1,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; METABOLISM AND NUTRITION; METABOLISM/DIABETES; BIOCHEMISTRY,2009-01-01,1,2009-12-31
"Frost, Eric H",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,"Simultaneous Influenza A detection, subtyping, and oseltamivir resistance determination",95000,65000,160000,1,1,Infection and Immunity,INFECTIOUS AND PARASITIC; MULTIPLE DISEASE RELEVANCE; VIROLOGY; HEALTH RESEARCH,2011-10-01,1,2012-09-30
"Garnis, Cathie",University of British Columbia,British Columbia,Project Grant,201809PJT,Commercialization,Blood based biomarker for the early detection of recurrent head and neck cancer,539324,0,1013624,4,8,Cancer Research,Cancer-Clinical Oncology,2019-04-01,1,2023-03-31
"Garnis, Cathie",University of British Columbia,British Columbia,Project Grant,202309PJT,Commercialization,Blood based biomarker for the early detection of recurrent oropharyngeal cancer,474300,0,,4,,Cancer Research,Cancer-Cancer Progression and Metastasis; Cancer-Clinical Oncology,2024-04-01,1,2028-03-31
"Gatignol, Anne",CIUSSS de Centre-Ouest-de-l'Ile-de-Montreal-Jewish General,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Development of antisense-based small RNA agents targeting the GAG open reading frame of HIV-1 RNA for use in gene and drug therapy against HIV-1 infection.,159550,0,159550,1,1,Infection and Immunity,AIDS; VIRAL; VIROLOGY; MOLECULAR BIOLOGY,2014-04-01,1,2015-03-31
"Ghahary, Aziz",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Discovery of a Novel Anti-fibrogenic factor and its Therapeutic evaluation,150932,0,298021,1,2,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; INJURY, REGENERATION",2012-04-01,1,2013-03-31
"Ghahary, Aziz",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Re -constitutable skin substitute powder kit,147089,0,,1,,Musculoskeletal Health and Arthritis,"SKIN AND SUBCUTANEOUS TISSUS; INJURY, REGENERATION",2014-04-01,1,2015-03-31
"Gibbings, Derrick J",University of Ottawa,Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,Technology to build a drug delivery platform for silencing RNAs using exosomes,159941,0,159941,1,1,Aging,MULTIPLE DISEASE RELEVANCE; MULTIDISCIPLINARY; HEALTH RESEARCH; DRUG RESEARCH,2015-10-01,1,2016-09-30
"Gleave, Martin E",University of British Columbia,British Columbia,Project Grant,201709PJT,Commercialization,Preclinical development of a novel androgen receptor antagonist to treat castration-resistant prostate cancer,351900,0,351900,2,2,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,2018-04-01,1,2020-03-31
"Glogauer, Michael",University of Toronto,Ontario,Proof of Principle Program - Phase II,200904PP2,Proof of Principle,Clinical Evaluation of a Chair-side In Vitro Rinse Test for Predicting Onset and Recurrent Adult Periodontitis,88399,0,88399,1,1,Musculoskeletal Health and Arthritis,DENTAL DISEASE (INCL. ORAL BIOLOGY); DENTAL SCIENCE - Oral Biology; IMMUNOLOGY-TRANSPLANTATION,2009-07-01,1,2010-06-30
"Gobbi, Gabriella",McGill University,Quebec,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Novel first-in-class MT2 melatonin receptor partial agonists for neuropathic pain,160000,0,160000,1,1,"Neurosciences, Mental Health and Addiction",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; MENTAL AND BEHAVIOURAL DISEASES; DRUG RESEARCH; NERVOUS SYSTEM,2016-04-01,1,2017-03-31
"Gobeil, Fernand J",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Agonistes synthetiques de kinines : Optimiser la livraison et l'efficacite des chimiotherapies des tumeurs cerebrales,149418,0,149418,1,1,Cancer Research,BRAIN TUMORS THERAPY; BRAIN TUMORS (INCL. RETINAL TUMORS); CANCER; HEALTH RESEARCH,2012-04-01,1,2013-03-31
"Gong, Siew-Ging",University of Toronto,Ontario,Project Grant,202203PJT,Commercialization,Streptococcus salivarius Probiotics Against Dental Caries Pathogens,535501,0,535501,4,4,Musculoskeletal Health and Arthritis,"Commercialization-Intellectual Property; Health Determinants-Etiology of Disease and Conditions; Immunology and Infection-Antimicrobial Drug Resistance, Drug Discovery and Therapeutics (including vaccines)",2022-10-01,1,2026-09-30
"Graham, Simon J","Sunnybrook Health Sciences Centre (Toronto, Ontario)",Ontario,Proof of Principle Program - Phase I,201102PPP,Proof of Principle,Tablet Technology for Assessing Dementia,116402,0,116402,1,1,"Neurosciences, Mental Health and Addiction",ALZHEIMER'S DISEASE; IMAGING; NERVOUS SYSTEM,2011-10-01,1,2012-09-30
"Granville, David J",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,200910PP2,Proof of Principle,Therapeutic antibody development towards granzyme B,101240,0,101240,1,1,Circulatory and Respiratory Health,NONE OF THE ABOVE; AGING; CARDIOVASCULAR,2010-04-01,1,2011-03-31
"Gratzer, Paul F",Dalhousie University (Nova Scotia),Nova Scotia,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Decellularization of Human Skin,149034,10900,159934,1,1,Musculoskeletal Health and Arthritis,SKIN AND SUBCUTANEOUS TISSUS; IMMUNOLOGY-TRANSPLANTATION; NOT CLASSIFIED,2011-04-01,1,2012-03-31
"Greer, John J",University of Alberta,Alberta,Proof of Principle Program - Phase II,201502PP2,Proof of Principle,Ampakine Therapy for Alleviating Respiratory Depression,145440,0,145440,1,1,Circulatory and Respiratory Health,RESPIRATION; NONE OF THE ABOVE; NERVOUS SYSTEM,2015-10-01,1,2016-09-30
"Grierson, David S",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Development of Specific Inhibitors of HIV pre-mRNA Alternative Splicing: A New Anti-HIV/AIDS Strategy,160000,0,160000,1,1,Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; AIDS; DRUG RESEARCH; VIROLOGY,2015-04-01,1,2016-03-31
"Gross, Peter L",McMaster University,Ontario,Project Grant,202203PJT,Commercialization,Benchmarking a point-of-care test kit for detection of direct-oral anticoagulants,279225,0,279225,2,2,Circulatory and Respiratory Health,"Cardiovascular, Respiratory and Circulatory Systems-Vascular and Endothelial Biology; Commercialization-Intellectual Property; Cardiovascular, Respiratory and Circulatory Systems-Hematology",2022-10-01,1,2024-09-30
"Grynpas, Marc D",Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,"""Calcium Polyphosphate Bone Substitutes""",156022,0,156022,1,1,Musculoskeletal Health and Arthritis,"OSTEOPOROSIS; AGING; MUSCLE, BONE, OR JOINT",2011-04-01,1,2012-03-31
"Guertin, Pierre",Universite Laval,Quebec,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,First-in-class Therapeutic Against Urinary Retention (Continence) in Patients with Chronic Spinal Cord Injury and Related Disorders,160000,0,320000,1,2,"Neurosciences, Mental Health and Addiction","SPINAL CORD DISEASE; GENITO/URINARY SYSTEM; NERVOUS SYSTEM; RENAL FUNCTION, NEPHROLOGY, UROLOGY",2012-04-01,1,2013-03-31
"Guertin, Pierre",Universite Laval,Quebec,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,A Novel Class of Drug Treatment Against Chronic Constipation in Spinal Cord-Injured People,160000,0,,1,,"Neurosciences, Mental Health and Addiction",SPINAL CORD DISEASE; GASTRO-INTESTINAL DISEASE; NERVOUS SYSTEM; GASTROINTESTINAL (LIVER),2013-10-01,1,2014-09-30
"Haddad, Elie","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Project Grant - PA: Breast Cancer Research,202109PLL,Commercialization,Platform of synthetic specific promoters for immunotherapies and regenerative medicine,100000,0,260000,1,5,Cancer Research,Commercialization-Intellectual Property; Commercialization-Technology Transfer; Cancer-Cancer Drug Development and Therapeutics,2022-03-01,1,2023-03-31
"Haddad, Elie","Centre hospitalier universitaire Sainte-Justine (Montreal, Quebec)",Quebec,Project Grant,202209PJT,Commercialization,Empowering innovative hematopoietic stem cells (HSC)-based cancer immunotherapy through the creation of synthetic specific promoters,765000,0,,4,,Cancer Research,Commercialization-Intellectual Property; Commercialization-Technology Transfer; Cancer-Cancer Drug Development and Therapeutics,2023-04-01,1,2027-03-31
"Hancock, Robert Ernest W",University of British Columbia,British Columbia,Proof of Principle Program Phase I - Drug Development,201102PDD,Proof of Principle,Novel anti-inflammatory treatment for Amyotrophic Lateral Sclerosis,160000,0,320000,1,2,"Neurosciences, Mental Health and Addiction",DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; AMYOTROPHIC LATERAL SCLEROSIS (ALS); DRUG RESEARCH; NERVOUS SYSTEM,2011-10-01,1,2012-09-30
"Hancock, Robert Ernest W",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Anti-Biofilm Therapy,160000,0,,1,,Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; INFECTIOUS AND PARASITIC; BACTERIOLOGY; DRUG RESEARCH,2013-04-01,1,2014-03-31
"Hanrahan, John W",McGill University,Quebec,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,CFTR modulators as a potential new therapeutic paradigm to treat individuals with COPD,159665,0,159665,1,1,Circulatory and Respiratory Health,CHRONIC OBSTRUCTIVE LUNG DISEASE; RESPIRATION; HEALTH RESEARCH,2014-10-01,1,2015-09-30
"Hansen, Carl L",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Pre-commercial development of single cell antibody selection process,154120,0,154120,1,1,Infection and Immunity,MULTIPLE DISEASE RELEVANCE; MULTIDISCIPLINARY; IMMUNOLOGY-TRANSPLANTATION; HEALTH RESEARCH,2012-10-01,1,2013-09-30
"Hassell, John A",McMaster University,Ontario,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Characterization of small molecule sensitizers to chemotherapy,160000,0,160000,1,1,Cancer Research,BREAST CANCER THERAPY; BREAST CANCER; CANCER; DRUG RESEARCH,2012-04-01,1,2013-03-31
"Hebert, Marc",Universite Laval,Quebec,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,"Diagnostic differentiel de la schizophrenie, la depression bipolaire et la depression majeure e l'aide de l'electroretinographie",159700,0,159700,1,1,"Neurosciences, Mental Health and Addiction",DEPRESSION; MENTAL HEALTH,2014-04-01,1,2015-03-31
"Hess, Robert F",McGill University,Quebec,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Assessment and Treatment of Binocular Vision in Amblyopia,126802,0,126802,1,1,"Neurosciences, Mental Health and Addiction",DISEASES AFFECTING SPEECH/VISION/HEARING; VISION,2009-01-01,1,2009-12-31
"Houde, Daniel",Universite de Sherbrooke,Quebec,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,Radiotherapie par filamentation laser femtoseconde,112602,0,112602,1,1,Cancer Research,CANCER THERAPY GENERAL; BRAIN TUMORS THERAPY; CANCER; BIOPHYSICS,2011-04-01,1,2012-03-31
"Hunter, Graeme K",Western University (Ontario),Ontario,Proof of Principle Program - Phase I,200904PPP,Proof of Principle,Crystal-binding peptides for prevention of kidney stone disease,116350,6000,122350,1,1,"Nutrition, Metabolism and Diabetes",GENITO/URINARY SYSTEM; ATHEROSCLEROSIS; DRUG RESEARCH; BIOPHYSICS,2009-07-01,1,2010-06-30
"Huntsman, David G",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,A Diagnostic Test for Granulosa Cell Tumours of the Ovary,150000,0,304829,1,2,Cancer Research,CANCER,2010-04-01,1,2011-03-31
"Huntsman, David G",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,PrOTYPE: An Enabling Technology to Improve Ovarian Cancer Care,154829,0,,1,,Cancer Research,"NEOPLASMS; NONE OF THE ABOVE; CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",2013-04-01,1,2014-03-31
"Husain, Mansoor",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase II,201202PP2,Proof of Principle,Development of an anti-proliferative therapeutic that disrupts CaM-cyclin E interactions in vivo.,184100,10600,194700,1,1,Circulatory and Respiratory Health,ATHEROSCLEROSIS; CANCER THERAPY GENERAL; CARDIOVASCULAR; CELL BIOLOGY,2012-10-01,1,2013-09-30
"Hysi, Eno",Unity Health Toronto,Ontario,Project Grant,202403PJT,Commercialization,Commercialization of H-scan: a new tool for imaging kidney fibrosis,726750,0,726750,3,3,"Nutrition, Metabolism and Diabetes","Commercialization-Intellectual Property; Biomedical Engineering-Biomedical Imaging; Digestive, Endocrine and Excretory Systems-Nephrology and Urology",2024-10-01,1,2027-09-30
"Jaffray, David A",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Advanced Handheld SPECT System for Intraoperative Guidance,159845,0,159845,1,1,Cancer Research,CANCER THERAPY GENERAL; CANCER,2014-10-01,1,2015-09-30
"Jarvi, Keith A",Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,201009PPP,Proof of Principle,"Novel semen biomarkers to identify sperm production in men with infertility: A non-invasive method to characterize men with azoospermia or no sperm in the semen, into those with and without testicular sperm production",152499,0,467159,1,3,"Human Development, Child and Youth Health",INFERTILITY MALE; GENITO/URINARY SYSTEM; ENDOCRINOLOGY; REPRODUCTION/PREGNANCY,2011-04-01,1,2012-03-31
"Jarvi, Keith A",Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,201302PPP,Proof of Principle,Prediction of successful sperm retrieval in patients with non-obstructive azoospermia using a panel of protein biomarkers measured in seminal plasma,154660,0,,1,,"Human Development, Child and Youth Health","INFERTILITY MALE; PREGNANCY/BIRTH; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; REPRODUCTION/PREGNANCY",2013-10-01,1,2014-09-30
"Jarvi, Keith A",Sinai Health System (Toronto),Ontario,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Prediction of successful sperm retrieval in patients with non-obstructive azoospermia using TEX101 protein measured in seminal plasma by ELISA,160000,0,,1,,"Human Development, Child and Youth Health","INFERTILITY MALE; PREGNANCY/BIRTH; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; REPRODUCTION/PREGNANCY",2016-04-01,1,2017-03-31
"Jarzem, Peter F",McGill University,Quebec,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,"Minimally Invasive Ready, Highly Expandable Vertebral Body Replacement Device",122826,0,122826,1,1,Cancer Research,"BONE CANCER; MUSCULO SKELETAL; NERVOUS SYSTEM; MUSCLE, BONE, OR JOINT",2010-04-01,1,2011-03-31
"Juncker, David",McGill University,Quebec,Proof of Principle Program - Phase I,200910PPP,Proof of Principle,Clinical validation of an innovative multiplex antibody microarray platform,150000,0,150000,1,1,Cancer Research,"MULTIDISCIPLINARY; BREAST CANCER; GENOMICS, PROTEOMICS, AND BIOINFORMATICS; CANCER",2010-04-01,1,2011-03-31
"Kastrup, Christian J",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,Self-Propelling Hemostatic Particles that Treat Severe Bleeding,159788,0,159788,1,1,Circulatory and Respiratory Health,CLOTTING DEFECTS/THROMBOSIS; PREGNANCY/BIRTH; CARDIOVASCULAR; BLOOD,2014-10-01,1,2015-09-30
"Kazem-Moussavi, Zahra M",University of Manitoba,Manitoba,Project Grant,201803PJT,Commercialization,Acoustical Device for Obstructive Sleep Apnea Severity Prediction during Wakefulness,367200,0,367200,3,3,Circulatory and Respiratory Health,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Health Determinants-Etiology of Disease and Conditions",2018-10-01,1,2021-09-30
"Kelley, Shana O",University of Toronto,Ontario,Proof of Principle Program - Phase I,200810PPP,Proof of Principle,Clinical validation of low-cost ultrasensitive electronic molecular  diagnostics,150000,0,470000,1,3,Genetics,MULTIPLE DISEASE RELEVANCE; GENETICS,2009-01-01,1,2009-12-31
"Kelley, Shana O",University of Toronto,Ontario,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Preclinical testing of a mitochondrially-targeted anticancer agent,160000,0,,1,,Cancer Research,CANCER THERAPY GENERAL; CANCER; GENETICS,2012-04-01,1,2013-03-31
"Kelley, Shana O",University of Toronto,Ontario,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,The xViva CTC capture chip: a device for tumor cell sorting and classification,160000,0,,1,,Genetics,PROSTATE AND BLADDER CANCER; CANCER THERAPY GENERAL; GENETICS; CANCER,2014-10-01,1,2015-09-30
"Kim, Peter K",Hospital for Sick Children (Toronto),Ontario,Proof of Principle Program - Phase I,201502PPP,Proof of Principle,A novel therapeutic treatment for Zellweger Spectrum Disorder,160000,0,160000,1,1,"Human Development, Child and Youth Health",METABOLISM AND NUTRITION; CONGENITAL ANOMALIES; CELL BIOLOGY; GENETICS,2015-10-01,1,2016-09-30
"Kizhakkedathu, Jayachandran N",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,Novel Polymer Based Glucose-sparing Peritoneal Dialysis Solutions for End-stage Renal Disease,160000,0,764748,1,8,"Nutrition, Metabolism and Diabetes","RENAL FUNCTION, NEPHROLOGY, UROLOGY",2012-10-01,1,2013-09-30
"Kizhakkedathu, Jayachandran N",University of British Columbia,British Columbia,Proof of Principle Program - Phase II,201402PP2,Proof of Principle,Preclinical Development of a Glucose-Free Peritoneal Dialysis Solution,289799,5000,,1,,"Nutrition, Metabolism and Diabetes","RENAL FUNCTION, NEPHROLOGY, UROLOGY",2014-10-01,1,2015-09-30
"Kizhakkedathu, Jayachandran N",University of British Columbia,British Columbia,Project Grant,202010PJT,Commercialization,Novel Infection Resistant Coating in an Era of Drug Resistant Bacteria for the Treatment and Prevention of Medical Device Infection,520199,0,,3,,Infection and Immunity,"Commercialization-Intellectual Property; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Immunology and Infection-Antimicrobial Drug Resistance, Drug Discovery and Therapeutics (including vaccines)",2021-04-01,1,2024-03-31
"Kizhakkedathu, Jayachandran N",University of British Columbia,British Columbia,Project Grant,202209PJT,Commercialization,Localized immuno-cloaking organ engineering approach to prevent transplant rejection without immunosuppressants,803250,0,,3,,Infection and Immunity,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Immunology and Infection-Transplantation, Immune Tolerance and Tumor Immunology; Commercialization-Intellectual Property",2023-04-01,1,2026-03-31
"Koeberle, Paulo D",University of Toronto,Ontario,Proof of Principle Program - Phase I,201409PPP,Proof of Principle,Peptide therapeutics for preventing retinal ganglion cell apoptosis,149949,0,149949,1,1,"Neurosciences, Mental Health and Addiction",GLAUCOMA; DISEASES AFFECTING SPEECH/VISION/HEARING,2015-04-01,1,2016-03-31
"Kotra, Lakshmi P",University Health Network (Toronto),Ontario,Proof of Principle Program - Phase I,201402PPP,Proof of Principle,In vivo efficacy studies on KP-218 as a potential MS therapeutic agent,160000,0,160000,1,1,"Neurosciences, Mental Health and Addiction",MULTIPLE SCLEROSIS; DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS,2014-10-01,1,2015-09-30
"Kouassi, Edouard",CIUSSS Est-de-l'Ile-de- Montreal-Maisonneuve Rosemont,Quebec,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,Novel methods and compounds for increasing red blood cell survival,160000,0,160000,1,1,Circulatory and Respiratory Health,BLOOD; ANAEMIAS; DRUG RESEARCH,2010-10-01,1,2011-09-30
"Kremer, Richard B",Research Institute of the McGill University Health Centre,Quebec,Project Grant,202209PJT,Commercialization,Anti-parathyroid hormone-related protein (PTHrP) monoclonal antibodies against metastatic cancer,665550,0,665550,3,3,Cancer Research,"Commercialization-Technology Transfer; Musculoskeletal Health-Bone, Skin and Cartilage Sciences; Pharmacological, Toxicological and Pharmaceutical Sciences-Drug Discovery, Design and Delivery",2023-04-01,1,2026-03-31
"Kubow, Stanley",McGill University,Quebec,Proof of Principle Program - Phase I,201109PPP,Proof of Principle,Protective Effects of Potato Polyphenol-Rich Extracts Against Lung Damage Caused by Air Pollutants,150525,0,150525,1,1,Circulatory and Respiratory Health,ENVIRONMENTAL INFLUENCES ON HEALTH; RESPIRATION; NUTRITION,2012-04-01,1,2013-03-31
"Kumar, Rakesh",University of Alberta,Alberta,Proof of Principle Program - Phase I,201209PPP,Proof of Principle,Development of new class of antiviral drugs for influenza A virus infections,156590,0,316440,1,2,Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; INFECTIOUS AND PARASITIC; HEALTH RESEARCH; DRUG RESEARCH,2013-04-01,1,2014-03-31
"Kumar, Rakesh",University of Alberta,Alberta,Proof of Principle Program - Phase I,201309PPP,Proof of Principle,Development of novel chemotherapeutics for tuberculosis,159850,0,,1,,Infection and Immunity,DRUGS- PHARMACEUTICAL SCIENCE/CHEMISTRY & NON MEDICAL USE OF DRUGS; INFECTIOUS AND PARASITIC; DRUG RESEARCH; BACTERIOLOGY,2014-04-01,1,2015-03-31
"Kushki, Azadeh",Holland Bloorview Kids Rehabilitation Hospital (Toronto),Ontario,Project Grant,202003PJT,Commercialization,A wearable technology approach to managing challenging behaviours in children with autism spectrum disorder (ASD),485774,0,485774,3,3,"Human Development, Child and Youth Health",Commercialization-Technology Transfer,2020-10-01,1,2023-09-30
"Lam, Stephen",University of British Columbia,British Columbia,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,CTAP III for detection of early lung cancer and monitoring treatment outcome,160000,0,160000,1,1,Cancer Research,LUNG CANCER; CANCER,2010-10-01,1,2011-09-30
"Leavitt, Blair R",University of British Columbia,British Columbia,Operating Grant - PA: Genetics (Bridge Funding: Research Priorities),202109OGB,Commercialization,Lipid Nanoparticle-Mediated Delivery of CRISPR/Cas9 Gene Editing for Neurological Disorders.,100000,0,245412,1,6,Genetics,"Commercialization-Industry Research & Development; Neurosciences-Neurological disorders; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",2022-03-01,1,2023-02-28
"Leavitt, Blair R",University of British Columbia,British Columbia,Project Grant,202203PJT,Commercialization,Lipid Nanoparticle-Mediated Delivery of CRISPR/Cas9 Gene Editing for Neurological Disorders.,761176,0,,5,,Genetics,"Commercialization-Industry Research & Development; Neurosciences-Neurological disorders; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",2022-10-01,1,2027-09-30
"Legault, Pascale",Universite de Montreal,Quebec,Proof of Principle Program - Phase I,201202PPP,Proof of Principle,The ARiBo technology for isolation of ribonucleoprotein complexes,145412,13349,158761,1,1,Genetics,"CANCER THERAPY GENERAL; MULTIPLE DISEASE RELEVANCE; BIOCHEMISTRY; GENOMICS, PROTEOMICS, AND BIOINFORMATICS",2012-10-01,1,2013-09-30
"Leonardi, Mathew",McMaster University,Ontario,Project Grant,202309PJT,Commercialization,Commercialization of a diagnostic test for endometriosis,634949,0,634949,3,3,Gender and Health,"Sex-and-Gender Health-Sex-and-Gender-Based Analysis - Clinical, Health Systems and Population Health Research",2024-04-01,1,2027-03-31
"Lerouge, Sophie",ecole de technologie superieure (Montreal),Quebec,Proof of Principle Program - Phase I,201003PPP,Proof of Principle,A new therapeutic agent for the treatment and prevention of endoleaks after endovascular aneurysm repair,155000,0,155000,1,1,Circulatory and Respiratory Health,ATHEROSCLEROSIS; CARDIOVASCULAR,2010-10-01,1,2011-09-30
"Lerouge, Sophie",ecole de technologie superieure (Montreal),Quebec,Proof of Principle Program - Phase I,201509PPP,Proof of Principle,Injectable thermosensitive hydrogel as delivery vehicle of lymphocytes for cancer immunotherapy,141000,0,141000,1,1,Cancer Research,CANCER THERAPY GENERAL; CANCER,2016-04-01,1,2017-03-31
